model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
svm,0,control,1,2,10,100,354,1,12800,0.0180791,1,4,23,1524750,4313667,87458,51617
svm,5,coro-no-prefetch,8,2,10,100,354,1,462,0.000652542,0,4,23,1597804,4494486,88487,64222
svm,6,coro-prefetch,8,2,10,100,354,1,425,0.000600282,1,4,23,1451217,4645504,77318,52209
svm,0,control,1,2,10,100,354,1,444,0.000627119,1,4,23,1556848,4313667,86545,63203
svm,5,coro-no-prefetch,8,2,10,100,354,1,456,0.000644068,0,4,23,1600421,4493503,88277,64262
svm,6,coro-prefetch,8,2,10,100,354,1,409,0.000577684,1,4,23,1424277,4645503,77148,51804
svm,0,control,1,2,10,100,354,1,440,0.000621469,1,4,23,1542890,4313667,86437,62614
svm,5,coro-no-prefetch,8,2,10,100,354,1,459,0.000648305,0,4,23,1601327,4493503,88188,63351
svm,6,coro-prefetch,8,2,10,100,354,1,414,0.000584746,1,4,23,1444830,4645503,76805,51800
svm,0,control,1,2,10,100,354,1,382,0.000539548,1,4,23,1318731,4313667,84317,60528
svm,5,coro-no-prefetch,8,2,10,100,354,1,388,0.000548023,0,4,23,1347178,4493503,86972,61958
svm,6,coro-prefetch,8,2,10,100,354,1,387,0.00054661,1,4,23,1342569,4645503,82719,44488
svm,0,control,1,2,10,100,354,1,380,0.000536723,1,4,23,1315823,4313667,96407,47919
svm,5,coro-no-prefetch,8,2,10,100,354,1,391,0.00055226,0,4,23,1359315,4493503,97864,48423
svm,6,coro-prefetch,8,2,10,100,354,1,385,0.000543785,1,4,23,1333531,4645503,82208,44373
svm,0,control,1,2,10,100,354,1,379,0.000535311,1,4,23,1312087,4313667,96500,47763
svm,5,coro-no-prefetch,8,2,10,100,354,1,390,0.000550847,0,4,23,1344609,4493503,98942,48579
svm,6,coro-prefetch,8,2,10,100,354,1,384,0.000542373,1,4,23,1333601,4645503,84448,41554
svm,0,control,1,2,10,100,354,1,380,0.000536723,1,4,23,1315930,4313667,97385,48175
svm,5,coro-no-prefetch,8,2,10,100,354,1,386,0.000545198,0,4,23,1337611,4493503,98852,48680
svm,6,coro-prefetch,8,2,10,100,354,1,385,0.000543785,1,4,23,1335643,4645503,84206,41382
svm,0,control,1,2,10,100,354,1,379,0.000535311,1,4,23,1311089,4313667,96980,47948
svm,5,coro-no-prefetch,8,2,10,100,354,1,387,0.00054661,0,4,23,1341615,4493503,99049,48706
svm,6,coro-prefetch,8,2,10,100,354,1,386,0.000545198,1,4,23,1332261,4645503,86035,40293
svm,0,control,1,2,10,100,354,1,390,0.000550847,1,4,23,1323209,4313668,98386,48279
svm,5,coro-no-prefetch,8,2,10,100,354,1,390,0.000550847,0,4,23,1351953,4493503,100230,48584
svm,6,coro-prefetch,8,2,10,100,354,1,388,0.000548023,1,4,23,1338709,4645503,88653,40024
svm,0,control,1,2,10,100,354,1,378,0.000533898,1,4,23,1306055,4313667,98572,47907
svm,5,coro-no-prefetch,8,2,10,100,354,1,386,0.000545198,0,4,23,1338314,4493503,100640,48583
svm,6,coro-prefetch,8,2,10,100,354,1,386,0.000545198,1,4,23,1337110,4645503,90434,39810
svm,0,control,1,2,10,100,354,1,378,0.000533898,1,4,23,1306120,4313667,98944,47957
svm,5,coro-no-prefetch,8,2,10,100,354,1,423,0.000597458,0,4,23,1359971,4493503,100017,48370
svm,6,coro-prefetch,8,2,10,100,354,1,384,0.000542373,1,4,23,1327511,4645503,94166,40270
svm,0,control,1,2,10,100,354,1,381,0.000538136,1,4,23,1315298,4313667,98893,48256
svm,5,coro-no-prefetch,8,2,10,100,354,1,387,0.00054661,0,4,23,1341794,4493503,99486,48496
svm,6,coro-prefetch,8,2,10,100,354,1,383,0.00054096,1,4,23,1327730,4645503,95792,40386
svm,0,control,1,2,10,100,354,1,378,0.000533898,1,4,23,1309725,4313667,99039,48083
svm,5,coro-no-prefetch,8,2,10,100,354,1,389,0.000549435,0,4,23,1350575,4493503,98920,48766
svm,6,coro-prefetch,8,2,10,100,354,1,386,0.000545198,1,4,23,1336034,4645503,95242,40727
svm,0,control,1,2,10,100,354,1,377,0.000532486,1,4,23,1308637,4313667,99089,47878
