model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
svm,0,control,1,2,10,200,938,1,847,0.000225746,1,2,30,3088489,7501737,213695,189571
svm,5,coro-no-prefetch,6,2,10,200,938,1,881,0.000234808,0,2,30,3197110,7833397,219089,191967
svm,6,coro-prefetch,6,2,10,200,938,1,835,0.000222548,1,2,30,3013051,8164692,178280,141116
svm,0,control,1,2,10,200,938,1,842,0.000224414,1,2,30,3065890,7501737,214505,186863
svm,5,coro-no-prefetch,6,2,10,200,938,1,921,0.000245469,0,2,30,3235834,7832692,223209,187516
svm,6,coro-prefetch,6,2,10,200,938,1,828,0.000220682,1,2,30,3013152,8164691,196648,131071
svm,0,control,1,2,10,200,938,1,858,0.000228678,1,2,30,3128515,7501737,250005,147250
svm,5,coro-no-prefetch,6,2,10,200,938,1,893,0.000238006,0,2,30,3262034,7832691,251665,152160
svm,6,coro-prefetch,6,2,10,200,938,1,822,0.000219083,1,2,30,2991332,8164691,203326,125027
svm,0,control,1,2,10,200,938,1,862,0.000229744,1,2,30,3116272,7501738,251691,147865
svm,5,coro-no-prefetch,6,2,10,200,938,1,888,0.000236674,0,2,30,3234985,7832691,254776,152383
svm,6,coro-prefetch,6,2,10,200,938,1,815,0.000217217,1,2,30,2972317,8164691,205151,124310
svm,0,control,1,2,10,200,938,1,836,0.000222814,1,2,30,3049182,7501737,251965,146724
svm,5,coro-no-prefetch,6,2,10,200,938,1,869,0.00023161,0,2,30,3170102,7832691,254295,151829
svm,6,coro-prefetch,6,2,10,200,938,1,815,0.000217217,1,2,30,2972194,8164691,207425,123030
svm,0,control,1,2,10,200,938,1,867,0.000231077,1,2,30,3160485,7501737,234369,137286
svm,5,coro-no-prefetch,6,2,10,200,938,1,770,0.000205224,0,2,30,2802225,7832691,249947,146139
svm,6,coro-prefetch,6,2,10,200,938,1,788,0.000210021,1,2,30,2867194,8164691,215457,121345
svm,0,control,1,2,10,200,938,1,868,0.000231343,1,2,30,3167705,7501737,234261,138131
svm,5,coro-no-prefetch,6,2,10,200,938,1,771,0.00020549,0,2,30,2804396,7832691,250257,147185
svm,6,coro-prefetch,6,2,10,200,938,1,796,0.000212154,1,2,30,2872711,8164692,216941,123381
svm,0,control,1,2,10,200,938,1,904,0.000240938,1,2,30,3305877,7501737,220435,138656
svm,5,coro-no-prefetch,6,2,10,200,938,1,787,0.000209755,0,2,30,2862716,7832691,240452,146634
svm,6,coro-prefetch,6,2,10,200,938,1,802,0.000213753,1,2,30,2895165,8164692,195284,130530
svm,0,control,1,2,10,200,938,1,903,0.000240672,1,2,30,3296904,7501737,220186,138481
svm,5,coro-no-prefetch,6,2,10,200,938,1,788,0.000210021,0,2,30,2870160,7832691,240756,146188
svm,6,coro-prefetch,6,2,10,200,938,1,805,0.000214552,1,2,30,2905996,8164692,196295,132672
svm,0,control,1,2,10,200,938,1,906,0.000241471,1,2,30,3314290,7501737,220531,138526
svm,5,coro-no-prefetch,6,2,10,200,938,1,787,0.000209755,0,2,30,2864580,7832691,240585,146665
svm,6,coro-prefetch,6,2,10,200,938,1,803,0.000214019,1,2,30,2901772,8164692,196369,131730
svm,0,control,1,2,10,200,938,1,902,0.000240405,1,2,30,3294887,7501737,223000,138671
svm,5,coro-no-prefetch,6,2,10,200,938,1,788,0.000210021,0,2,30,2864988,7832691,242262,146148
svm,6,coro-prefetch,6,2,10,200,938,1,794,0.00021162,1,2,30,2892501,8164691,204011,124644
svm,0,control,1,2,10,200,938,1,892,0.00023774,1,2,30,3258910,7501737,228233,138092
svm,5,coro-no-prefetch,6,2,10,200,938,1,787,0.000209755,0,2,30,2855361,7832691,245648,146477
svm,6,coro-prefetch,6,2,10,200,938,1,789,0.000210288,1,2,30,2872327,8164691,211463,122668
svm,0,control,1,2,10,200,938,1,872,0.000232409,1,2,30,3189001,7501737,233602,138057
svm,5,coro-no-prefetch,6,2,10,200,938,1,774,0.00020629,0,2,30,2816888,7832691,247648,146435
svm,6,coro-prefetch,6,2,10,200,938,1,788,0.000210021,1,2,30,2869791,8164691,214507,122092
svm,0,control,1,2,10,200,938,1,870,0.000231876,1,2,30,3177802,7501737,234319,137568
svm,5,coro-no-prefetch,6,2,10,200,938,1,774,0.00020629,0,2,30,2808873,7832691,250666,146953
svm,6,coro-prefetch,6,2,10,200,938,1,788,0.000210021,1,2,30,2864044,8164691,218646,122890
svm,0,control,1,2,10,200,938,1,820,0.00021855,1,2,30,2959390,7501738,228162,147064
svm,5,coro-no-prefetch,6,2,10,200,938,1,783,0.000208689,0,2,30,2846042,7832691,212832,181971
svm,6,coro-prefetch,6,2,10,200,938,1,797,0.00021242,1,2,30,2902610,8164691,200421,127956
svm,0,control,1,2,10,200,938,1,912,0.00024307,1,2,30,3315023,7501738,225415,138326
svm,5,coro-no-prefetch,6,2,10,200,938,1,786,0.000209488,0,2,30,2858908,7832691,243998,146647
svm,6,coro-prefetch,6,2,10,200,938,1,799,0.000212953,1,2,30,2901650,8164691,206785,123653
svm,0,control,1,2,10,200,938,1,885,0.000235874,1,2,30,3221360,7501738,230577,137658
svm,5,coro-no-prefetch,6,2,10,200,938,1,778,0.000207356,0,2,30,2829608,7832691,247329,146315
svm,6,coro-prefetch,6,2,10,200,938,1,789,0.000210288,1,2,30,2866596,8164691,213338,122059
svm,0,control,1,2,10,200,938,1,910,0.000242537,1,2,30,3191759,7501738,233959,138154
svm,5,coro-no-prefetch,6,2,10,200,938,1,774,0.00020629,0,2,30,2812210,7832691,250161,146957
svm,6,coro-prefetch,6,2,10,200,938,1,781,0.000208156,1,2,30,2840871,8164691,216826,122076
svm,0,control,1,2,10,200,938,1,913,0.000243337,1,2,30,3318606,7501738,195397,168218
svm,5,coro-no-prefetch,6,2,10,200,938,1,781,0.000208156,0,2,30,2839008,7832691,239929,146031
svm,6,coro-prefetch,6,2,10,200,938,1,791,0.000210821,1,2,30,2876048,8164691,200044,128208
svm,0,control,1,2,10,200,938,1,898,0.000239339,1,2,30,3279866,7501737,222700,138144
svm,5,coro-no-prefetch,6,2,10,200,938,1,792,0.000211087,0,2,30,2857156,7832692,242690,146039
svm,6,coro-prefetch,6,2,10,200,938,1,802,0.000213753,1,2,30,2923080,8164691,200050,127749
svm,0,control,1,2,10,200,938,1,902,0.000240405,1,2,30,3302177,7501737,222935,137957
svm,5,coro-no-prefetch,6,2,10,200,938,1,799,0.000212953,0,2,30,2886336,7832692,242827,146478
svm,6,coro-prefetch,6,2,10,200,938,1,794,0.00021162,1,2,30,2887614,8164691,203993,124393
svm,0,control,1,2,10,200,938,1,878,0.000234009,1,2,30,3206238,7501737,230366,137659
svm,5,coro-no-prefetch,6,2,10,200,938,1,789,0.000210288,0,2,30,2849362,7832692,246322,146258
