model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
svm,0,control,1,2,10,200,512,1,2424,0.00118359,1,8,64,9043991,8295037,466138,444542
svm,5,coro-no-prefetch,2,2,10,200,512,1,2357,0.00115088,0,8,64,8790713,8582601,472283,437282
svm,6,coro-prefetch,2,2,10,200,512,1,2931,0.00143115,1,8,64,10980098,8998247,344944,302076
svm,0,control,1,2,10,200,512,1,2418,0.00118066,1,8,64,9022736,8295037,545670,349091
svm,5,coro-no-prefetch,2,2,10,200,512,1,2351,0.00114795,0,8,64,8760420,8582248,551700,341155
svm,6,coro-prefetch,2,2,10,200,512,1,2939,0.00143506,1,8,64,10988030,8998248,350226,302576
svm,0,control,1,2,10,200,512,1,2411,0.00117725,1,8,64,9016470,8295036,552725,349520
svm,5,coro-no-prefetch,2,2,10,200,512,1,2343,0.00114404,0,8,64,8748436,8582247,559154,342300
svm,6,coro-prefetch,2,2,10,200,512,1,2938,0.00143457,1,8,64,10986819,8998248,355365,301714
svm,0,control,1,2,10,200,512,1,2417,0.00118018,1,8,64,9012666,8295037,552902,348610
svm,5,coro-no-prefetch,2,2,10,200,512,1,2344,0.00114453,0,8,64,8747876,8582248,565200,348155
svm,6,coro-prefetch,2,2,10,200,512,1,2955,0.00144287,1,8,64,11005162,8998248,349164,302405
svm,0,control,1,2,10,200,512,1,2453,0.00119775,1,8,64,9035336,8295037,546428,350518
svm,5,coro-no-prefetch,2,2,10,200,512,1,2342,0.00114355,0,8,64,8756602,8582247,553355,342732
svm,6,coro-prefetch,2,2,10,200,512,1,2938,0.00143457,1,8,64,10987136,8998248,351643,300688
svm,0,control,1,2,10,200,512,1,2417,0.00118018,1,8,64,9018371,8295037,552509,347713
svm,5,coro-no-prefetch,2,2,10,200,512,1,2343,0.00114404,0,8,64,8723930,8582248,560507,339865
svm,6,coro-prefetch,2,2,10,200,512,1,2937,0.00143408,1,8,64,10989237,8998248,355406,300735
svm,0,control,1,2,10,200,512,1,2408,0.00117578,1,8,64,8998838,8295036,552322,348854
svm,5,coro-no-prefetch,2,2,10,200,512,1,2333,0.00113916,0,8,64,8719945,8582247,564279,341408
svm,6,coro-prefetch,2,2,10,200,512,1,2976,0.00145312,1,8,64,10997710,8998248,350733,302137
svm,0,control,1,2,10,200,512,1,2461,0.00120166,1,8,64,9043257,8295037,541116,350794
svm,5,coro-no-prefetch,2,2,10,200,512,1,2355,0.0011499,0,8,64,8784182,8582248,547788,343545
svm,6,coro-prefetch,2,2,10,200,512,1,2941,0.00143604,1,8,64,10999668,8998248,349916,302304
svm,0,control,1,2,10,200,512,1,2409,0.00117627,1,8,64,9006602,8295036,552638,349519
svm,5,coro-no-prefetch,2,2,10,200,512,1,2353,0.00114893,0,8,64,8765832,8582248,561543,342672
svm,6,coro-prefetch,2,2,10,200,512,1,2938,0.00143457,1,8,64,10983629,8998248,355677,301150
svm,0,control,1,2,10,200,512,1,2415,0.0011792,1,8,64,9009555,8295037,552654,349541
svm,5,coro-no-prefetch,2,2,10,200,512,1,2334,0.00113965,0,8,64,8724088,8582247,564347,342886
svm,6,coro-prefetch,2,2,10,200,512,1,2926,0.00142871,1,8,64,10967239,8998247,358158,300630
svm,0,control,1,2,10,200,512,1,2417,0.00118018,1,8,64,9018328,8295037,552894,349357
svm,5,coro-no-prefetch,2,2,10,200,512,1,2380,0.00116211,0,8,64,8759573,8582248,470662,432853
svm,6,coro-prefetch,2,2,10,200,512,1,2937,0.00143408,1,8,64,10993099,8998248,345684,302183
svm,0,control,1,2,10,200,512,1,2420,0.00118164,1,8,64,9026551,8295037,546401,350052
svm,5,coro-no-prefetch,2,2,10,200,512,1,2340,0.00114258,0,8,64,8744885,8582247,551631,340266
svm,6,coro-prefetch,2,2,10,200,512,1,2934,0.00143262,1,8,64,10997492,8998247,347834,302673
svm,0,control,1,2,10,200,512,1,2422,0.00118262,1,8,64,9027020,8295037,546009,349903
svm,5,coro-no-prefetch,2,2,10,200,512,1,2355,0.0011499,0,8,64,8779082,8582248,553496,344483
svm,6,coro-prefetch,2,2,10,200,512,1,2941,0.00143604,1,8,64,10989682,8998248,351407,301327
svm,0,control,1,2,10,200,512,1,2411,0.00117725,1,8,64,9012248,8295036,552764,349051
svm,5,coro-no-prefetch,2,2,10,200,512,1,2333,0.00113916,0,8,64,8721241,8582247,560670,339818
svm,6,coro-prefetch,2,2,10,200,512,1,2938,0.00143457,1,8,64,10991259,8998248,356745,300568
svm,0,control,1,2,10,200,512,1,2411,0.00117725,1,8,64,8997541,8295037,552608,348236
svm,5,coro-no-prefetch,2,2,10,200,512,1,2387,0.00116553,0,8,64,8745293,8582248,564498,343567
svm,6,coro-prefetch,2,2,10,200,512,1,2932,0.00143164,1,8,64,10972249,8998248,356618,301097
svm,0,control,1,2,10,200,512,1,2410,0.00117676,1,8,64,9008753,8295036,553365,349641
svm,5,coro-no-prefetch,2,2,10,200,512,1,2339,0.00114209,0,8,64,8742189,8582247,564098,344406
svm,6,coro-prefetch,2,2,10,200,512,1,2933,0.00143213,1,8,64,10974089,8998248,357853,300003
svm,0,control,1,2,10,200,512,1,2455,0.00119873,1,8,64,9023721,8295037,552944,349241
svm,5,coro-no-prefetch,2,2,10,200,512,1,2359,0.00115186,0,8,64,8793842,8582248,548126,346003
svm,6,coro-prefetch,2,2,10,200,512,1,2941,0.00143604,1,8,64,10991813,8998248,347850,302057
svm,0,control,1,2,10,200,512,1,2410,0.00117676,1,8,64,9017311,8295036,546356,350394
svm,5,coro-no-prefetch,2,2,10,200,512,1,2339,0.00114209,0,8,64,8724486,8582248,552673,338945
svm,6,coro-prefetch,2,2,10,200,512,1,2940,0.00143555,1,8,64,10997612,8998248,350192,302777
svm,0,control,1,2,10,200,512,1,2416,0.00117969,1,8,64,9009095,8295037,552449,349116
svm,5,coro-no-prefetch,2,2,10,200,512,1,2329,0.00113721,0,8,64,8705040,8582247,558325,337918
svm,6,coro-prefetch,2,2,10,200,512,1,2929,0.00143018,1,8,64,10977280,8998247,350155,300931
svm,0,control,1,2,10,200,512,1,2409,0.00117627,1,8,64,9011326,8295036,553025,349613
svm,5,coro-no-prefetch,2,2,10,200,512,1,2347,0.001146,0,8,64,8755325,8582248,559329,342319
svm,6,coro-prefetch,2,2,10,200,512,1,2940,0.00143555,1,8,64,10997616,8998248,351485,302212
svm,0,control,1,2,10,200,512,1,2416,0.00117969,1,8,64,9005834,8295037,552860,349789
svm,5,coro-no-prefetch,2,2,10,200,512,1,2346,0.00114551,0,8,64,8766578,8582247,561918,344845
svm,6,coro-prefetch,2,2,10,200,512,1,2929,0.00143018,1,8,64,10979243,8998247,354152,300853
svm,0,control,1,2,10,200,512,1,2451,0.00119678,1,8,64,9018349,8295037,552746,349721
svm,5,coro-no-prefetch,2,2,10,200,512,1,2382,0.00116309,0,8,64,8744113,8582248,563224,342977
svm,6,coro-prefetch,2,2,10,200,512,1,2935,0.00143311,1,8,64,10988004,8998248,356672,301618
svm,0,control,1,2,10,200,512,1,2455,0.00119873,1,8,64,9016620,8295037,552672,349322
