model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
cnn,0,control,1,2,10,200,326,2,1851,0.00141948,1,2,31,7037353,23326609,224262,77144
cnn,5,coro-no-prefetch,2,2,10,200,326,2,1654,0.0012684,0,2,31,6258232,20794497,225166,76745
cnn,6,coro-prefetch,2,2,10,200,326,2,1655,0.00126917,1,2,31,6274415,21227214,198272,70455
cnn,0,control,1,2,10,200,326,2,1850,0.00141871,1,2,31,7032874,23326608,223835,76219
cnn,5,coro-no-prefetch,2,2,10,200,326,2,1663,0.00127531,0,2,31,6270943,20794278,224861,76442
cnn,6,coro-prefetch,2,2,10,200,326,2,1670,0.00128067,1,2,31,6292935,21226278,195549,70603
cnn,0,control,1,2,10,200,326,2,1859,0.00142561,1,2,31,7036020,23326609,223662,76201
cnn,5,coro-no-prefetch,2,2,10,200,326,2,1653,0.00126764,0,2,31,6263883,20794277,224681,76302
cnn,6,coro-prefetch,2,2,10,200,326,2,1655,0.00126917,1,2,31,6276420,21226277,194961,69463
cnn,0,control,1,2,10,200,326,2,1862,0.00142791,1,2,31,7045314,23326609,224134,76223
cnn,5,coro-no-prefetch,2,2,10,200,326,2,1659,0.00127224,0,2,31,6265343,20794278,225310,77069
cnn,6,coro-prefetch,2,2,10,200,326,2,1669,0.00127991,1,2,31,6298440,21226278,195690,70034
cnn,0,control,1,2,10,200,326,2,1848,0.00141718,1,2,31,7026718,23326608,223881,76114
cnn,5,coro-no-prefetch,2,2,10,200,326,2,1652,0.00126687,0,2,31,6266244,20794277,225077,76913
cnn,6,coro-prefetch,2,2,10,200,326,2,1670,0.00128067,1,2,31,6299170,21226278,195751,70090
cnn,0,control,1,2,10,200,326,2,1848,0.00141718,1,2,31,6996287,23326609,224392,77284
cnn,5,coro-no-prefetch,2,2,10,200,326,2,1662,0.00127454,0,2,31,6273985,20794278,225123,77230
cnn,6,coro-prefetch,2,2,10,200,326,2,1663,0.00127531,1,2,31,6294646,21226277,195279,70228
cnn,0,control,1,2,10,200,326,2,1849,0.00141794,1,2,31,7036966,23326608,223965,76350
cnn,5,coro-no-prefetch,2,2,10,200,326,2,1652,0.00126687,0,2,31,6264665,20794277,224977,76209
cnn,6,coro-prefetch,2,2,10,200,326,2,1664,0.00127607,1,2,31,6276304,21226278,198323,69919
cnn,0,control,1,2,10,200,326,2,1856,0.00142331,1,2,31,7042173,23326609,224037,76852
cnn,5,coro-no-prefetch,2,2,10,200,326,2,1629,0.00124923,0,2,31,6175926,20794277,225067,76858
cnn,6,coro-prefetch,2,2,10,200,326,2,1657,0.00127071,1,2,31,6286554,21226277,198235,70802
cnn,0,control,1,2,10,200,326,2,1849,0.00141794,1,2,31,7030729,23326608,223882,76172
cnn,5,coro-no-prefetch,2,2,10,200,326,2,1655,0.00126917,0,2,31,6247667,20794278,225123,77136
cnn,6,coro-prefetch,2,2,10,200,326,2,1664,0.00127607,1,2,31,6278066,21226278,195712,69589
cnn,0,control,1,2,10,200,326,2,1817,0.0013934,1,2,31,6902732,23326608,223786,76317
cnn,5,coro-no-prefetch,2,2,10,200,326,2,1651,0.0012661,0,2,31,6262219,20794277,224971,76506
cnn,6,coro-prefetch,2,2,10,200,326,2,1658,0.00127147,1,2,31,6290698,21226277,194452,69667
cnn,0,control,1,2,10,200,326,2,1855,0.00142255,1,2,31,7016980,23326609,224134,76383
cnn,5,coro-no-prefetch,2,2,10,200,326,2,1660,0.00127301,0,2,31,6266928,20794278,225254,77279
cnn,6,coro-prefetch,2,2,10,200,326,2,1655,0.00126917,1,2,31,6273162,21226277,197494,69988
cnn,0,control,1,2,10,200,326,2,1847,0.00141641,1,2,31,7027662,23326608,223969,76215
cnn,5,coro-no-prefetch,2,2,10,200,326,2,1649,0.00126457,0,2,31,6252224,20794277,224935,76530
cnn,6,coro-prefetch,2,2,10,200,326,2,1664,0.00127607,1,2,31,6280306,21226278,195248,69709
cnn,0,control,1,2,10,200,326,2,1863,0.00142868,1,2,31,7041539,23326609,223835,77096
