model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
cnn,0,control,1,2,10,400,822,2,27960,0.00425182,1,8,309,46905718,102081273,4545569,3289740
cnn,5,coro-no-prefetch,2,2,10,400,822,2,12880,0.00195864,0,8,309,49761376,102728325,4572182,3228584
cnn,6,coro-prefetch,2,2,10,400,822,2,16648,0.00253163,1,8,309,64449521,107728929,3698064,2677706
cnn,0,control,1,2,10,400,822,2,12113,0.001842,1,8,309,46825146,102081273,4532514,3181866
cnn,5,coro-no-prefetch,2,2,10,400,822,2,12348,0.00187774,0,8,309,47752538,102728020,4555431,3205513
cnn,6,coro-prefetch,2,2,10,400,822,2,16199,0.00246335,1,8,309,62706028,107728021,3730703,2681253
cnn,0,control,1,2,10,400,822,2,11988,0.00182299,1,8,309,46354237,102081273,4531732,3181162
cnn,5,coro-no-prefetch,2,2,10,400,822,2,12337,0.00187606,0,8,309,47708076,102728020,4559642,3204070
cnn,6,coro-prefetch,2,2,10,400,822,2,16217,0.00246609,1,8,309,62746233,107728021,3731233,2673475
cnn,0,control,1,2,10,400,822,2,11987,0.00182284,1,8,309,46275294,102081273,4531448,3177350
cnn,5,coro-no-prefetch,2,2,10,400,822,2,12367,0.00188063,0,8,309,47784580,102728021,4558557,3201696
cnn,6,coro-prefetch,2,2,10,400,822,2,16188,0.00246168,1,8,309,62660111,107728021,3732205,2677753
cnn,0,control,1,2,10,400,822,2,12110,0.00184155,1,8,309,46832986,102081273,4531850,3185340
cnn,5,coro-no-prefetch,2,2,10,400,822,2,12379,0.00188245,0,8,309,47876947,102728020,4557389,3199266
cnn,6,coro-prefetch,2,2,10,400,822,2,16184,0.00246107,1,8,309,62662129,107728021,3732159,2680704
cnn,0,control,1,2,10,400,822,2,12041,0.00183105,1,8,309,46549725,102081273,4531624,3181280
cnn,5,coro-no-prefetch,2,2,10,400,822,2,12350,0.00187804,0,8,309,47765246,102728020,4556324,3204761
cnn,6,coro-prefetch,2,2,10,400,822,2,16214,0.00246563,1,8,309,62730218,107728021,3725441,2673927
cnn,0,control,1,2,10,400,822,2,12038,0.0018306,1,8,309,46541603,102081273,4529453,3177652
cnn,5,coro-no-prefetch,2,2,10,400,822,2,12358,0.00187926,0,8,309,47770830,102728020,4558323,3204308
cnn,6,coro-prefetch,2,2,10,400,822,2,16168,0.00245864,1,8,309,62584028,107728021,3728463,2677747
cnn,0,control,1,2,10,400,822,2,12107,0.00184109,1,8,309,46809939,102081273,4530641,3177752
cnn,5,coro-no-prefetch,2,2,10,400,822,2,12339,0.00187637,0,8,309,47732302,102728020,4556383,3199415
cnn,6,coro-prefetch,2,2,10,400,822,2,16192,0.00246229,1,8,309,62679606,107728021,3728973,2679336
cnn,0,control,1,2,10,400,822,2,12017,0.0018274,1,8,309,46448439,102081273,4532086,3179163
cnn,5,coro-no-prefetch,2,2,10,400,822,2,12337,0.00187606,0,8,309,47710893,102728020,4559577,3200729
cnn,6,coro-prefetch,2,2,10,400,822,2,16158,0.00245712,1,8,309,62542095,107728021,3726313,2671827
cnn,0,control,1,2,10,400,822,2,12063,0.0018344,1,8,309,46638939,102081273,4531746,3179977
cnn,5,coro-no-prefetch,2,2,10,400,822,2,12353,0.0018785,0,8,309,47693396,102728020,4557567,3208661
cnn,6,coro-prefetch,2,2,10,400,822,2,16224,0.00246715,1,8,309,62699406,107728021,3730624,2670029
cnn,0,control,1,2,10,400,822,2,12078,0.00183668,1,8,309,46628408,102081273,4532076,3183487
cnn,5,coro-no-prefetch,2,2,10,400,822,2,12344,0.00187713,0,8,309,47692036,102728021,4556641,3204108
cnn,6,coro-prefetch,2,2,10,400,822,2,16190,0.00246198,1,8,309,62683156,107728021,3733262,2676494
cnn,0,control,1,2,10,400,822,2,12044,0.00183151,1,8,309,46561694,102081273,4530383,3177014
cnn,5,coro-no-prefetch,2,2,10,400,822,2,12340,0.00187652,0,8,309,47707355,102728020,4559100,3201665
cnn,6,coro-prefetch,2,2,10,400,822,2,16188,0.00246168,1,8,309,62672174,107728021,3727993,2680055
cnn,0,control,1,2,10,400,822,2,12146,0.00184702,1,8,309,46961319,102081273,4533561,3182588
cnn,5,coro-no-prefetch,2,2,10,400,822,2,12469,0.00189614,0,8,309,48241282,102728020,4561367,3245644
cnn,6,coro-prefetch,2,2,10,400,822,2,16265,0.00247339,1,8,309,62988810,107728021,3733780,2692372
cnn,0,control,1,2,10,400,822,2,12127,0.00184413,1,8,309,46862394,102081273,4531559,3185534
cnn,5,coro-no-prefetch,2,2,10,400,822,2,12389,0.00188397,0,8,309,47889250,102728020,4553766,3202550
cnn,6,coro-prefetch,2,2,10,400,822,2,16166,0.00245833,1,8,309,62566013,107728021,3731929,2678369
cnn,0,control,1,2,10,400,822,2,12111,0.0018417,1,8,309,46812576,102081273,4532701,3178079
cnn,5,coro-no-prefetch,2,2,10,400,822,2,12353,0.0018785,0,8,309,47771163,102728020,4559539,3199340
cnn,6,coro-prefetch,2,2,10,400,822,2,16183,0.00246092,1,8,309,62633993,107728021,3727199,2677217
cnn,0,control,1,2,10,400,822,2,12053,0.00183288,1,8,309,46541224,102081273,4531965,3177305
cnn,5,coro-no-prefetch,2,2,10,400,822,2,12378,0.0018823,0,8,309,47803443,102728020,4559897,3199890
cnn,6,coro-prefetch,2,2,10,400,822,2,16188,0.00246168,1,8,309,62667898,107728021,3730683,2678884
cnn,0,control,1,2,10,400,822,2,12047,0.00183196,1,8,309,46571624,102081273,4531903,3180932
cnn,5,coro-no-prefetch,2,2,10,400,822,2,12366,0.00188047,0,8,309,47760995,102728020,4558173,3203490
cnn,6,coro-prefetch,2,2,10,400,822,2,16220,0.00246655,1,8,309,62754756,107728021,3733606,2675254
cnn,0,control,1,2,10,400,822,2,12052,0.00183273,1,8,309,46578755,102081273,4530391,3178223
cnn,5,coro-no-prefetch,2,2,10,400,822,2,12384,0.00188321,0,8,309,47857012,102728021,4555952,3201587
cnn,6,coro-prefetch,2,2,10,400,822,2,16175,0.0024597,1,8,309,62605478,107728021,3724173,2677670
cnn,0,control,1,2,10,400,822,2,12115,0.00184231,1,8,309,46857007,102081273,4531950,3189448
cnn,5,coro-no-prefetch,2,2,10,400,822,2,12339,0.00187637,0,8,309,47711592,102728020,4561395,3198997
cnn,6,coro-prefetch,2,2,10,400,822,2,16211,0.00246518,1,8,309,62748730,107728021,3729915,2682378
cnn,0,control,1,2,10,400,822,2,12070,0.00183546,1,8,309,46646770,102081273,4532339,3178982
cnn,5,coro-no-prefetch,2,2,10,400,822,2,12375,0.00188184,0,8,309,47845218,102728020,4557082,3197806
cnn,6,coro-prefetch,2,2,10,400,822,2,16183,0.00246092,1,8,309,62644959,107728021,3733029,2682647
cnn,0,control,1,2,10,400,822,2,12078,0.00183668,1,8,309,46635745,102081274,4532358,3185829
cnn,5,coro-no-prefetch,2,2,10,400,822,2,12386,0.00188352,0,8,309,47887900,102728020,4560423,3202988
cnn,6,coro-prefetch,2,2,10,400,822,2,16257,0.00247217,1,8,309,62892489,107728021,3729947,2673374
cnn,0,control,1,2,10,400,822,2,12108,0.00184124,1,8,309,46818953,102081273,4532774,3175209
cnn,5,coro-no-prefetch,2,2,10,400,822,2,12348,0.00187774,0,8,309,47686423,102728020,4556294,3200654
cnn,6,coro-prefetch,2,2,10,400,822,2,16215,0.00246578,1,8,309,62771025,107728021,3725762,2678655
cnn,0,control,1,2,10,400,822,2,12119,0.00184291,1,8,309,46790258,102081273,4530664,3183385
cnn,5,coro-no-prefetch,2,2,10,400,822,2,12369,0.00188093,0,8,309,47822455,102728020,4558624,3202254
cnn,6,coro-prefetch,2,2,10,400,822,2,16201,0.00246366,1,8,309,62654043,107728021,3730592,2681603
cnn,0,control,1,2,10,400,822,2,11988,0.00182299,1,8,309,46348042,102081273,4531894,3180340
cnn,5,coro-no-prefetch,2,2,10,400,822,2,12380,0.0018826,0,8,309,47817625,102728020,4559391,3202620
cnn,6,coro-prefetch,2,2,10,400,822,2,16240,0.00246959,1,8,309,62859673,107728021,3726520,2685938
cnn,0,control,1,2,10,400,822,2,12112,0.00184185,1,8,309,46815867,102081273,4531556,3180566
cnn,5,coro-no-prefetch,2,2,10,400,822,2,12335,0.00187576,0,8,309,47705765,102728020,4560652,3198401
cnn,6,coro-prefetch,2,2,10,400,822,2,16155,0.00245666,1,8,309,62547061,107728021,3735449,2675668
cnn,0,control,1,2,10,400,822,2,12106,0.00184094,1,8,309,46801023,102081273,4532381,3175687
cnn,5,coro-no-prefetch,2,2,10,400,822,2,12369,0.00188093,0,8,309,47828579,102728020,4554935,3203834
cnn,6,coro-prefetch,2,2,10,400,822,2,16187,0.00246153,1,8,309,62662996,107728021,3727022,2680237
cnn,0,control,1,2,10,400,822,2,12068,0.00183516,1,8,309,46663659,102081273,4531430,3183946
cnn,5,coro-no-prefetch,2,2,10,400,822,2,12369,0.00188093,0,8,309,47834871,102728020,4560164,3207885
cnn,6,coro-prefetch,2,2,10,400,822,2,16201,0.00246366,1,8,309,62691805,107728022,3727882,2677948
cnn,0,control,1,2,10,400,822,2,12130,0.00184459,1,8,309,46902268,102081273,4533130,3183200
cnn,5,coro-no-prefetch,2,2,10,400,822,2,12358,0.00187926,0,8,309,47779447,102728020,4558343,3203668
cnn,6,coro-prefetch,2,2,10,400,822,2,16183,0.00246092,1,8,309,62587971,107728021,3731307,2678975
cnn,0,control,1,2,10,400,822,2,12037,0.00183044,1,8,309,46527555,102081273,4530512,3176746
cnn,5,coro-no-prefetch,2,2,10,400,822,2,12323,0.00187394,0,8,309,47650545,102728020,4557512,3201100
cnn,6,coro-prefetch,2,2,10,400,822,2,16184,0.00246107,1,8,309,62648712,107728021,3728805,2678092
