model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
norm,0,control,1,10,100,100,700,2,559614,0.00799449,1,4,44,2113528982,1016648533,24607836,17726041
norm,5,coro-no-prefetch,4,10,100,100,700,2,570093,0.00814419,0,4,44,2215364088,1024428094,24793451,17714498
norm,6,coro-prefetch,4,10,100,100,700,2,587290,0.00838986,1,4,44,2282413104,1041026883,20883483,14246206
norm,0,control,1,10,100,100,700,2,543994,0.00777134,1,4,44,2113860961,1016648533,24597757,17638976
norm,5,coro-no-prefetch,4,10,100,100,700,2,569993,0.00814276,0,4,44,2214873947,1024426878,24790520,17711455
norm,6,coro-prefetch,4,10,100,100,700,2,587240,0.00838914,1,4,44,2282352872,1041026884,20899847,14237768
norm,0,control,1,10,100,100,700,2,543849,0.00776927,1,4,44,2113394428,1016648534,24598223,17633992
norm,5,coro-no-prefetch,4,10,100,100,700,2,570017,0.0081431,0,4,44,2215323223,1024426878,24788973,17704346
norm,6,coro-prefetch,4,10,100,100,700,2,586989,0.00838556,1,4,44,2281456832,1041026883,20976054,14335580
norm,0,control,1,10,100,100,700,2,543656,0.00776651,1,4,44,2112700620,1016648532,24598080,17616525
norm,5,coro-no-prefetch,4,10,100,100,700,2,569988,0.00814269,0,4,44,2215115535,1024426877,24793733,17720687
norm,6,coro-prefetch,4,10,100,100,700,2,586943,0.0083849,1,4,44,2281208045,1041026882,20971556,14328433
norm,0,control,1,10,100,100,700,2,543757,0.00776796,1,4,44,2113091178,1016648532,24596983,17610737
norm,5,coro-no-prefetch,4,10,100,100,700,2,570009,0.00814299,0,4,44,2215009354,1024426879,24793802,17715510
norm,6,coro-prefetch,4,10,100,100,700,2,587270,0.00838957,1,4,44,2282516965,1041026883,20911539,14271879
norm,0,control,1,10,100,100,700,2,543639,0.00776627,1,4,44,2112558455,1016648533,24599494,17615644
norm,5,coro-no-prefetch,4,10,100,100,700,2,570068,0.00814383,0,4,44,2215203090,1024426879,24791250,17735993
norm,6,coro-prefetch,4,10,100,100,700,2,586899,0.00838427,1,4,44,2281036115,1041026881,20956291,14327111
norm,0,control,1,10,100,100,700,2,543841,0.00776916,1,4,44,2113487758,1016648532,24598380,17612713
norm,5,coro-no-prefetch,4,10,100,100,700,2,570003,0.0081429,0,4,44,2215103523,1024426878,24791871,17701023
norm,6,coro-prefetch,4,10,100,100,700,2,587092,0.00838703,1,4,44,2281711096,1041026882,20951145,14318506
norm,0,control,1,10,100,100,700,2,544117,0.0077731,1,4,44,2114170865,1016648532,24598671,17696563
norm,5,coro-no-prefetch,4,10,100,100,700,2,570163,0.00814519,0,4,44,2215547632,1024426878,24793166,17722927
norm,6,coro-prefetch,4,10,100,100,700,2,587130,0.00838757,1,4,44,2281920408,1041026882,20946566,14328954
norm,0,control,1,10,100,100,700,2,544424,0.00777749,1,4,44,2115598339,1016648532,24596937,17683970
norm,5,coro-no-prefetch,4,10,100,100,700,2,570353,0.0081479,0,4,44,2216438419,1024426878,24795033,17769505
norm,6,coro-prefetch,4,10,100,100,700,2,587160,0.008388,1,4,44,2281826317,1041026882,20963050,14331785
norm,0,control,1,10,100,100,700,2,544099,0.00777284,1,4,44,2114155230,1016648532,24564170,17641598
norm,5,coro-no-prefetch,4,10,100,100,700,2,570114,0.00814449,0,4,44,2215618060,1024426877,24793171,17718462
norm,6,coro-prefetch,4,10,100,100,700,2,587264,0.00838949,1,4,44,2282344568,1041026882,20972441,14421501
