model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
norm,0,control,1,10,100,80,164,2,42859,0.00326669,1,2,6,116372711,132529403,2135075,203150
norm,5,coro-no-prefetch,6,10,100,80,164,2,30466,0.0023221,0,2,6,117979525,138809428,2216845,207047
norm,6,coro-prefetch,6,10,100,80,164,2,31903,0.00243163,1,2,6,123808113,144647913,1951249,193373
norm,0,control,1,10,100,80,164,2,29989,0.00228575,1,2,6,116411757,132529403,2136439,204601
norm,5,coro-no-prefetch,6,10,100,80,164,2,30411,0.00231791,0,2,6,118057871,138807912,2209489,200292
norm,6,coro-prefetch,6,10,100,80,164,2,31944,0.00243476,1,2,6,124025078,144647912,1958807,188892
norm,0,control,1,10,100,80,164,2,29983,0.00228529,1,2,6,116396060,132529403,2134490,202423
norm,5,coro-no-prefetch,6,10,100,80,164,2,30395,0.00231669,0,2,6,117995666,138807912,2211154,196790
norm,6,coro-prefetch,6,10,100,80,164,2,31873,0.00242934,1,2,6,123744552,144647913,1931464,188856
norm,0,control,1,10,100,80,164,2,30163,0.00229901,1,2,6,117074090,132529403,2138171,242630
norm,5,coro-no-prefetch,6,10,100,80,164,2,30423,0.00231883,0,2,6,118097623,138807912,2211026,196880
norm,6,coro-prefetch,6,10,100,80,164,2,31931,0.00243377,1,2,6,123971809,144647913,1956000,192607
norm,0,control,1,10,100,80,164,2,29986,0.00228552,1,2,6,116374082,132529403,2133358,199831
norm,5,coro-no-prefetch,6,10,100,80,164,2,30386,0.00231601,0,2,6,117970891,138807912,2211730,197641
norm,6,coro-prefetch,6,10,100,80,164,2,31890,0.00243064,1,2,6,123787990,144647913,1953218,194019
norm,0,control,1,10,100,80,164,2,29988,0.00228567,1,2,6,116369413,132529404,2136042,203131
norm,5,coro-no-prefetch,6,10,100,80,164,2,30374,0.00231509,0,2,6,117912626,138807912,2209410,195563
norm,6,coro-prefetch,6,10,100,80,164,2,31941,0.00243453,1,2,6,123999539,144647913,1961151,194616
norm,0,control,1,10,100,80,164,2,29984,0.00228537,1,2,6,116392718,132529404,2133567,201225
norm,5,coro-no-prefetch,6,10,100,80,164,2,30406,0.00231753,0,2,6,118031667,138807913,2212662,200872
norm,6,coro-prefetch,6,10,100,80,164,2,31920,0.00243293,1,2,6,123919443,144647913,1962327,189740
