model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
svm,0,control,1,2,10,400,342,1,1358,0.000496345,1,4,22,5138813,16674997,362036,255493
svm,5,coro-no-prefetch,2,2,10,400,342,1,1362,0.000497807,0,4,22,5122099,17298861,362330,254619
svm,6,coro-prefetch,2,2,10,400,342,1,1333,0.000487208,1,4,22,5026126,17866507,316636,227668
svm,0,control,1,2,10,400,342,1,1361,0.000497442,1,4,22,5132199,16674997,362349,256071
svm,5,coro-no-prefetch,2,2,10,400,342,1,1376,0.000502924,0,4,22,5131030,17298509,362804,255474
svm,6,coro-prefetch,2,2,10,400,342,1,1331,0.000486477,1,4,22,5023561,17866507,316327,227850
svm,0,control,1,2,10,400,342,1,1368,0.0005,1,4,22,5132786,16674998,362452,256418
svm,5,coro-no-prefetch,2,2,10,400,342,1,1357,0.00049598,0,4,22,5125394,17298507,362282,254073
svm,6,coro-prefetch,2,2,10,400,342,1,1333,0.000487208,1,4,22,5033302,17866507,315311,227596
svm,0,control,1,2,10,400,342,1,1363,0.000498173,1,4,22,5137106,16674997,362571,256026
svm,5,coro-no-prefetch,2,2,10,400,342,1,1354,0.000494883,0,4,22,5114219,17298507,362143,254565
svm,6,coro-prefetch,2,2,10,400,342,1,1341,0.000490132,1,4,22,5037501,17866508,315488,227525
svm,0,control,1,2,10,400,342,1,1361,0.000497442,1,4,22,5136352,16674997,362736,256702
svm,5,coro-no-prefetch,2,2,10,400,342,1,1362,0.000497807,0,4,22,5115472,17298507,362033,254073
svm,6,coro-prefetch,2,2,10,400,342,1,1334,0.000487573,1,4,22,5033651,17866507,314513,227471
svm,0,control,1,2,10,400,342,1,1359,0.000496711,1,4,22,5130831,16674997,362382,256756
svm,5,coro-no-prefetch,2,2,10,400,342,1,1364,0.000498538,0,4,22,5125189,17298508,362266,254422
svm,6,coro-prefetch,2,2,10,400,342,1,1337,0.00048867,1,4,22,5043008,17866507,315665,227140
svm,0,control,1,2,10,400,342,1,1369,0.000500365,1,4,22,5141093,16674998,362673,256606
