model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
svm,0,control,1,2,10,800,512,1,24645,0.00300842,1,8,64,35284375,33169208,2191735,1428894
svm,5,coro-no-prefetch,2,2,10,800,512,1,9023,0.00110144,0,8,64,34863907,34296723,2168786,1526279
svm,6,coro-prefetch,2,2,10,800,512,1,11051,0.001349,1,8,64,42706693,35961093,1556244,1141203
svm,0,control,1,2,10,800,512,1,9259,0.00113025,1,8,64,35775106,33169209,2130598,1506683
svm,5,coro-no-prefetch,2,2,10,800,512,1,9024,0.00110156,0,8,64,34891384,34296630,2168720,1525124
svm,6,coro-prefetch,2,2,10,800,512,1,11046,0.00134839,1,8,64,42732541,35960420,1552537,1142496
svm,0,control,1,2,10,800,512,1,9256,0.00112988,1,8,64,35793537,33169209,2130952,1507298
svm,5,coro-no-prefetch,2,2,10,800,512,1,9021,0.0011012,0,8,64,34866875,34296420,2169608,1527164
svm,6,coro-prefetch,2,2,10,800,512,1,11031,0.00134656,1,8,64,42706049,35960420,1555270,1140137
svm,0,control,1,2,10,800,512,1,9255,0.00112976,1,8,64,35776445,33169209,2130828,1506309
svm,5,coro-no-prefetch,2,2,10,800,512,1,9014,0.00110034,0,8,64,34861786,34296419,2171060,1526612
svm,6,coro-prefetch,2,2,10,800,512,1,11042,0.0013479,1,8,64,42739986,35960419,1555297,1140527
svm,0,control,1,2,10,800,512,1,9259,0.00113025,1,8,64,35809857,33169208,2131514,1507891
svm,5,coro-no-prefetch,2,2,10,800,512,1,9021,0.0011012,0,8,64,34894559,34296419,2166012,1525359
svm,6,coro-prefetch,2,2,10,800,512,1,11036,0.00134717,1,8,64,42717869,35960419,1559847,1140413
svm,0,control,1,2,10,800,512,1,9242,0.00112817,1,8,64,35753107,33169208,2131566,1507666
svm,5,coro-no-prefetch,2,2,10,800,512,1,9030,0.00110229,0,8,64,34911249,34296420,2168262,1529991
svm,6,coro-prefetch,2,2,10,800,512,1,11051,0.001349,1,8,64,42763216,35960420,1556861,1140963
svm,0,control,1,2,10,800,512,1,9256,0.00112988,1,8,64,35806615,33169208,2131489,1507589
svm,5,coro-no-prefetch,2,2,10,800,512,1,9015,0.00110046,0,8,64,34867519,34296419,2168868,1525657
svm,6,coro-prefetch,2,2,10,800,512,1,11041,0.00134778,1,8,64,42730322,35960420,1554711,1140144
svm,0,control,1,2,10,800,512,1,9250,0.00112915,1,8,64,35764696,33169209,2130633,1507066
svm,5,coro-no-prefetch,2,2,10,800,512,1,9013,0.00110022,0,8,64,34876878,34296419,2167059,1527628
svm,6,coro-prefetch,2,2,10,800,512,1,11033,0.0013468,1,8,64,42698659,35960420,1555746,1140138
svm,0,control,1,2,10,800,512,1,9257,0.00113,1,8,64,35786534,33169209,2130657,1507634
svm,5,coro-no-prefetch,2,2,10,800,512,1,9020,0.00110107,0,8,64,34890891,34296419,2164978,1525268
svm,6,coro-prefetch,2,2,10,800,512,1,11038,0.00134741,1,8,64,42731067,35960419,1552920,1140102
svm,0,control,1,2,10,800,512,1,9253,0.00112952,1,8,64,35789402,33169208,2130485,1506352
