platcode,op,repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,coro-no-prefetch-ratio-mean,coro-no-prefetch-ratio-sd,coro-prefetch-ratio-mean,coro-prefetch-ratio-sd
aw,leaf,100,10,100,1,0,2,80,448,2,0,0.858298568151318,0.009051570263227142,1.0892472103640276,0.022929855302470065
aw,leaf,100,10,100,1,0,4,80,448,2,0,0.8446394538110001,0.007435516826627859,1.2292764481185976,0.01238044061432188
aw,svm,100,10,100,1,0,6,40,618,2,0,1.1258605804553532,0.008979499772336598,1.1345851564758551,0.004323723575059535
aw,svm,100,10,100,1,0,6,40,618,2,0,1.1301738382398108,0.0041992904856901665,1.1345381401866697,0.004312280180353994
aw,svm32,100,10,100,1,0,8,400,922,4,0,0.977251042736437,0.004940611310191307,0.8339046579767136,0.004104428244722423
aw,svm32,100,10,100,1,0,2,400,162,4,0,0.9959386761055248,0.008177808704678472,1.101110113194078,0.011076504527537095
aw,svmf32,100,10,100,1,0,2,100,336,4,0,0.9769108767594772,0.0018520120483138372,0.9736293487163592,0.002104931752712691
aw,svmf32,100,10,100,1,0,6,200,316,4,0,0.973008948733954,0.00102809418445605,0.9652535327333804,0.0013718761306908515
aw,svmf64,100,10,100,1,0,6,40,544,8,0,0.9790569350306995,0.0026524270475774252,0.8387136668957783,0.0019267939000712317
aw,svmf64,100,10,100,1,0,2,400,124,8,0,0.921533611946918,0.03778271170698064,0.9373576670178774,0.059421012241711015
aw,norm,100,10,100,2,0,4,200,168,2,0,0.9977129574675381,0.011602969506390339,0.9483122543319954,0.008914447591905576
aw,norm,100,10,100,2,0,4,200,168,2,0,0.9970304231338052,0.005959705446631623,0.9475269836236991,0.0097688750178599
aw,norm32,100,10,100,2,0,8,40,152,4,0,0.957428875005673,0.00602486977098306,0.9525531214197207,0.006504464982462584
aw,norm32,100,10,100,2,0,8,40,152,4,0,0.9592541246241093,0.008555493968538382,0.9539573212324222,0.00926934529753207
aw,normf32,100,10,100,2,0,2,40,704,4,0,0.9679832882392537,0.012606988477536638,0.7810213852646758,0.010606415904032015
aw,normf32,100,10,100,2,0,4,100,120,4,0,0.9026681836408634,0.026252329606671884,1.0408197527674214,0.03512371652239471
aw,normf64,100,10,100,2,0,2,40,68,8,0,0.972599200821624,0.026044907921555453,0.9900047755172181,0.033902306620680445
aw,normf64,100,10,100,2,0,4,100,60,8,0,0.9597601190181227,0.004408032099281418,1.0639300232235305,0.00949920945777792
aw,cnn,100,10,100,2,0,6,400,22,2,0,0.9270330010028044,0.002599464914268669,0.9053398407567623,0.0028218836279382434
aw,cnn,100,10,100,2,0,6,400,22,2,0,0.9265083312828053,0.0026671423669243364,0.9056285401041947,0.0025432652814618754
aw,cnn32,100,10,100,2,0,8,100,710,4,0,0.9874560434988979,0.0007935419789602257,0.9025930617609947,0.0007666985148208385
aw,cnn32,100,10,100,2,0,2,100,206,4,0,0.9649016466004011,0.0008851041781597079,0.9584700612778887,0.0008313769111961342
aw,cnnf32,100,10,100,2,0,2,100,870,4,0,0.982660109721111,0.012065435673048406,0.7565157930143246,0.007683154732465109
aw,cnnf32,100,10,100,2,0,2,200,214,4,0,0.962419050055662,0.001995287493852041,0.9428933049188332,0.0022822808887198722
aw,cnnf64,100,10,100,2,0,8,200,150,8,0,0.9347714484972809,0.0019486765168814668,0.8608175451400755,0.0017840205609405686
aw,cnnf64,100,10,100,2,0,8,200,150,8,0,0.9345625934827774,0.0056714794025793614,0.8609669496945536,0.0051860502526159015
