platcode,op,repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,coro-no-prefetch-ratio-mean,coro-no-prefetch-ratio-sd,coro-prefetch-ratio-mean,coro-prefetch-ratio-sd
op,leaf,100,10,100,1,0,4,800,188,2,0,0.9297796547362696,0.015122146562552069,1.4306145455286015,0.027154538887383083
op,leaf,100,10,100,1,0,4,800,184,2,0,1.0192259985658003,0.006833892789587344,1.459298134124006,0.01785336683636609
op,svm,100,10,100,1,0,2,800,938,2,0,1.1316811013224164,0.016104575788404792,1.071039390262506,0.019370456027751448
op,svm,100,10,100,1,0,4,200,582,2,0,0.9672236581455732,0.011293756124887243,1.105698083360611,0.03815193334607098
op,svm32,100,10,100,1,0,2,200,1022,4,0,0.9815550683765896,0.00991716293776131,0.8309275429805839,0.008320625643403728
op,svm32,100,10,100,1,0,4,400,202,4,0,0.939245523683578,0.0016186226989993971,1.0223577726287485,0.01827191587779359
op,svmf32,100,10,100,1,0,2,800,616,4,0,1.010976771746359,0.000436045290725241,0.9439656780242401,0.0003899602875878196
op,svmf32,100,10,100,1,0,2,400,284,4,0,0.9645152724710604,0.002043397393886815,0.9664006316009808,0.0016746241047894351
op,svmf64,100,10,100,1,0,2,200,1024,8,0,1.029319555099668,0.0034199005346350407,0.8462153261099706,0.0010039605648003054
op,svmf64,100,10,100,1,0,2,800,92,8,0,0.8876397051656195,0.001408696475650863,0.9206964416328139,0.002081208152105369
op,norm,100,10,100,2,0,4,40,656,2,0,1.1143078184751136,0.0005918975457061116,1.1003573512707996,0.0009009146574208872
op,norm,100,10,100,2,0,8,200,284,2,0,1.1091754118912407,0.00029559067221473335,1.1205823074911847,0.00037025349570347547
op,norm32,100,10,100,2,0,6,40,1024,4,0,1.0318043847573086,0.002201204141646701,0.9950345233764242,0.0018241524316740274
op,norm32,100,10,100,2,0,8,200,96,4,0,1.0237505737230006,0.00035438767223330353,1.0223640319652854,0.00041622233597567415
op,normf32,100,10,100,2,0,4,800,1024,4,0,1.012004002524018,0.001126457147453701,0.7553701361106542,0.0011205632766400167
op,normf32,100,10,100,2,0,4,200,140,4,0,0.9237468330067321,0.005233921676698745,1.0668769171502952,0.007639119209978128
op,normf64,100,10,100,2,0,4,40,88,8,0,0.9786203572368822,0.011871015627185776,0.955116390974037,0.011536612523023172
op,normf64,100,10,100,2,0,4,200,84,8,0,0.9304427795928644,0.015772115110740035,1.021128487790068,0.006064961793732605
op,cnn,100,10,100,2,0,2,100,630,2,0,1.1218360608718576,0.003852524632039726,1.0927800030406127,0.004556011211303615
op,cnn,100,10,100,2,0,2,200,306,2,0,1.1083936539935257,0.0033595092065964484,1.1093067243857342,0.006903050677515997
op,cnn32,100,10,100,2,0,2,400,82,4,0,0.9767918556236869,0.0005455521437607793,0.9816843116987858,0.005966473040899379
op,cnn32,100,10,100,2,0,2,400,86,4,0,0.9771982937719215,0.003748250214150374,0.9829520227974018,0.0018309577865052687
op,cnnf32,100,10,100,2,0,2,100,898,4,0,0.98436916340473,0.0028383485234141585,0.779024652601955,0.002522244404684189
op,cnnf32,100,10,100,2,0,2,400,182,4,0,0.9665126090282092,0.003030517226512339,0.9931056895108112,0.002633772941794975
op,cnnf64,100,10,100,2,0,2,400,90,8,0,0.9703678750734721,0.002988737208926065,0.9939111669716975,0.003070203146329939
op,cnnf64,100,10,100,2,0,2,400,86,8,0,0.9704734559237356,0.0022337240464370516,0.9989475147040523,0.003589910843072136
