platcode,op,repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,coro-no-prefetch-ratio-mean,coro-no-prefetch-ratio-sd,coro-prefetch-ratio-mean,coro-prefetch-ratio-sd
pi,leaf,100,10,100,1,0,2,10,832,2,0,1.0042191103091787,0.003125218354996111,0.8319708079497101,0.001530854066523552
pi,leaf,100,10,100,1,0,6,80,296,2,0,0.8733948356049196,0.001302534544084454,1.002996140159625,0.0009572861068616281
pi,svm,100,10,100,1,0,2,20,440,2,0,0.7130345429499176,0.006075288973768108,0.748775503712009,0.0015600337871981818
pi,svm,100,10,100,1,0,6,80,296,2,0,0.649082905741074,0.0007380443866690155,0.7851151762368289,0.000859785152048922
pi,svm32,100,10,100,1,0,2,80,182,4,0,0.7472402555002976,0.003916000627444311,0.7955690651595186,0.0014255570664132675
pi,svm32,100,10,100,1,0,2,80,166,4,0,0.8217546736599314,0.006360750654569715,0.8131677891941098,0.0027935422394518685
pi,svmf32,100,10,100,1,0,2,80,748,4,0,1.0203613061393846,0.00137547485576803,0.7148828857815778,0.0002885482851985325
pi,svmf32,100,10,100,1,0,2,80,176,4,0,0.9423938707155827,0.004995502382500156,0.9013589273617724,0.003888449950861594
pi,svmf64,100,10,100,1,0,2,40,120,8,0,0.8709577285637969,0.0061871969611957366,0.7747048030237071,0.0021174380086845545
pi,svmf64,100,10,100,1,0,4,80,72,8,0,0.7774118538830693,0.001120837848618531,0.782730911798692,0.0007072888883305176
pi,norm,100,10,100,2,0,2,5,928,2,0,0.999570464691468,0.00017749709317226592,0.9928439402189377,0.00016266098961989275
pi,norm,100,10,100,2,0,4,10,268,2,0,0.9956815147382185,0.00025675063443199135,0.9994816865827509,0.00021351699040742867
pi,norm32,100,10,100,2,0,2,10,816,4,0,0.99705798168277,0.0008972488390857361,0.9928326952362052,0.0008369468955911336
pi,norm32,100,10,100,2,0,2,5,184,4,0,0.9965958182927481,0.0008541430344486899,1.0010164871195046,0.0008311394657854341
pi,normf32,100,10,100,2,0,8,5,44,4,0,0.8012826938998812,0.0065188230274796375,0.7109657372667233,0.008832300722355933
pi,normf32,100,10,100,2,0,2,5,180,4,0,0.9874182916707995,0.009868417545045619,1.0041419764093589,0.003406020473855885
pi,normf64,100,10,100,2,0,2,5,164,8,0,0.9875852101130647,0.0017230508949177105,0.9159145393139702,0.0018088354439279256
pi,normf64,100,10,100,2,0,6,10,60,8,0,0.925111539073419,0.0016448684338941056,0.9465916161668971,0.0013598320110308963
pi,cnn,100,10,100,2,0,2,10,714,2,0,0.9719638987388178,0.0018758721547264638,0.8994018282959356,0.0012067210654076455
pi,cnn,100,10,100,2,0,2,10,374,2,0,0.9796059273036009,0.0018853110283243758,0.9513517087478395,0.0014101273573012831
pi,cnn32,100,10,100,2,0,2,40,218,4,0,0.9850422890067838,0.00031401645515458847,0.970074771023639,0.00031647763958971134
pi,cnn32,100,10,100,2,0,2,40,130,4,0,0.9853765256772326,0.0002068487383492708,0.9720402301906523,0.000513125250386589
pi,cnnf32,100,10,100,2,0,2,10,358,4,0,0.9484616809979071,0.006315692020612465,0.8810533954964407,0.00631536360934187
pi,cnnf32,100,10,100,2,0,2,40,170,4,0,0.9744718434201866,0.0009638665967681856,0.9400401341291547,0.0007266989082795601
pi,cnnf64,100,10,100,2,0,2,10,166,8,0,0.9277232609333644,0.002073782135201578,0.8205521407301977,0.0012495162128875012
pi,cnnf64,100,10,100,2,0,2,10,78,8,0,0.914538930322691,0.00313946885879656,0.869471533190078,0.002418904628379707
