platcode,op,repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,toolset,coro-no-prefetch-ratio-mean,coro-no-prefetch-ratio-sd,coro-prefetch-ratio-mean,coro-prefetch-ratio-sd
pi,leaf,100,10,100,1,0,2,10,832,2,0,llvm,1.010612861935041,0.007030894769845853,0.8498922198821636,0.0029417636434870094
pi,leaf,100,10,100,1,0,6,80,128,2,0,llvm,0.7541964870138129,0.001994677616578637,1.2540655468267001,0.002447171709768678
pi,svm,100,2,10,1,0,2,20,440,2,0,llvm,0.9720581603614481,0.02497842787510849,0.9863686462248354,0.02419208249364294
pi,svm,100,2,10,1,0,6,80,296,2,0,llvm,0.9103395720353784,0.021016987023688486,1.0641804551843217,0.021793384729665445
pi,svm32,100,2,10,1,0,2,80,182,4,0,llvm,0.9573164024378619,0.029886578373332674,1.0149608504652092,0.036149696060241446
pi,svm32,100,2,10,1,0,2,80,166,4,0,llvm,0.9744320780015425,0.024763458291236325,1.0236874097168973,0.020198173747231683
pi,svmf32,100,2,10,1,0,2,80,748,4,0,llvm,0.978646212321284,0.02653202501912152,0.6811854584481584,0.0037550918776126244
pi,svmf32,100,2,10,1,0,2,80,176,4,0,llvm,0.967119865205975,0.013715412092737599,0.9744217699656781,0.012962904223010354
pi,svmf64,100,2,10,1,0,2,40,120,8,0,llvm,1.0241160927035684,0.026279850262911793,1.0035278219646724,0.025712893504839282
pi,svmf64,100,2,10,1,0,4,80,72,8,0,llvm,1.0009388780171182,0.023880806568123084,1.0317032532946637,0.022737617076285015
pi,norm,100,10,100,2,0,2,5,928,2,0,llvm,1.0003745663491248,0.00012681613388301885,0.9936362764080574,0.00013421931874622883
pi,norm,100,10,100,2,0,4,10,268,2,0,llvm,0.9951084941421361,0.0002565138240942037,0.9987870377824932,0.00025534330222292713
pi,norm32,100,10,100,2,0,2,10,816,4,0,llvm,0.9960634188306962,0.0008602645231629211,0.9922628571670211,0.0006097409414743601
pi,norm32,100,10,100,2,0,2,5,184,4,0,llvm,0.9956678657196559,0.0016021225555806532,0.999404885968023,0.0014937148388358204
pi,normf32,100,10,100,2,0,8,5,44,4,0,llvm,0.8246693365708978,0.005198898576551195,0.7621468675413826,0.009883953902576457
pi,normf32,100,10,100,2,0,2,5,180,4,0,llvm,1.0826628461956227,0.005456950313176696,1.07755475730912,0.003112348090928447
pi,normf64,100,10,100,2,0,2,5,164,8,0,llvm,1.0317110647447734,0.0016760205777547478,0.9583001503053271,0.0013343478513446552
pi,normf64,100,10,100,2,0,6,10,60,8,0,llvm,0.9840681475951624,0.0014246900785981674,1.0046771341003673,0.001151883224184028
pi,cnn,100,2,10,2,0,2,10,714,2,0,llvm,0.9737563075305242,0.00541420827748441,0.9381120355339454,0.0037068547225076556
pi,cnn,100,2,10,2,0,2,10,374,2,0,llvm,0.9692526076165231,0.007877675400510814,0.9564616134009725,0.004733080400981737
pi,cnn32,100,2,10,2,0,2,40,218,4,0,llvm,0.9798790512184787,0.0020737998970099293,0.9732065472300764,0.0008527279703972757
pi,cnn32,100,2,10,2,0,2,40,130,4,0,llvm,0.9847345698805613,0.0012247467753377847,0.9753304163725168,0.0011197838759556436
pi,cnnf32,100,2,10,2,0,2,10,358,4,0,llvm,0.9732487464715273,0.006002494577628328,0.9222209660180144,0.004163131452665921
pi,cnnf32,100,2,10,2,0,2,40,170,4,0,llvm,0.9888099705854563,0.0026067417024503176,0.9596851456483758,0.004404916985388206
pi,cnnf64,100,2,10,2,0,2,10,166,8,0,llvm,0.9700860315759856,0.01153324109576117,0.8806048287121355,0.006785282219411764
pi,cnnf64,100,2,10,2,0,2,10,78,8,0,llvm,0.9475193143034403,0.01551629550617177,0.9007374422615665,0.008287514099665978
