repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,1,0,2,400,4,4,1,6336521,7922256,9475873,12895451,13433217,14115041,15361188,17727815,32953290,38353373,46204589,51004590,51087888,55887827,307232,304217,301635,306751,305547,317463,315959,30178,30759,30205,30907,31149,34698,34847
10,10,100,1,0,2,400,8,4,1,11200781,10834205,12528388,17499702,16657096,16981646,18683044,30527816,45753290,51153373,59004590,63804590,63887887,68687827,518280,520111,518702,520984,519403,530199,527492,58369,59735,59636,59897,59413,64863,64024
10,10,100,1,0,2,400,12,4,1,16086641,14227421,16063706,20385541,19946094,19695079,23199086,43327816,58553290,63953373,71804590,76604590,76687888,81487827,773231,773342,772158,776235,773446,785928,785387,90863,91551,90574,92053,92156,96635,96578
10,10,100,1,0,2,400,16,4,1,20957023,17469629,19413209,25428950,23273514,22889337,26543492,56127816,71353290,76753373,84604590,89404590,89487888,94287828,937283,939899,936493,942159,936748,952058,950564,124925,128938,128747,129747,128362,133658,133379
10,10,100,1,0,2,400,20,4,2,25856828,20632681,24387087,26752840,27798964,26379614,30266165,68927816,84153291,91153374,97404590,103804590,102287888,108687828,1144937,1140827,1145253,1145321,1149346,1154177,1160682,160870,162127,161688,164227,162652,167539,166913
10,10,100,1,0,2,400,24,4,2,30771547,24240829,25995563,30490036,30557793,29615298,33613950,81727817,96953291,103953374,110204591,116604591,115087888,121487828,1444570,1442925,1444421,1446674,1448793,1459432,1462828,199221,201603,201679,204407,202133,206863,206580
10,10,100,1,0,2,400,28,4,2,35677645,28075825,29063383,33873016,33846333,32741719,36884103,94527817,109753291,116753374,123004591,129404591,127887888,134287828,1564774,1570270,1569605,1575232,1575791,1586845,1591892,246594,249406,248498,251330,249850,255996,256167
10,10,100,1,0,2,400,32,4,2,40696230,31122338,32778850,37259949,37257109,36071896,40354066,107327817,122553291,129553374,135804591,142204591,140687889,147087829,1885323,1882151,1881989,1884863,1889053,1901784,1907730,325731,331270,331158,333785,332066,337564,339343
10,10,100,1,0,2,400,36,4,3,54263610,38706967,36379319,40932060,40672189,46607255,43520400,120127818,135353292,143953375,148604592,156604591,153487890,161487829,1997344,2000391,1970506,2007857,1989642,2015338,1996187,387119,385394,383960,390138,387338,395768,394720
10,10,100,1,0,2,400,40,4,3,59333684,41752295,43810719,44339994,44070238,43005603,46954684,132927818,148153292,156753375,161404592,169404591,166287889,174287829,2331136,2316063,2323017,2320697,2325256,2340395,2345600,519206,507996,509310,514853,518825,524765,527766
10,10,100,1,0,2,400,44,4,3,64747131,41584103,43559998,48001973,47573622,46566276,50436362,145727819,160953292,169553375,174204592,182204592,179087890,187087829,2421767,2426010,2437470,2439428,2443385,2444668,2446189,629005,619804,616848,626673,620463,633288,629330
10,10,100,1,0,2,400,48,4,3,61278512,45634702,47047744,51682500,51205006,50574918,54033142,158527819,173753292,182353376,187004592,195004592,191887890,199887829,2768845,2760784,2759122,2770022,2763417,2787899,2780183,753917,747749,757072,749995,755118,765853,761787
10,10,100,1,0,2,400,52,4,4,66586622,49054230,50642531,55405695,54511553,53960159,61408508,171327819,186553292,196753376,199804592,209404592,204687890,214287830,2847934,2856137,2843666,2866590,2848799,2885697,2871562,918930,912074,910591,907476,913693,921046,925248
10,10,100,1,0,2,400,56,4,4,80678905,53997646,54324562,59374932,57949789,58687583,60497081,184127820,199353292,209553376,212604593,222204592,217487890,227087830,3222590,3216043,3172804,3217678,3166961,3246081,3190925,1051203,1056020,1041600,1049778,1037030,1062576,1061707
10,10,100,1,0,2,400,60,4,4,86290137,56427581,57781050,62892806,61770311,61391593,64398945,196927820,212153293,222353376,225404593,235004593,230287890,239887830,3292740,3292639,3289018,3307957,3288346,3331314,3308205,1228863,1219407,1224796,1225591,1218135,1231363,1239524
10,10,100,1,0,2,400,64,4,4,91118554,62022199,61726292,67250823,64937926,67204477,67418136,209727821,224953293,235153376,238204593,247804593,243087891,252687830,3642251,3627290,3581811,3636690,3571839,3666456,3606835,1408417,1395345,1373973,1412597,1379015,1413813,1392355
10,10,100,1,0,2,400,68,4,5,96609380,64556092,64613727,70471275,75708307,69103452,70360179,222527821,237753293,249553377,251004594,262204593,255887891,267087830,3746453,3748704,3662517,3760849,3708374,3771848,3718649,1645109,1616332,1574933,1618120,1613256,1623788,1633458
10,10,100,1,0,2,400,72,4,5,102191064,68377065,72226140,78031779,82397456,79278859,86630654,235327821,250553294,262353377,263804594,275004594,268687892,279887832,4074601,4050711,4019238,4063149,4008224,4097748,4031666,2040377,2002050,2003066,2022158,2031561,2008847,2002950
10,10,100,1,0,2,400,76,4,5,108145960,86802216,84281235,89274734,85347948,94361486,88884908,248127823,263353295,275153378,276604595,287804594,281487893,292687832,4205615,4225669,4154140,4220351,4178729,4246149,4200826,2605804,2622191,2523052,2600734,2581907,2576224,2544004
10,10,100,1,0,2,400,80,4,5,113666088,90605449,87213105,93892922,83339690,100392916,86719470,260927822,276153295,287953378,289404595,300604594,294287893,305487832,4512733,4501492,4431617,4503147,4429378,4538372,4445034,2847620,2849104,2769355,2848838,2817103,2824288,2784034
10,10,100,1,0,2,400,84,4,6,118944174,92121405,83562020,90123096,88243174,85636922,90037311,273727823,288953295,302353378,302204595,315004594,307087892,319887832,4658365,4655395,4518071,4663835,4534251,4675359,4569339,3069852,3054996,2903482,3060327,2938172,3003327,2936855
10,10,100,1,0,2,400,88,4,6,124250664,95327434,87358159,90544328,92655519,90464410,94426797,286527753,301753225,315153308,315004525,327804525,319887822,332687762,4976075,4955421,4782412,4950784,4805102,4992269,4840552,3265035,3243436,3140548,3227710,3157178,3179315,3129956
10,10,100,1,0,2,400,92,4,6,120627298,88238756,85612933,105060615,96788207,102996389,98104155,299327752,314553225,327953308,327804526,340604525,332687824,345487762,5074590,5059104,4909823,5069748,4943549,5097928,4981205,3435384,3374939,3257929,3370610,3321564,3334860,3305317
10,10,100,1,0,2,400,96,4,6,134573288,102556964,103014781,114789980,110509948,117429205,109741225,312127753,327357296,340757379,340604526,353404526,345487824,358287763,5398487,5370982,5213595,5380037,5245585,5421357,5278751,3573741,3541026,3467076,3541465,3492346,3503228,3457692
10,10,100,1,0,2,400,100,4,7,139974164,106866549,105859957,119672139,111170440,123010949,112048928,324927754,340156126,355156209,353404526,367804526,358287825,372687763,5509975,5491618,5295841,5524703,5353636,5535454,5371146,3744853,3683227,3573000,3693014,3636559,3650436,3608778
10,10,100,1,0,2,400,104,4,7,144923549,110493938,108028312,120718051,114597796,125506770,114609519,337727754,352953226,367953309,366204526,380604526,371087825,385487763,5818734,5760687,5544480,5780736,5611669,5821679,5640664,3880510,3781777,3664498,3791525,3750811,3758960,3724618
10,10,100,1,0,2,400,108,4,7,150490455,113454698,112481082,126681881,118775249,129604724,117803355,350527755,365756886,380756970,379004527,393404527,383887825,398287764,5958909,5941694,5761749,5970549,5796638,5975320,5811663,4072037,4005514,3924925,4015385,3989882,3969439,3954613
10,10,100,1,0,2,400,112,4,7,155176024,118866401,116132006,129199730,122025687,134094289,121895210,363327755,378553237,393553320,391804527,406204526,396687825,411087764,6264193,6210763,5964036,6215796,6030993,6260594,6062614,4175920,4101312,3965683,4100398,4057744,4059981,4025009
