repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,2,10,1,0,2,800,2,4,1,163347,338753,439554,468406,589955,558669,582183,641167,1322062,1697911,1867588,2251588,1832750,2200677,3777,4137,4138,4176,4216,4463,4504,2352,2624,2631,2626,2716,2812,2801
2,2,10,1,0,2,800,6,4,1,282956,456660,541553,592917,675830,606566,717449,1089167,1818062,2193911,2347588,2731588,2328750,2696677,9823,10346,10289,10524,10460,11050,10979,5607,5864,5845,5945,5888,6110,6057
2,2,10,1,0,2,800,10,4,1,398781,588306,654483,710909,775477,781239,809027,1473167,2202062,2577911,2731588,3115588,2712750,3080677,21976,22651,22747,22879,23086,23152,23022,9147,9826,9889,9956,9874,10126,10080
2,2,10,1,0,2,800,14,4,1,514223,698512,772322,815466,891545,858097,924318,1857167,2586062,2961911,3115588,3499588,3096750,3464677,31061,31713,31812,31843,31743,32055,31985,12336,13141,13025,13210,13220,13372,13229
2,2,10,1,0,2,800,18,4,2,609373,805553,867370,944968,1002033,965687,1035586,2241167,2970062,3425911,3499588,3963588,3480750,3928677,40484,41823,41757,42331,42055,42343,42182,17621,18380,18407,18827,18550,18693,18654
2,2,10,1,0,2,800,22,4,2,760265,953238,986388,1129720,1106102,1143590,1146498,2625167,3354062,3809911,3883588,4347588,3864750,4312677,49258,50149,49933,50209,49978,50495,50151,22692,23553,23496,23700,23613,23950,23588
2,2,10,1,0,2,800,26,4,2,833769,1043678,1101461,1163183,1213305,1277536,1263153,3009167,3738062,4193911,4267588,4731588,4248750,4696677,58633,60439,60437,60815,60725,60953,60577,27738,28360,28395,28633,28444,28922,28562
2,2,10,1,0,2,800,30,4,2,1022940,1240444,1248473,1388121,1369463,1457982,1412442,3393167,4122062,4577911,4651588,5115588,4632750,5080677,66634,67766,67701,67956,67803,68397,68214,34548,35114,34887,35370,35133,35473,35257
2,2,10,1,0,2,800,34,4,3,1132670,1390130,1369359,1474652,1527590,1473683,1514488,3777167,4506062,5041911,5035588,5579588,5016750,5544677,76465,78477,77165,77724,78192,78019,78551,35251,41795,40972,40159,40262,40959,40927
2,2,10,1,0,2,800,38,4,3,1278192,1508785,1491971,1522229,1560954,1592915,1590133,4161167,4890062,5425911,5419588,5963588,5400750,5928677,83219,85244,85032,85176,85168,85223,85484,45627,47012,46622,46948,46791,47079,47059
2,2,10,1,0,2,800,42,4,3,1293774,1507124,1568750,1686837,1719522,1657785,1676004,4545167,5274062,5809911,5803588,6347588,5784750,6312678,92874,95379,95663,95668,95840,95889,96252,49705,51476,51838,52436,52356,52118,52630
2,2,10,1,0,2,800,46,4,3,1537358,1729640,1682868,1829060,1763505,1827864,1787557,4929167,5658062,6193911,6187588,6731588,6168750,6696678,100864,102729,101757,102562,101781,102461,102728,59224,60554,60484,60871,60594,60546,61486
