repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,2,100,1,0,2,400,4,4,1,959024,1766972,2002491,2472308,2569942,2761175,2743806,3545623,6591290,7671229,9241437,10201437,10217877,11177599,64291,64714,63475,64351,64490,66875,66047,27268,27774,27271,27824,28104,30080,28879
2,2,100,1,0,2,400,8,4,1,1600168,2576320,2750990,3436755,3235365,3667301,3390034,6105623,9151290,10231229,11801437,12761437,12777877,13737599,107349,108753,107894,109282,108698,111268,110824,58541,60783,59644,59802,60122,61839,62633
2,2,100,1,0,2,400,12,4,1,2397952,3219645,3474511,4188119,3989617,4422751,4175833,8665623,11711290,12791229,14361437,15321437,15337877,16297599,156189,157880,157124,157943,157513,159775,159188,92669,95016,95292,95426,94808,96845,96001
2,2,100,1,0,2,400,16,4,1,3077263,3981730,4214623,4994816,4671371,5133538,4740050,11225623,14271291,15351230,16921437,17881437,17897877,18857599,193798,196954,196052,197500,197143,199933,198685,123582,127274,125441,126587,128270,129621,128344
2,2,100,1,0,2,400,20,4,2,3752620,4685649,4975986,5687910,5374943,5912398,5497975,13785623,16831290,18231229,19481437,20761437,20457877,21737599,243351,245585,245813,245945,245939,248119,247740,159041,160693,160939,161583,161027,161741,162101
2,2,100,1,0,2,400,24,4,2,4532184,5434036,5714671,6440600,6128138,6580717,6199904,16345623,19391291,20791230,22041437,23321437,23017877,24297599,279331,283167,282128,284510,282355,287052,285215,186619,191928,190808,192838,191493,193258,192296
2,2,100,1,0,2,400,28,4,2,5254437,6241516,6428424,7164743,6839186,7405507,6929980,18905623,21951290,23351230,24601437,25881437,25577877,26857599,324936,328311,327220,328706,327182,331820,330010,221437,224948,224432,225448,224373,227223,225897
2,2,100,1,0,2,400,32,4,2,6210945,6914589,7138062,7870512,7511908,8076111,7616216,21465623,24511291,25911230,27161437,28441437,28137877,29417600,366595,368322,367984,370542,368373,372923,371687,250812,253049,252808,254276,252926,256340,255400
2,2,100,1,0,2,400,36,4,3,7093096,7640286,7821993,8703917,8183672,8850134,8193628,24025623,27071291,28791230,29721437,31321437,30697877,32297599,424388,425879,424898,427714,425758,429818,428155,290109,291599,290968,292264,291165,293676,291755
2,2,100,1,0,2,400,40,4,3,9399095,8278491,8363541,9348676,8655911,9545979,8702718,26585623,29631291,31351230,32281438,33881437,33257878,34857600,450744,453881,453806,454484,453694,457856,455850,315289,317013,316453,317832,315895,319257,317784
2,2,100,1,0,2,400,44,4,3,10533624,9167560,9299132,10105248,9578516,10282919,9584635,29145623,32191291,33911229,34841438,36441437,35817877,37417599,508268,512684,513081,514285,512166,516183,515930,356573,357571,356755,358290,355280,358085,356291
2,2,100,1,0,2,400,48,4,3,8920440,9829713,9997865,10892997,10626835,10993307,11157757,31705624,34751290,36471230,37401438,39001437,38377878,39977599,537147,540437,540842,542830,540518,543592,544439,375780,380991,379496,382185,381601,382845,381990
2,2,100,1,0,2,400,52,4,4,10089734,10837594,10703318,11562082,10845416,11754084,12102461,34265624,37311291,39351230,39961437,41881437,40937878,42857599,586457,594057,586120,591002,585445,594185,589730,415402,422415,416478,419316,416632,419546,417700
2,2,100,1,0,2,400,56,4,4,10432951,11329636,11370146,13088499,11604709,12469138,12762173,36825624,39871291,41911230,42521438,44441438,43497878,45417600,621285,628861,624954,628979,623149,632004,631601,433804,442910,441458,442448,441483,443276,442517
2,2,100,1,0,2,400,60,4,4,11624240,12401237,12099816,13042974,12216955,14164931,12185004,39385623,42431291,44471230,45081438,47001438,46057878,47977600,674208,682489,673746,679933,673477,682886,676122,477404,484111,475853,478197,476030,480534,475871
