repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,1,0,2,100,4,4,1,1154649,2021007,2247069,3045820,3166698,3291218,3447602,4462225,8287699,9637756,11638999,12838999,13072276,14272236,9043,9545,9006,11248,10799,21111,21194,5270,5692,5649,5904,5969,9332,9144
10,10,100,1,0,2,100,8,4,1,2014451,2754715,2967840,3806136,3934307,4026121,4185185,7662225,11487699,12837756,14838999,16038999,16272276,17472237,117163,117844,115475,117942,116761,124377,124021,10254,11240,11106,11594,11502,14892,14782
10,10,100,1,0,2,100,12,4,1,2831910,3641925,3813505,5054868,4986031,4802651,4939393,10862225,14687699,16037756,18038999,19238999,19472276,20672236,160860,158378,157540,159883,159649,171168,167435,15158,15920,15673,16003,15878,19473,19338
10,10,100,1,0,2,100,16,4,1,3640575,4581983,4761219,5377793,5465264,5560324,5698258,14062225,17887699,19237756,21238999,22438999,22672276,23872237,239237,234051,233625,238134,238633,244727,245588,18912,19967,20015,20018,19552,23758,22982
10,10,100,1,0,2,100,20,4,2,4513991,5256153,5381432,6270584,6348950,6508467,6570797,17262225,21087700,22837756,24438999,26038999,25872276,27472236,294977,298098,301207,302174,301968,309645,302333,26354,26504,25863,25952,26345,30459,31088
10,10,100,1,0,2,100,24,4,2,5311682,6101992,6255054,7126703,7294307,7383114,7454393,20462225,24287699,26037756,27638999,29238999,29072276,30672236,351213,352436,349300,353303,350736,358450,356902,31179,31841,31964,31997,32438,36965,36323
10,10,100,1,0,2,100,28,4,2,6344668,7870196,7107272,7924419,8053244,8114755,8238131,23662225,27487700,29237756,30838999,32438999,32272276,33872236,419221,417983,415739,418311,423212,423318,424800,39995,41162,40953,41118,40067,46456,46055
10,10,100,1,0,2,100,32,4,2,6973516,7679501,7862399,8659306,8795253,8896022,10643778,26862225,30687700,32437756,34038999,35638999,35472276,37072237,467174,461384,462022,461382,471986,474275,480451,44835,46481,45903,46608,45387,50695,49913
10,10,100,1,0,2,100,36,4,3,9560369,8612346,8722776,9614809,9662472,9773217,11035527,30062226,33887700,36037756,37238999,39238999,38672276,40672237,518600,512106,512705,520495,515828,535757,523962,52609,53689,53566,52598,53364,56121,57886
10,10,100,1,0,2,100,40,4,3,10451036,9403955,9537020,10253099,10419597,10490364,10651553,33262225,37087699,39237757,40438999,42438999,41872277,43872237,595126,589897,581005,586616,591317,596526,606017,61616,62306,63721,62583,62468,67062,65557
10,10,100,1,0,2,100,44,4,3,11227277,10207421,10381547,11083627,11241294,11325749,11707778,36462225,40287700,42437756,43638999,45638999,45072276,47072237,639544,635603,646396,651464,657122,663553,640622,69290,70235,69246,67655,67580,72268,76351
10,10,100,1,0,2,100,48,4,3,10369692,11154521,11222603,12027338,12058865,12150555,12262904,39662225,43487700,45637756,46838999,48838999,48272277,50272237,683315,680539,691267,681314,683716,694150,702680,76357,78236,75833,78580,77808,82493,80493
10,10,100,1,0,2,100,52,4,4,11499615,12298610,12067762,13077866,12810407,13407392,13111870,42862225,46687700,49237757,50038999,52438999,51472277,53872237,750546,740981,725520,752888,725732,752114,738647,83669,86727,83745,84602,85771,91519,88798
10,10,100,1,0,2,100,56,4,4,14361992,13292714,12955141,14209364,14734018,14633600,14012319,46062226,49887700,52437757,53239000,55639000,54672277,57072237,801573,796752,764153,800127,743969,818657,790267,93313,93922,92807,93857,99904,96442,95529
10,10,100,1,0,2,100,60,4,4,15314083,14262178,13783196,15131814,15512384,15456909,14874293,49262226,53087700,55637757,56439000,58839000,57872277,60272237,850685,834308,813745,858998,832506,871422,844119,104334,107498,101489,102921,102971,107547,104982
10,10,100,1,0,2,100,64,4,4,15529924,14737888,14523759,16383452,15318678,15912406,15921046,52462226,56287700,58837757,59639000,62039000,61072277,63472237,912846,895404,880010,905673,903199,931364,914577,108619,112943,112176,110551,107964,112425,112067
10,10,100,1,0,2,100,68,4,5,16264349,15362521,15396774,16171720,16083861,16835852,17498165,55662226,59487700,62437757,62839000,65639000,64272277,67072237,996900,965989,955850,991819,961390,1008207,981461,113787,122543,118951,115987,119523,120867,124372
10,10,100,1,0,2,100,72,4,5,17028313,15985810,17434147,17620510,19812757,18554137,19397350,58862226,62687700,65637757,66039000,68839000,67472277,70272237,1028327,983062,987960,1017369,988722,1042177,1007018,119078,129666,124135,123828,126438,125668,129281
10,10,100,1,0,2,100,76,4,5,17946599,20170748,20610219,20387915,20590303,21472749,21071604,62062226,65887700,68837757,69239000,72039000,70672277,73472238,1084191,1085631,1070456,1095026,1074893,1091309,1046372,126150,128711,128629,127857,128806,135584,139641
10,10,100,1,0,2,100,80,4,5,18782498,20776060,20704963,21648794,19637781,22363050,18955791,65262226,69087700,72037757,72439000,75239000,73872277,76672237,1150298,1167521,1139033,1163810,1152515,1186497,1126801,139377,138456,141235,137912,138683,142805,148816
10,10,100,1,0,2,100,84,4,6,19630926,21488290,19983087,20384112,21799874,19823543,21336538,68462226,72287700,75637757,75639000,78839000,77072277,80272237,1186233,1186085,1104464,1143144,1128048,1201741,1147545,146716,150518,152732,156671,150481,150825,150916
10,10,100,1,0,2,100,88,4,6,20532443,22347286,20744228,20384182,22707753,20990263,22244556,71662226,75487701,78837757,78839000,82039000,80272277,83472237,1245278,1241521,1230174,1281300,1231964,1241498,1233250,158412,162923,154570,154029,155273,170257,162536
10,10,100,1,0,2,100,92,4,6,19545097,21389967,21492486,23565197,23397167,23729841,23374083,74862226,78687700,82037757,82039000,85239000,83472277,86672238,1287586,1289800,1207657,1273124,1218028,1280267,1243864,163311,167329,167086,170440,170602,175490,171029
10,10,100,1,0,2,100,96,4,6,22130916,24207247,24335651,26163333,25913049,26774412,25897152,78062226,81887700,85237757,85239000,88439000,86672278,89872238,1374187,1372078,1336540,1374993,1331314,1384243,1368638,172195,174767,174036,173297,181473,177666,173587
10,10,100,1,0,2,100,100,4,7,22925741,25092081,24795624,26772170,26644175,27995184,26676615,81262226,85087701,88837758,88439000,92039000,89872278,93472238,1355881,1354013,1305190,1394915,1338543,1410362,1313299,187174,190828,178225,180204,177185,185335,189515
10,10,100,1,0,2,100,104,4,7,23848802,25893208,26091424,27979251,27500081,28866375,27270322,84462226,88287701,92037757,91639001,95239000,93072278,96672238,1429820,1459822,1385767,1487788,1415326,1485301,1423752,198168,192460,193149,188377,193078,196380,196986
10,10,100,1,0,2,100,108,4,7,24886841,26783054,26974917,28951871,28575505,29289943,28435333,87662236,91490031,95240088,94839000,98439000,96272278,99872238,1529309,1484934,1390420,1512725,1453273,1526417,1464280,190290,203407,198146,196956,191660,201363,196266
10,10,100,1,0,2,100,112,4,7,26165822,27511686,27634827,29796890,29407621,30387815,29099490,90862226,94687881,98437938,98039001,101639001,99472278,103072238,1525416,1584748,1471105,1593503,1469144,1601659,1509649,214530,202384,194860,201526,210531,205937,204195
10,10,100,1,0,2,100,116,4,8,26567175,28372377,28800834,30160113,30042716,31305113,29851045,94062226,97891481,102041538,101239001,105239001,102672278,106672238,1618407,1611536,1482145,1617721,1525258,1659984,1467623,214155,217556,210027,216275,208294,214797,225727
10,10,100,1,0,2,100,120,4,8,27351114,29074989,29538113,31019851,30771948,31992337,30806547,97262226,101090681,105240738,104439001,108439001,105872278,109872238,1612921,1660103,1521303,1687336,1553043,1677883,1537843,227443,225488,213595,217629,216070,226769,225589
10,10,100,1,0,2,100,124,4,8,28820045,30385100,30690566,31798600,31758007,32996841,31649386,100462237,104308611,108458668,107639001,111639001,109072278,113072238,1751871,1745811,1590961,1753864,1614641,1769478,1651739,225627,230708,231292,228984,230767,232960,230763
10,10,100,1,0,2,100,128,4,8,29983888,31935707,31539033,33058028,32709978,34658884,32769011,103662227,107520741,111670798,110839001,114839001,112272278,116272238,1827520,1837862,1653246,1841336,1743632,1875403,1757254,240763,244312,248940,235051,233596,240703,237889
10,10,100,1,0,2,100,132,4,9,30687190,32605653,32274276,34062763,32856374,35513530,33211135,106862227,110699701,115249758,114039001,118439001,115472278,119872238,1849007,1842919,1634960,1846179,1656341,1839334,1687435,247256,251954,231444,249852,244316,260849,245374
10,10,100,1,0,2,100,136,4,9,31275352,33074976,32951794,34813194,34314191,36907025,34877759,110062237,113931771,118481828,117239001,121639001,118672278,123072238,1924103,1889954,1663258,1921992,1739363,1916646,1748212,251369,260420,259396,252894,249142,263188,256290
