repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,2,10,1,0,2,100,2,4,1,23846,47875,54308,69220,74801,74984,79255,81681,167576,214425,237102,285102,237264,283191,530,774,756,747,809,926,888,467,593,564,571,618,706,648
2,2,10,1,0,2,100,6,4,1,42413,65991,72511,85239,92594,94602,98795,137681,229576,276425,297102,345102,299264,345191,963,1336,1280,1310,1316,1369,1415,868,1082,1038,1084,1113,1082,1119
2,2,10,1,0,2,100,10,4,1,55898,82548,88508,100864,107988,106648,109396,185681,277576,324425,345102,393102,347264,393191,1619,1887,1868,1980,1968,2128,2057,1359,1530,1489,1506,1503,1575,1496
2,2,10,1,0,2,100,14,4,1,73000,98301,102888,112829,117992,120493,128327,233681,325576,372425,393102,441102,395264,441191,2188,2574,2537,2562,2591,2636,2612,1701,1889,1891,1958,1956,1990,1974
2,2,10,1,0,2,100,18,4,2,83521,111363,115045,126429,130669,135178,136815,281681,373576,430425,441102,499102,443264,499191,2641,3037,2946,2985,2952,3146,3185,2028,2272,2232,2265,2266,2387,2398
2,2,10,1,0,2,100,22,4,2,105098,134124,134474,151215,146464,163349,156885,329681,421576,478425,489102,547102,491264,547191,3660,3988,3912,3929,3912,4130,4076,2464,2651,2598,2641,2605,2755,2735
2,2,10,1,0,2,100,26,4,2,125028,153072,147781,173715,170152,191069,171544,377681,469576,526425,537102,595102,539264,595191,3652,3989,3977,4127,4261,4528,4522,3031,3262,3254,3325,3052,3189,3146
2,2,10,1,0,2,100,30,4,2,122414,150557,155827,164695,171439,173189,184372,425681,517576,574425,585102,643102,587264,643191,4882,5213,5182,5191,5281,5535,5715,3074,3336,3309,3395,3391,3551,3540
2,2,10,1,0,2,100,34,4,3,156181,192140,171175,204277,187050,211668,201624,473681,565576,632425,633102,701102,635264,701191,5026,5304,5273,5428,5362,5502,5455,4214,4481,4462,4495,4513,4577,4555
2,2,10,1,0,2,100,38,4,3,175399,206566,188830,218419,201800,233541,210123,521681,613576,680425,681102,749102,683264,749191,6018,6491,6368,6406,6316,7203,6989,4374,4657,4579,4647,4605,4406,4275
2,2,10,1,0,2,100,42,4,3,190935,223664,217753,230954,215867,247543,224333,569681,661576,728425,729102,797102,731264,797191,8208,8571,8470,8653,8977,9381,9161,4780,5072,5036,5087,4683,4751,4724
2,2,10,1,0,2,100,46,4,3,212369,238190,218655,250954,235085,263816,242025,617681,709576,776425,777102,845102,779264,845191,9639,9793,9555,9841,9639,10141,9996,4727,4958,4875,5018,4923,5034,5017
2,2,10,1,0,2,100,50,4,4,226995,248745,221746,261680,247371,279969,245478,665681,757576,834425,825102,903102,827264,903191,10228,10581,10209,10726,10420,11223,10737,5083,5371,5223,5437,5378,5536,5490
2,2,10,1,0,2,100,54,4,4,220033,250198,237000,245851,248163,274621,263483,713681,805576,882425,873102,951102,875264,951191,11044,11569,11538,12297,12121,12378,12436,5891,6327,6206,5694,5681,5786,5753
2,2,10,1,0,2,100,58,4,4,258715,284791,255030,324017,268854,318499,277604,761681,853576,930425,921102,999102,923264,999191,11468,11883,12155,12626,12239,12791,12348,6619,6951,6315,6439,6274,6438,6436
2,2,10,1,0,2,100,62,4,4,279022,300618,271324,313920,279736,325845,289950,809681,901576,978425,969102,1047102,971264,1047191,13938,14364,13927,14509,13958,14814,14283,6204,6573,6417,6610,6472,6661,6569
2,2,10,1,0,2,100,66,4,5,287937,319750,285547,331609,291008,350225,299791,857681,949576,1036425,1017102,1105102,1019264,1105191,14070,15124,13928,15251,14283,15556,14410,7514,7107,6875,7040,6973,7140,7045
2,2,10,1,0,2,100,70,4,5,308544,330866,290319,327285,301871,336305,311263,905681,997576,1084425,1065102,1153102,1067264,1153191,14047,14503,14587,15661,14980,15560,15159,7706,8029,6955,7228,7098,7239,7222
2,2,10,1,0,2,100,74,4,5,329790,349551,305279,363188,317320,380845,325774,953681,1045576,1132425,1113102,1201102,1115264,1201191,17192,17638,16939,17716,16874,17986,17025,7358,7710,7568,7690,7586,7848,7757
2,2,10,1,0,2,100,78,4,5,316405,342275,319217,355345,327652,337119,332621,1001681,1093576,1180425,1161102,1249102,1163264,1249191,18995,19514,18859,19632,19097,19655,19520,7864,8255,8148,8221,8169,8305,8223
2,2,10,1,0,2,100,82,4,6,362266,386618,329779,393957,339143,409082,347127,1049681,1141576,1238425,1209102,1307102,1211264,1307191,19934,20234,18944,20421,19101,20795,19410,8298,8604,8067,8494,8189,8660,8382
2,2,10,1,0,2,100,86,4,6,376810,402079,344463,414741,352087,426841,364186,1097681,1189576,1286425,1257102,1355102,1259264,1355191,20791,21326,20313,21301,20027,21580,20270,8793,9245,8919,9057,8885,9255,9088
2,2,10,1,0,2,100,90,4,6,397970,422075,363999,436379,366165,450923,375646,1145681,1237576,1334425,1305102,1403102,1307264,1403191,22217,22779,22517,24156,22732,24730,23042,10101,10551,9015,9449,9193,9618,9289
2,2,10,1,0,2,100,94,4,6,408609,432507,372197,444716,381325,452339,394325,1193681,1285576,1382425,1353102,1451102,1355264,1451191,22319,22784,20900,22857,21144,23017,22298,10676,11096,10863,11041,10783,11169,9777
2,2,10,1,0,2,100,98,4,7,426435,454614,389214,461635,389009,479779,401526,1241681,1333576,1440425,1401102,1509102,1403264,1509191,22053,22557,21633,24089,22764,24573,23114,12355,12714,12406,11456,11312,11603,11539
2,2,10,1,0,2,100,102,4,7,447527,435794,390155,444164,396654,455616,409080,1289681,1381576,1488425,1449102,1557102,1451264,1557191,26567,26846,25143,26871,25317,27194,25694,10426,10391,10232,10389,10095,10563,10199
2,2,10,1,0,2,100,106,4,7,376310,425027,418485,415212,408902,429336,418470,1337681,1429576,1536425,1497102,1605102,1499264,1605191,25079,25615,24675,25642,24929,25946,24971,11523,12005,11982,12039,12136,12247,12137
