repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,2,10,1,0,2,80,2,4,1,37125,106095,80963,99712,122371,95943,99522,62573,131489,148281,176332,185932,168734,179802,13906,56608,51969,77837,85963,78537,80065,161,185,87,185,91,215,131
2,2,10,1,0,2,80,6,4,1,60585,125603,108456,123693,146356,129803,132171,100973,165089,181881,208332,217932,200734,211802,17110,54856,55184,81120,84464,81744,83334,380,461,392,482,393,522,436
2,2,10,1,0,2,80,10,4,1,82600,136395,123486,138218,159844,140229,149611,115373,179489,196281,222732,232332,215134,226202,20312,56808,58347,84190,87581,84984,86464,441,602,595,624,604,663,640
2,2,10,1,0,2,80,14,4,1,91875,153882,142336,145406,181291,149659,168386,129773,193889,210681,237132,246732,229534,240602,23523,60022,61573,87480,90096,88128,89712,491,681,967,721,990,913,1048
2,2,10,1,0,2,80,18,4,2,114057,163732,172265,166002,210161,158566,188553,144173,208289,231481,251532,267532,243934,261402,26712,63212,69217,90645,96377,91294,102003,494,695,172,1026,195,969,274
2,2,10,1,0,2,80,22,4,2,124148,173648,184868,164980,222658,170481,197209,158573,222689,245881,265932,281932,258334,275802,29915,66410,72198,93780,101409,94529,102434,605,806,563,916,567,1066,641
2,2,10,1,0,2,80,26,4,2,144821,183679,201229,179064,236157,182196,211026,172973,237089,260281,280332,296332,272734,290202,33107,69579,74702,96934,104598,97705,105305,604,1039,958,1271,973,1238,1063
2,2,10,1,0,2,80,30,4,2,155986,197974,213261,202493,247117,201351,225146,187373,251489,274681,294732,310732,287134,304602,36309,72805,77935,100273,107819,100928,108602,631,1637,1320,1971,1317,1483,1403
2,2,10,1,0,2,80,34,4,3,168252,210990,231907,220253,224624,217775,205002,201773,265889,295481,309132,331532,301534,325402,39510,75986,82356,103490,108755,104120,108968,664,1403,210,2144,297,1909,325
2,2,10,1,0,2,80,38,4,3,179656,220006,243221,227858,235708,230587,222525,216173,280289,309881,323532,345932,315934,339802,42708,79185,85097,106628,112867,107352,112127,710,1117,622,1725,701,2317,801
2,2,10,1,0,2,80,42,4,3,202116,232447,265914,236243,248394,239426,232853,230573,294689,324281,337932,360332,330334,354202,45920,82390,88788,109802,116098,110564,115313,685,1435,1001,1836,1052,2055,1166
2,2,10,1,0,2,80,46,4,3,218484,259879,273642,246591,260321,261223,251144,244973,309089,338681,352332,374732,344734,368602,49125,85595,91732,113107,119010,113807,118477,755,2508,1322,2207,1372,2973,1496
2,2,10,1,0,2,80,50,4,4,223639,265135,251887,267948,281367,277693,261455,259373,323489,359481,366732,395532,359134,389402,52316,88794,95185,116079,126488,116906,123393,756,1606,270,2248,378,2867,590
2,2,10,1,0,2,80,54,4,4,250690,275898,261294,275360,283813,280514,267670,273773,337889,373881,381132,409932,373534,403802,55528,92032,98386,119482,126918,120192,126581,862,1396,767,2334,855,2291,973
2,2,10,1,0,2,80,58,4,4,261330,283158,277294,285345,293911,295327,281187,288173,352289,388281,395532,424332,387934,418202,58708,95197,101594,122599,130520,123325,129770,778,1748,983,2220,1008,2830,1133
2,2,10,1,0,2,80,62,4,4,279681,303733,289145,303237,316949,316059,299217,302573,366689,402681,409932,438732,402334,432602,61909,98398,104778,125785,133415,126557,132875,793,1914,1385,2726,1375,3032,1534
2,2,10,1,0,2,80,66,4,5,294453,323022,300451,314317,316865,330836,312504,316973,381089,423481,424332,459532,416734,453402,65118,101594,109609,128992,138472,129722,137730,879,2539,302,2318,351,3225,470
2,2,10,1,0,2,80,70,4,5,316214,326291,320947,334348,339235,339524,326730,331373,395489,437881,438732,473932,431134,467802,68309,104799,112765,132089,141246,132935,140882,865,1429,647,1939,644,2220,865
2,2,10,1,0,2,80,74,4,5,322525,361393,334448,354451,347181,372644,345806,345773,409889,452281,453132,488332,445534,482202,71508,107998,115984,135354,144271,136111,144152,949,3818,1248,4587,1358,4902,1481
2,2,10,1,0,2,80,78,4,5,337990,350196,343280,350556,381785,374148,355746,360173,424289,466681,467532,502732,459934,496602,74708,111160,119146,138565,152302,139340,147337,882,1615,1444,1566,1437,3701,1610
2,2,10,1,0,2,80,82,4,6,369457,371110,353100,370429,406642,378247,383444,374573,438689,487481,481932,523532,474334,517402,77918,114384,123962,141684,166827,142545,155579,903,1573,254,2851,265,2270,395
2,2,10,1,0,2,80,86,4,6,371804,384162,377198,397988,423688,402578,399346,388973,453089,501881,496332,537932,488734,531802,81111,117589,127172,145020,173494,145773,157870,985,1725,919,4141,1390,3424,1569
2,2,10,1,0,2,80,90,4,6,391679,405014,397122,406379,427312,430814,412959,403373,467489,516281,510732,552332,503134,546202,84306,120819,130388,148257,170957,148897,159657,967,1269,1073,2379,1189,5099,1400
2,2,10,1,0,2,80,94,4,6,399409,429461,404324,412872,452346,441919,427964,417773,481889,530681,525132,566732,517534,560602,87509,123967,133572,151507,177053,152166,163586,963,3170,1456,2514,1456,4262,1651
2,2,10,1,0,2,80,98,4,7,424949,450165,417372,456420,460846,470793,438009,432173,496289,551481,539532,587532,531934,581402,90714,127178,138368,159620,182402,156523,170010,1000,3855,284,3728,294,3966,419
2,2,10,1,0,2,80,102,4,7,440563,449044,452595,472047,485490,471395,465030,446573,510689,565881,553932,601932,546334,595802,93916,130406,141585,169217,181194,159559,171219,1067,1613,931,2791,1184,2662,1424
2,2,10,1,0,2,80,106,4,7,456955,499365,464806,517968,493986,522682,476444,460973,525089,580281,568332,616332,560734,610202,97130,133627,144802,169367,187204,166156,174127,1065,3966,1106,7352,1039,5407,1235
2,2,10,1,0,2,80,110,4,7,468599,494670,477778,551141,508891,528276,491591,475373,539489,594681,582732,630732,575134,624602,100312,136818,147986,170631,189447,169846,177784,1118,3804,1504,7716,1448,5162,1599
2,2,10,1,0,2,80,114,4,8,466831,536423,492230,554754,518876,558686,504682,489773,553889,615481,597132,651532,589534,645402,103531,140064,152803,174334,193838,172592,184639,1377,6794,952,7676,1258,8216,1487
2,2,10,1,0,2,80,118,4,8,506936,515530,516542,533025,535757,556874,533646,504173,568289,629881,611532,665932,603934,659802,106708,143210,156015,177637,195573,174373,189190,1287,2422,1011,4154,1125,6247,1398
2,2,10,1,0,2,80,122,4,8,508430,540200,532409,583977,567602,556679,539234,518573,582689,644281,625932,680332,618334,674202,109907,146356,159156,183628,198615,176714,192219,1115,2616,1112,5912,1051,4228,1516
2,2,10,1,0,2,80,126,4,8,533921,577455,550450,624095,566487,619864,545421,532973,597089,658681,640332,694732,632734,688602,113125,149588,162397,191145,202285,181751,193346,1168,6404,1677,8924,1676,8701,2040
2,2,10,1,0,2,80,130,4,9,539251,585636,561566,625366,578140,596895,570640,547373,611489,679481,654732,715532,647134,709402,116314,152786,167171,194559,205515,185005,198464,1166,6169,303,8193,624,6889,537
2,2,10,1,0,2,80,134,4,9,564323,582920,585464,610718,601338,621343,579349,561773,625889,693881,669132,729932,661534,723802,119515,156023,170376,196487,210254,188763,202137,1239,2956,720,6538,670,5924,904
2,2,10,1,0,2,80,138,4,9,590198,588698,593748,606558,619696,631521,594632,576173,640289,708281,683532,744332,675934,738202,122737,159181,173563,199870,213600,192673,205889,1225,1594,1100,3998,1054,5710,1245
2,2,10,1,0,2,80,142,4,9,604286,614563,618138,667461,631422,646800,614940,590573,654689,722681,697932,758732,690334,752602,125914,162368,176791,203188,216372,194513,209082,1223,2566,1663,7970,2017,6390,1985
