repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,2,10,1,0,2,40,2,4,1,20684,43600,43024,54634,57088,69333,63332,29576,57514,70093,85233,96433,89340,100046,7179,25687,26762,35822,37515,40940,42152,90,122,68,123,71,188,91
2,2,10,1,0,2,40,6,4,1,38962,60399,63404,71649,72922,83235,77010,58178,86116,98695,113835,125035,117942,128648,13593,32115,33208,42345,43914,47277,48582,112,227,169,255,197,329,224
2,2,10,1,0,2,40,10,4,1,48379,77787,77692,88024,89666,99442,97374,86978,114916,127495,142635,153835,146742,157448,20001,38505,39593,48689,50263,53662,55052,134,360,378,382,388,486,432
2,2,10,1,0,2,40,14,4,1,59935,86432,92991,90446,102223,107155,102421,115778,143716,156295,171435,182635,175542,186248,26390,44894,45990,55112,56665,60101,61301,135,267,357,303,360,461,392
2,2,10,1,0,2,40,18,4,2,71791,102966,113987,105567,121440,117943,127974,144578,172516,188295,200235,214635,204342,218248,32793,51336,55243,61510,65931,66375,70890,199,447,86,542,99,538,139
2,2,10,1,0,2,40,22,4,2,82935,111378,128878,116866,141032,131507,141605,173378,201316,217095,229035,243435,233142,247048,39197,57706,61638,67898,72310,72833,77443,224,473,256,474,261,712,300
2,2,10,1,0,2,40,26,4,2,96515,122263,140984,135450,158857,148827,167929,202178,230116,245895,257835,272235,261942,275848,45598,64115,67710,74206,79871,79318,84430,272,560,428,853,467,999,527
2,2,10,1,0,2,40,30,4,2,106722,140093,156708,162615,176181,174942,181071,230978,258916,274695,286635,301035,290742,304648,52014,70502,74153,83396,86317,86841,91320,277,582,583,729,603,1088,662
2,2,10,1,0,2,40,34,4,3,127595,176190,164118,192262,177553,196781,182544,259778,287716,306695,315435,333035,319542,336648,58390,77101,79571,89471,92388,92521,96501,264,1221,157,1011,134,1566,196
2,2,10,1,0,2,40,38,4,3,139577,179886,179270,198159,189716,203765,195612,288578,316516,335495,344235,361835,348342,365448,64796,83287,85998,95512,98204,98963,103171,270,545,311,863,388,1199,433
2,2,10,1,0,2,40,42,4,3,152621,185107,189893,202882,202702,221647,208849,317378,345316,364295,373035,390635,377142,394248,71195,89682,92388,101164,105000,106482,109729,305,619,461,776,493,1387,540
2,2,10,1,0,2,40,46,4,3,163829,207383,212944,219783,218927,231786,225726,346178,374116,393095,401835,419435,405942,423048,77598,96132,98781,108090,111094,112359,115806,318,1093,674,1132,687,1668,730
2,2,10,1,0,2,40,50,4,4,176983,219278,210463,251495,224105,239319,231379,374978,402916,425095,430635,451435,434742,455048,84012,102546,106002,115513,118604,118080,123094,371,1103,155,2235,226,1453,292
2,2,10,1,0,2,40,54,4,4,187114,230113,224106,254369,238994,259922,240439,403778,431716,453895,459435,480235,463542,483848,90399,108957,112378,121498,125206,125378,128985,363,1208,315,1894,328,2014,416
2,2,10,1,0,2,40,58,4,4,196744,237778,237296,261675,252142,273252,256164,432578,460516,482695,488235,509035,492342,512648,96795,115318,118765,127963,131374,131628,136049,336,861,470,1365,512,1743,607
2,2,10,1,0,2,40,62,4,4,211271,257464,254101,279953,268096,298785,274403,461378,489316,511495,517035,537835,521142,541448,103192,121749,125211,133629,137932,138068,141943,377,1349,739,2361,771,2706,886
2,2,10,1,0,2,40,66,4,5,222739,272055,258194,288294,277856,309266,276206,490178,518116,543495,545835,569835,549942,573448,109603,128087,132363,139977,145428,144352,148196,362,1864,196,2407,155,2874,492
2,2,10,1,0,2,40,70,4,5,233407,270632,268323,301861,282728,301736,288195,518978,546916,572295,574635,598635,578742,602248,116004,134516,138774,147446,151741,151323,155768,379,900,314,1668,336,1775,490
2,2,10,1,0,2,40,74,4,5,243949,277112,284088,313288,300708,313403,301056,547778,575716,601095,603435,627435,607542,631048,122397,140893,145214,152799,157925,157112,161456,385,754,525,2982,554,1793,631
2,2,10,1,0,2,40,78,4,5,257053,302196,305756,329036,312285,340440,318678,576578,604516,629895,632235,656235,636342,659848,128795,147334,151567,159810,164307,164078,168507,396,895,750,2765,791,2978,950
2,2,10,1,0,2,40,82,4,6,266946,310910,308615,338636,315120,337881,323567,605378,633316,661895,661035,688235,665142,691848,135197,153684,158759,165619,171418,169353,175321,400,1212,131,2902,223,1827,261
2,2,10,1,0,2,40,86,4,6,278053,320978,321334,346835,329126,368177,334537,634178,662116,690695,689835,717035,693942,720648,141592,160091,165144,173086,178137,176912,181007,409,1465,335,2437,377,3131,476
2,2,10,1,0,2,40,90,4,6,292768,327120,333811,352450,348545,387784,353000,662978,690916,719495,718635,745835,722742,749448,148002,166488,171576,179381,184497,183048,188128,460,865,534,1432,575,3603,806
2,2,10,1,0,2,40,94,4,6,301974,367014,347093,390846,366749,402810,364708,691778,719716,748295,747435,774635,751542,778248,154411,172885,177967,185236,190966,189748,193790,469,3501,745,3940,772,4101,876
2,2,10,1,0,2,40,98,4,7,312777,354418,355935,408723,372641,396870,375548,720578,748516,780295,776235,806635,780342,810248,160790,179310,185185,191818,198001,194946,202258,460,1251,146,4706,558,2586,309
2,2,10,1,0,2,40,102,4,7,324104,370500,370778,394436,379968,401183,389077,749378,777316,809095,805035,835435,809142,839048,167199,185679,191582,198145,204276,202160,208349,470,1498,420,2036,528,2193,738
2,2,10,1,0,2,40,106,4,7,336527,375155,385034,416294,400076,436712,400322,778178,806116,837895,833835,864235,837942,867848,173617,192130,198005,203464,211018,208710,214780,510,1525,543,3424,595,3896,741
2,2,10,1,0,2,40,110,4,7,350547,386253,398807,418906,418613,443642,420527,806978,834916,866695,862635,893035,866742,896648,180008,198538,204386,211012,217607,214213,220998,504,974,760,1914,796,3792,982
2,2,10,1,0,2,40,114,4,8,360418,403579,411320,457669,420903,452094,423351,835786,863716,898695,891435,925035,895542,928648,186402,204905,211570,216805,224182,220594,228347,508,1392,145,5085,452,3118,345
2,2,10,1,0,2,40,118,4,8,374368,403963,422115,462325,431471,481634,437832,864588,892516,927495,920235,953835,924342,957448,192807,211276,217948,223206,230918,228107,234726,519,849,389,3759,425,4017,647
2,2,10,1,0,2,40,122,4,8,387000,425463,435856,463109,446153,482340,450840,893588,921316,956295,949035,982635,953142,986248,199484,217780,224483,230700,237295,233469,240779,528,1087,584,2667,705,4103,886
2,2,10,1,0,2,40,126,4,8,403396,442904,457248,488085,468179,503039,471655,922644,950116,985095,977835,1011435,981942,1015048,206008,224081,230761,236899,243613,240580,247235,536,1899,895,4710,1083,4665,1183
2,2,10,1,0,2,40,130,4,9,412167,451235,461024,483189,474071,513128,476782,951542,978916,1017095,1006635,1043435,1010742,1047048,212324,230532,238057,242499,251046,246171,254472,569,1678,204,3421,522,4718,694
2,2,10,1,0,2,40,134,4,9,424410,464050,472762,522703,475546,523683,486734,980166,1007716,1045895,1035435,1072235,1039542,1075848,218837,236914,244361,249866,256901,252955,261087,569,1982,383,5631,407,4392,739
2,2,10,1,0,2,40,138,4,9,429470,465965,487629,511475,497626,544596,503121,1009368,1036516,1074695,1064235,1101035,1068342,1104648,224821,243288,250755,255782,263833,259340,267406,602,1173,598,3648,590,4949,757
2,2,10,1,0,2,40,142,4,9,446974,478498,507794,554462,522147,547160,515985,1037932,1065316,1103495,1093035,1129835,1097142,1133448,231503,249763,257264,262656,270325,265917,273675,634,1199,801,5849,1461,4601,981
2,2,10,1,0,2,40,146,4,10,454658,531687,519474,536789,524735,560984,523012,1066930,1094116,1135495,1121835,1161835,1125942,1165448,237682,256099,264372,268051,277615,272393,280626,662,4364,518,4299,432,4802,557
2,2,10,1,0,2,40,150,4,10,465155,507366,528597,551665,532977,576362,539664,1095798,1122916,1164295,1150635,1190635,1154742,1194248,243991,262489,270787,274933,283760,278611,287649,599,1476,386,4389,495,5773,723
2,2,10,1,0,2,40,154,4,10,477245,541355,549822,583807,547759,585801,553506,1124598,1151716,1193095,1179435,1219435,1183542,1223048,250417,268885,277166,281469,290053,285603,294058,605,3273,761,4785,922,4702,1171
2,2,10,1,0,2,40,158,4,10,486779,570423,555715,579923,561729,606334,565489,1153398,1180516,1221895,1208235,1248235,1212342,1251848,256794,275284,283581,286680,296449,291434,299343,621,4829,773,5137,908,5330,1167
2,2,10,1,0,2,40,162,4,11,502462,551036,570769,582190,572408,614456,573582,1182198,1209316,1253895,1237035,1280235,1241142,1283848,263211,281706,290744,293697,303192,297362,307754,678,2388,192,3551,222,5430,435
2,2,10,1,0,2,40,166,4,11,511102,557495,586196,622740,579242,636142,586109,1210998,1238116,1282695,1265835,1309035,1269942,1312648,269611,288093,297171,300950,310269,304198,313140,651,1890,366,5822,411,5604,668
2,2,10,1,0,2,40,170,4,11,525720,555659,596345,623499,593469,645392,599834,1239798,1266916,1311495,1294635,1337835,1298742,1341448,276028,294508,303587,306899,316282,310657,320411,650,1189,554,5194,791,5579,787
2,2,10,1,0,2,40,174,4,11,535810,591489,605867,625166,608529,629076,616345,1268598,1295716,1340295,1323435,1366635,1327542,1370248,282415,300887,309972,312315,323119,317098,326459,672,2655,755,3827,804,3460,1019
2,2,10,1,0,2,40,178,4,12,548652,623458,627216,658806,625897,670153,632355,1297398,1324516,1372295,1352235,1398635,1356342,1402248,288790,307281,317194,319031,330266,324132,333865,696,4325,561,5260,656,5673,1177
2,2,10,1,0,2,40,182,4,12,560144,606455,636697,650361,637930,671340,648821,1326198,1353316,1401095,1381035,1427435,1385142,1431048,295195,313721,323576,326570,336355,330441,340265,711,2144,597,4014,1017,4965,1282
2,2,10,1,0,2,40,186,4,12,572161,606811,648483,649263,646264,673883,653152,1354998,1382116,1429895,1409835,1456235,1413942,1459848,301609,320121,329991,333284,342790,336207,346451,706,1431,553,3073,716,4429,924
2,2,10,1,0,2,40,190,4,12,583118,645549,665029,680954,668394,724623,688308,1383798,1410916,1458695,1438635,1485035,1442742,1488648,308005,326506,336360,339224,349224,343334,353145,736,3209,809,5169,1066,7456,1595
2,2,10,1,0,2,40,194,4,13,594627,636438,678037,656289,671082,708543,679780,1412598,1439716,1490695,1467435,1517035,1471542,1520648,314391,332890,343560,344790,356444,349159,360418,713,1409,167,2057,222,5412,426
2,2,10,1,0,2,40,198,4,13,607321,636399,688492,692623,682584,733137,690395,1441398,1468516,1519495,1496235,1545835,1500342,1549448,320813,339407,350089,352203,362755,355664,366624,731,1289,369,3824,428,6036,659
2,2,10,1,0,2,40,202,4,13,616569,655632,699958,722877,701496,728418,713338,1470198,1497316,1548295,1525035,1574635,1529142,1578248,327204,345719,356365,358937,369663,361814,372820,740,1531,630,4806,890,4704,1467
2,2,10,1,0,2,40,206,4,13,631758,668076,713437,725254,717714,744150,728512,1498998,1526116,1577095,1553835,1603435,1557942,1607048,333612,352143,362795,364477,375750,368253,379403,757,1417,802,3874,1067,4975,1301
2,2,10,1,0,2,40,210,4,14,641319,683979,728058,762720,726912,764749,736152,1527798,1554916,1609095,1582635,1635435,1586742,1639048,340004,358499,369984,370486,383138,375262,386577,761,2074,242,7036,478,5905,860
2,2,10,1,0,2,40,214,4,14,656272,685947,736397,789968,738313,778611,750370,1556598,1583716,1637895,1611435,1664235,1615542,1667848,346413,364889,376363,377314,389622,382273,392809,800,1194,387,8420,739,5535,766
2,2,10,1,0,2,40,218,4,14,671871,710403,768452,762455,761195,796587,769539,1585398,1612516,1666695,1640235,1693035,1644342,1696648,352848,371329,382765,383492,395532,387676,399021,1084,2389,1069,5005,1206,5713,1358
2,2,10,1,0,2,40,222,4,14,679645,725669,784212,792726,778674,813667,796802,1614194,1641316,1695495,1669035,1721835,1673142,1725448,359214,377705,389144,390299,401839,393983,405500,828,2673,1072,7051,1123,6586,1935
2,2,10,1,0,2,40,226,4,15,694141,732030,784207,819549,777051,838946,789782,1642998,1670116,1727495,1697835,1753835,1701942,1757448,365591,384180,396478,396346,409701,399794,412829,799,1881,460,6544,620,7499,850
2,2,10,1,0,2,40,230,4,15,699930,758200,794663,811314,795059,841352,804199,1671796,1698916,1756295,1726635,1782635,1730742,1786248,372021,390566,402854,403499,415997,406626,419259,818,3301,540,6839,701,7422,990
