repeats,epochs,batch,output_dims,output_model,tasks,height,width,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,1,0,2,100,4,1,1152417,0,0,0,0,3505942,3819342,4952586,0,0,0,0,13357633,14557467,4377,0,0,0,0,10478,10252,3167,0,0,0,0,7193,7100
10,10,100,1,0,2,100,8,1,1635323,0,0,0,0,3874406,4179999,5556016,0,0,0,0,14561063,15760897,44946,0,0,0,0,47579,47325,5145,0,0,0,0,9348,9176
10,10,100,1,0,2,100,12,1,3007667,0,0,0,0,4870521,5012647,8956226,0,0,0,0,17761063,18960898,50423,0,0,0,0,58783,60299,7035,0,0,0,0,11553,11487
10,10,100,1,0,2,100,16,1,3820549,0,0,0,0,4548100,4694865,7756546,0,0,0,0,16760994,17960827,87934,0,0,0,0,96332,95667,9650,0,0,0,0,14395,14385
10,10,100,1,0,2,100,20,1,3044157,0,0,0,0,5359199,5373936,11153566,0,0,0,0,19957633,21157468,127342,0,0,0,0,130153,130584,11907,0,0,0,0,16420,16329
10,10,100,1,0,2,100,24,1,3187905,0,0,0,0,4954724,5093733,9956936,0,0,0,0,18961063,20160898,162373,0,0,0,0,163190,163414,14052,0,0,0,0,18737,18821
10,10,100,1,0,2,100,28,1,5590390,0,0,0,0,5852733,5964866,13356456,0,0,0,0,22161063,23360898,199716,0,0,0,0,199927,199054,17930,0,0,0,0,22780,23142
10,10,100,1,0,2,100,32,1,5327835,0,0,0,0,5594925,5752414,12156536,0,0,0,0,21160993,22360828,223289,0,0,0,0,221498,222132,20729,0,0,0,0,26146,26116
10,10,100,1,0,2,100,36,2,4856817,0,0,0,0,6301647,6845069,15552656,0,0,0,0,24357633,25957467,259904,0,0,0,0,260772,262789,24991,0,0,0,0,29989,29973
10,10,100,1,0,2,100,40,2,4401660,0,0,0,0,6210428,6434044,14356026,0,0,0,0,23361064,24960897,278124,0,0,0,0,275565,276268,26122,0,0,0,0,31283,31661
10,10,100,1,0,2,100,44,2,6952658,0,0,0,0,6980488,7306809,17756626,0,0,0,0,26561064,28160898,299065,0,0,0,0,299014,303198,29428,0,0,0,0,34257,34423
10,10,100,1,0,2,100,48,2,5869088,0,0,0,0,6913465,7261307,16556796,0,0,0,0,25560994,27160828,347081,0,0,0,0,346919,348168,34853,0,0,0,0,40789,40708
10,10,100,1,0,2,100,52,2,7416569,0,0,0,0,7790303,8022890,19953166,0,0,0,0,28757633,30357467,352782,0,0,0,0,350778,354633,39083,0,0,0,0,45032,44743
10,10,100,1,0,2,100,56,2,6136360,0,0,0,0,7474817,7610516,18756936,0,0,0,0,27761064,29360898,403034,0,0,0,0,402994,401024,42773,0,0,0,0,49589,48545
10,10,100,1,0,2,100,60,2,6943118,0,0,0,0,8351938,8509757,22156196,0,0,0,0,30961064,32560898,406471,0,0,0,0,405056,404139,46067,0,0,0,0,53459,52271
10,10,100,1,0,2,100,64,2,7554911,0,0,0,0,8251110,8394890,20956706,0,0,0,0,29960994,31560828,459770,0,0,0,0,457884,456450,51969,0,0,0,0,57039,56774
