repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,2,10,1,0,2,400,2,2,1,88953,189202,252519,233947,290245,245653,298586,338297,647149,842984,920668,1120668,905797,1097757,989,1376,1225,1348,1322,1501,1424,830,1086,999,1043,1058,1177,1092
2,2,10,1,0,2,400,6,2,1,159198,246475,310450,293059,361999,315746,371317,594297,903149,1098984,1176668,1376668,1161797,1353757,2072,2431,2320,2347,2337,2459,2528,1746,1910,1856,1912,1903,1966,2019
2,2,10,1,0,2,400,10,2,1,165019,254338,311270,332972,383694,318287,363281,602297,943149,1138984,1216668,1416668,1201797,1393757,3219,3469,3473,3580,3617,3759,3720,2529,2655,2662,2757,2719,2878,2862
2,2,10,1,0,2,400,14,2,1,227921,314508,370280,375185,468062,384905,441240,858297,1199149,1394984,1472668,1672668,1457797,1649757,4117,4584,4453,4431,4491,4719,4748,3234,3426,3472,3465,3488,3606,3623
2,2,10,1,0,2,400,18,2,1,205377,317013,364656,359878,412850,381888,407324,754297,1119149,1314984,1384668,1592668,1393797,1585757,5596,5975,5880,6123,6117,6447,6393,4158,4309,4328,4428,4473,4527,4561
2,2,10,1,0,2,400,22,2,1,274294,373662,428547,442193,485306,447926,493848,1010297,1375149,1570984,1640668,1848668,1649797,1841757,9169,9389,9500,9527,9542,9822,9747,5099,5291,5295,5328,5334,5494,5470
2,2,10,1,0,2,400,26,2,1,252120,355981,398681,457577,484546,429000,457646,866297,1231149,1426984,1496668,1704668,1505797,1697757,9786,10205,10240,10297,10387,10823,10811,5495,5900,5880,5937,5903,6101,6085
2,2,10,1,0,2,400,30,2,1,319608,404152,484691,462825,499777,467592,525438,1122297,1487149,1682984,1752668,1960668,1761798,1953757,12556,12923,13106,12916,12828,13891,13317,6617,6892,7085,6879,6944,7324,7173
2,2,10,1,0,2,400,34,2,2,296464,399180,450766,453094,477964,475759,484931,1002297,1367149,1602984,1632668,1880668,1641797,1873757,14777,15421,15390,15515,15625,15899,15994,7128,7540,7507,7564,7659,7814,7756
2,2,10,1,0,2,400,38,2,2,366687,461845,505291,511801,535943,548475,557616,1258297,1623149,1858984,1888668,2136668,1897797,2129757,16983,17373,17312,17339,17318,17695,17631,8483,8994,8756,8971,8804,9127,8994
2,2,10,1,0,2,400,42,2,2,337029,435955,482101,484155,512341,529958,546501,1114297,1479149,1714984,1744668,1992668,1753797,1985757,20245,20984,22079,20975,21046,21321,21415,9080,9682,9752,9665,9694,9881,9869
2,2,10,1,0,2,400,46,2,2,404651,493369,548977,524570,564263,569026,605540,1370297,1735149,1970984,2000668,2248668,2009798,2241757,22650,22987,22900,23190,23007,24091,23236,10203,10502,10437,10502,10503,10847,10586
2,2,10,1,0,2,400,50,2,2,380069,470030,525654,510516,548394,597144,616031,1250297,1615149,1850984,1880668,2128668,1889797,2121757,26510,26976,27073,27171,27133,27528,27443,10784,11170,11192,11244,11191,11382,11381
2,2,10,1,0,2,400,54,2,2,459777,546298,587592,591456,606248,638658,657823,1506297,1871149,2106984,2136668,2384668,2145797,2377757,27279,28003,28102,28019,28094,28416,28652,12132,12604,12591,12668,12554,12826,12868
2,2,10,1,0,2,400,58,2,2,431034,510274,564996,561244,594849,596954,633159,1362297,1727149,1962984,1992668,2240668,2001797,2233757,30282,31398,31369,31370,31341,31654,31698,12245,13316,13462,13340,13387,13473,13486
2,2,10,1,0,2,400,62,2,2,510457,587057,631106,681866,711722,662641,693463,1618297,1983149,2218984,2248668,2496668,2257797,2489757,32200,32949,32960,33043,33008,33370,33356,14082,14590,14631,14647,14656,14830,14763
2,2,10,1,0,2,400,66,2,3,465617,556493,618835,603119,624351,630941,674493,1498297,1863149,2138984,2128668,2416668,2137797,2409757,35027,36259,36348,36527,36294,36783,36788,14255,15457,15592,16277,15540,15800,15746
2,2,10,1,0,2,400,70,2,3,543847,630226,676584,645581,684092,687578,726059,1754297,2119149,2394984,2384668,2672668,2393797,2665757,36687,37470,37111,37178,37129,37407,37479,16008,16797,16825,16857,16735,17027,16990
2,2,10,1,0,2,400,74,2,3,514969,594793,646919,639790,661021,675373,708533,1610297,1975149,2250984,2240668,2528668,2249797,2521757,38528,40222,40549,40143,40544,40615,40799,17106,18419,18412,18427,18453,18698,18508
2,2,10,1,0,2,400,78,2,3,588603,666709,723351,691704,718937,741969,777870,1866297,2231149,2506984,2496668,2784668,2505798,2777757,40550,41918,42056,41845,41922,42717,42276,18440,19282,19335,19358,19234,19692,19417
2,2,10,1,0,2,400,82,2,3,576073,647089,702398,679204,710667,705959,738969,1746297,2111149,2386984,2376668,2664668,2385797,2657757,45329,46130,46357,45978,46333,46634,46713,19521,20344,20299,20359,20806,20565,20526
2,2,10,1,0,2,400,86,2,3,644208,717974,751070,758214,750665,799022,806473,2002297,2367149,2642984,2632668,2920668,2641797,2913757,46083,47035,46825,46913,46700,47112,46866,20386,20546,20817,20939,20789,21160,20973
2,2,10,1,0,2,400,90,2,3,625318,703037,740586,743919,746859,781363,777147,1858297,2223149,2498984,2488668,2776668,2497797,2769757,48734,50393,50240,50344,50099,50847,50509,21577,22636,22546,22746,22749,23042,22745
