repeats,epochs,batch,output_dims,output_model,tasks,height,width,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,1,0,2,800,4,1,8763280,0,0,0,0,25462896,26988854,39332936,0,0,0,0,104087932,113687822,316121,0,0,0,0,324145,321304,23793,0,0,0,0,28867,28817
10,10,100,1,0,2,800,8,1,10710277,0,0,0,0,28771609,29805327,44132936,0,0,0,0,113687932,123287822,543098,0,0,0,0,561985,559692,53983,0,0,0,0,65036,63573
10,10,100,1,0,2,800,12,1,16968353,0,0,0,0,36536203,37893707,71332937,0,0,0,0,139287932,148887823,765339,0,0,0,0,764755,783124,83478,0,0,0,0,92129,88534
10,10,100,1,0,2,800,16,1,19217774,0,0,0,0,33138539,34451985,61733857,0,0,0,0,131287932,140887822,998096,0,0,0,0,1002605,1009379,133299,0,0,0,0,125362,122742
10,10,100,1,0,2,800,20,1,22764538,0,0,0,0,40477885,41253109,88933927,0,0,0,0,156887932,166487822,1182313,0,0,0,0,1181004,1226844,154424,0,0,0,0,164560,153625
10,10,100,1,0,2,800,24,1,23049461,0,0,0,0,37794505,39201815,79333927,0,0,0,0,148887933,158487822,1412666,0,0,0,0,1438788,1421143,180674,0,0,0,0,192842,193099
10,10,100,1,0,2,800,28,1,28007642,0,0,0,0,44163649,45879771,106533918,0,0,0,0,174487933,184087823,1638310,0,0,0,0,1636512,1640645,216205,0,0,0,0,230087,225043
10,10,100,1,0,2,800,32,1,44027923,0,0,0,0,42818419,43628510,96933419,0,0,0,0,166487933,176087823,1874252,0,0,0,0,1914742,1902082,254608,0,0,0,0,300673,254465
10,10,100,1,0,2,800,36,2,34913885,0,0,0,0,49101708,50386599,124133068,0,0,0,0,192087933,204887823,2047437,0,0,0,0,2085762,2058382,297686,0,0,0,0,302329,306453
10,10,100,1,0,2,800,40,2,35790051,0,0,0,0,48161589,48622058,114533008,0,0,0,0,184087933,196887823,2248073,0,0,0,0,2336734,2334644,341447,0,0,0,0,336541,333574
