repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,2,10,1,0,2,80,2,2,1,20262,38059,43500,53785,59914,56832,61589,68797,131236,170284,187168,227168,188297,226657,316,559,540,518,470,652,684,289,397,376,397,342,443,449
2,2,10,1,0,2,80,6,2,1,33966,52313,59387,67968,72980,70014,76770,119997,182436,221484,238368,278368,239497,277857,525,768,709,700,703,861,837,484,590,529,569,567,647,602
2,2,10,1,0,2,80,10,2,1,37314,62102,66155,75547,81575,78384,82013,121597,190436,229484,246368,286368,247497,285857,669,869,921,924,891,1145,1062,586,660,682,740,714,899,811
2,2,10,1,0,2,80,14,2,1,48333,72634,79524,87849,90804,89194,93198,172797,241636,280684,297568,337568,298697,337057,871,1120,1132,1133,1116,1323,1169,820,941,949,990,1001,1102,942
2,2,10,1,0,2,80,18,2,1,49711,65771,73078,84930,90397,90815,97488,151997,225636,264684,279968,321568,285897,324257,1043,1333,1345,1317,1391,1443,1429,985,1175,1151,1190,1233,1191,1159
2,2,10,1,0,2,80,22,2,1,62667,81995,87837,94881,100269,101779,107408,203197,276836,315884,331168,372768,337097,375457,1329,1611,1560,1652,1636,1802,1797,1090,1320,1284,1285,1262,1368,1375
2,2,10,1,0,2,80,26,2,1,55746,76398,84460,89628,94372,95736,100892,174397,248036,287084,302368,343968,308297,346657,1556,1826,1788,1947,1955,2115,2021,1291,1490,1482,1525,1481,1613,1517
2,2,10,1,0,2,80,30,2,1,66572,88734,95433,100960,108692,109618,112186,225597,299236,338284,353568,395168,359497,397857,1696,2007,2012,2025,1976,2049,2053,1630,1793,1792,1865,1809,1831,1807
2,2,10,1,0,2,80,34,2,2,69014,93809,95411,109286,108471,116920,115587,201597,275236,322284,329568,379168,335497,381857,1932,2268,2315,2289,2274,2523,2373,1631,1878,1725,1722,1753,1911,1733
2,2,10,1,0,2,80,38,2,2,79534,102254,102252,114266,112507,123323,119278,252797,326436,373484,380768,430368,386697,433057,2052,2407,2344,2384,2384,2515,2421,1943,2165,2143,2191,2187,2285,2164
2,2,10,1,0,2,80,42,2,2,72916,95206,100636,106654,111004,119908,118448,223997,297636,344684,351968,401568,357897,404257,2323,2622,2610,2725,2652,3013,3000,1951,2181,2149,2280,2212,2192,2182
2,2,10,1,0,2,80,46,2,2,80114,101160,107233,117825,120996,123852,127917,275197,348836,395884,403168,452768,409097,455457,2683,3006,3014,3053,3082,3202,3154,1919,2208,2212,2257,2274,2336,2282
2,2,10,1,0,2,80,50,2,2,82148,98515,104446,109983,115067,125356,126145,251197,324836,371884,379168,428768,385097,431457,2774,3148,3077,3189,3118,3360,3379,2347,2637,2553,2689,2634,2822,2576
2,2,10,1,0,2,80,54,2,2,93419,114227,116691,125156,126531,136396,134729,302397,376036,423084,430368,479968,436297,482657,2930,3305,3318,3350,3415,3602,3485,2414,2716,2722,2761,2756,2823,2775
2,2,10,1,0,2,80,58,2,2,90829,114430,114954,122824,123899,132396,134867,273597,347236,394284,401568,451168,407497,453857,3281,3688,3677,3678,3659,3828,3797,2356,2655,2619,2701,2664,2740,2736
2,2,10,1,0,2,80,62,2,2,99602,117718,125647,132578,136748,142375,143869,324797,398436,445484,452768,502368,458697,505057,3441,3802,3765,3704,3997,3932,3985,2457,2719,2700,2736,2761,2817,2822
2,2,10,1,0,2,80,66,2,3,101771,114920,119972,130633,132627,140226,140814,300797,374436,429484,428768,486368,434697,489057,3423,3885,3836,3816,3824,4066,3998,2851,3249,3209,3248,3238,3401,3285
2,2,10,1,0,2,80,70,2,3,118541,134760,133426,142188,141363,151780,151610,351997,425636,480684,479968,537568,485897,540257,3797,4151,4114,4150,4121,4442,4331,3148,3432,3419,3463,3439,3618,3481
2,2,10,1,0,2,80,74,2,3,116829,134232,130887,150563,145086,157627,152341,323197,396836,451884,451168,508768,457097,511457,4430,4811,4754,4743,4643,5023,4973,2860,3151,3139,3164,3102,3350,3250
2,2,10,1,0,2,80,78,2,3,124779,141952,140159,152899,149712,163686,158211,374397,448036,503084,502368,559968,508297,562657,4671,5062,4988,5064,5122,5525,5451,3433,3734,3678,3772,3394,3550,3487
2,2,10,1,0,2,80,82,2,3,114749,129694,135698,144278,146531,155600,157480,350397,424036,479084,478368,535968,484297,538657,4865,5399,5382,5351,5444,5631,5641,3090,3500,3453,3501,3499,3589,3550
2,2,10,1,0,2,80,86,2,3,123816,142776,149337,153059,158986,165757,166866,401597,475236,530284,529568,587168,535497,589857,4658,5102,5181,5214,5273,5413,5116,3615,3945,3974,4053,4103,4141,4517
2,2,10,1,0,2,80,90,2,3,123252,137061,145697,151332,151596,160417,160879,372797,446436,501484,500768,558368,506697,561057,5449,5914,5804,5980,6261,6448,6404,3803,4311,4184,3908,3968,4100,3999
2,2,10,1,0,2,80,94,2,3,129415,147480,156033,159467,164416,168359,172106,423997,497636,552684,551968,609568,557897,612257,4741,5364,5277,5290,5329,5979,5818,3865,4372,4301,4393,4382,4178,4084
2,2,10,1,0,2,80,98,2,4,138909,147417,150897,158015,158606,167350,169568,399997,473636,536684,527968,593568,533897,596257,5721,6169,6168,6229,6197,6485,6809,4033,4471,4400,4571,4498,4677,4253
2,2,10,1,0,2,80,102,2,4,142965,158956,159787,176116,172971,179242,178847,451197,524836,587884,579168,644768,585097,647457,6659,7208,7136,7263,7433,7645,7801,4350,4590,4522,4745,4308,4281,4306
2,2,10,1,0,2,80,106,2,4,141828,163304,159297,173478,167113,176383,176452,422397,496036,559084,550368,615968,556297,618657,5884,6800,6665,6696,6685,6885,6943,4883,5242,4809,4922,4835,4960,4868
2,2,10,1,0,2,80,110,2,4,153638,172552,171427,179640,177676,184658,186457,473597,547236,610284,601568,667168,607497,669857,6885,7465,7488,7550,7408,8074,8112,4565,5051,5034,5123,5089,4682,4673
2,2,10,1,0,2,80,114,2,4,160089,175114,166330,187486,174980,198760,185329,449597,523236,586284,577568,643168,583497,645857,8343,8792,8433,8850,8449,8986,8551,4439,4788,4740,4876,4784,5024,4874
2,2,10,1,0,2,80,118,2,4,162568,180969,176900,189834,187289,191147,193466,500797,574436,637484,628768,694368,634697,697057,8406,8826,9278,9006,8880,9032,9047,4925,5399,5407,5533,5378,5536,5470
2,2,10,1,0,2,80,122,2,4,158222,181281,177396,194114,189372,205035,193966,471997,545636,608684,599968,665568,605897,668257,7336,7763,7767,7835,8143,8440,8390,5582,6020,5992,6112,5523,5748,5625
2,2,10,1,0,2,80,126,2,4,183121,201287,187523,212252,195589,213142,200802,523197,596836,659884,651168,716768,657097,719457,9089,9614,9353,9552,9192,9762,9677,4870,5167,5068,5127,5050,5214,5200
2,2,10,1,0,2,80,130,2,5,179343,198989,185513,199592,189730,211510,199118,499197,572836,643884,627168,700768,633097,703457,9346,9759,9041,9752,9391,10103,9723,4946,5311,5079,5232,5118,5425,5298
2,2,10,1,0,2,80,134,2,5,169309,190450,192631,198063,198368,210986,210349,550397,624036,695084,678368,751968,684297,754657,10385,10965,11013,10959,10286,10680,10528,4903,5425,5460,5594,6018,6200,6088
2,2,10,1,0,2,80,138,2,5,175928,191555,186582,203822,196336,207476,202980,521597,595236,666284,649568,723168,655497,725857,9245,9961,9792,9997,9790,10611,10500,5737,6262,6161,6254,6129,5720,5606
2,2,10,1,0,2,80,142,2,5,198672,213012,202057,218222,213212,231482,220620,572797,646436,717484,700768,774368,706697,777057,9575,10136,9804,10157,10357,11071,10741,6721,7169,7029,7131,7006,6759,6605
