repeats,epochs,batch,output_dims,output_model,tasks,height,width,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,1,0,2,40,4,1,888636,0,0,0,0,2429890,2565754,1894443,0,0,0,0,4807369,5367278,343698,0,0,0,0,1939508,2018742,3461,0,0,0,0,10904,6361
10,10,100,1,0,2,40,8,1,1063472,0,0,0,0,2662186,2902696,1814443,0,0,0,0,4807369,5367278,392070,0,0,0,0,1938000,2017972,4548,0,0,0,0,12104,11436
10,10,100,1,0,2,40,12,1,1506726,0,0,0,0,3066728,3182453,2894443,0,0,0,0,5807369,6367278,515311,0,0,0,0,2021705,2098475,5442,0,0,0,0,17257,12041
10,10,100,1,0,2,40,16,1,2032911,0,0,0,0,3008063,3246059,2295023,0,0,0,0,5287369,5847278,691331,0,0,0,0,2018175,2098580,5707,0,0,0,0,21926,22001
10,10,100,1,0,2,40,20,1,1904520,0,0,0,0,3382879,3561355,3375403,0,0,0,0,6287369,6847278,601407,0,0,0,0,2098963,2178002,5921,0,0,0,0,22916,21555
10,10,100,1,0,2,40,24,1,1780093,0,0,0,0,3394646,3572935,2775423,0,0,0,0,5767369,6327278,550466,0,0,0,0,2097962,2177963,6074,0,0,0,0,28697,28914
10,10,100,1,0,2,40,28,1,2852826,0,0,0,0,3839842,3966912,3854923,0,0,0,0,6767369,7327278,847020,0,0,0,0,2178659,2258221,6326,0,0,0,0,33518,30377
10,10,100,1,0,2,40,32,1,2403121,0,0,0,0,3847653,4010119,3254583,0,0,0,0,6247369,6807278,693730,0,0,0,0,2179019,2259286,6947,0,0,0,0,44135,39313
10,10,100,1,0,2,40,36,2,3236512,0,0,0,0,4197978,4955777,4334783,0,0,0,0,7247369,7967278,919285,0,0,0,0,2259847,2501930,6722,0,0,0,0,37429,4185
10,10,100,1,0,2,40,40,2,2894728,0,0,0,0,4208203,4908571,3734623,0,0,0,0,6727369,7447278,762929,0,0,0,0,2258027,2500761,8641,0,0,0,0,42983,14031
10,10,100,1,0,2,40,44,2,3310941,0,0,0,0,4698953,5363007,4814553,0,0,0,0,7727369,8447278,870830,0,0,0,0,2346856,2548691,8073,0,0,0,0,54542,15847
10,10,100,1,0,2,40,48,2,3455382,0,0,0,0,4596713,5316267,4214873,0,0,0,0,7207369,7927278,998802,0,0,0,0,2338434,2595208,8083,0,0,0,0,48403,24517
10,10,100,1,0,2,40,52,2,3398043,0,0,0,0,4961006,5736349,5295323,0,0,0,0,8207369,8927278,946587,0,0,0,0,2419000,2622907,7868,0,0,0,0,47591,25673
10,10,100,1,0,2,40,56,2,3459609,0,0,0,0,5054251,5704328,4695353,0,0,0,0,7687369,8407278,913420,0,0,0,0,2418104,2638313,8203,0,0,0,0,59419,33608
10,10,100,1,0,2,40,60,2,4141134,0,0,0,0,5324437,6134298,5775063,0,0,0,0,8687369,9407278,1167653,0,0,0,0,2499104,2705166,9220,0,0,0,0,56647,35819
10,10,100,1,0,2,40,64,2,4166284,0,0,0,0,5136089,6146641,5174943,0,0,0,0,8167369,8887278,1178243,0,0,0,0,2498049,2728298,9920,0,0,0,0,45025,45602
10,10,100,1,0,2,40,68,3,4503195,0,0,0,0,5986384,5491491,6254813,0,0,0,0,9167369,10047278,1249961,0,0,0,0,2587500,2745788,9747,0,0,0,0,77348,8671
10,10,100,1,0,2,40,72,3,4064356,0,0,0,0,5769822,5488925,5654553,0,0,0,0,8647369,9527278,1094828,0,0,0,0,2578770,2738474,9898,0,0,0,0,64701,15402
10,10,100,1,0,2,40,76,3,4894433,0,0,0,0,5926616,5914124,6735093,0,0,0,0,9647369,10527278,1341867,0,0,0,0,2658894,2818124,9448,0,0,0,0,46831,15758
