repeats,epochs,batch,output_dims,output_model,tasks,height,width,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,1,0,2,5,4,1,152987,290070,308994,366332,378974,538857,555922,278455,477364,555826,684019,754000,986421,1056285,54300,168031,175347,250370,258990,397963,406932,1300,1355,1017,1534,1120,2518,1999
10,10,100,1,0,2,5,8,1,161233,294962,305604,383532,408238,534248,561543,268455,477364,555826,684019,754000,986421,1056285,59314,164390,173406,248936,258950,390065,399923,265,245,216,333,276,1502,1302
10,10,100,1,0,2,5,12,1,256963,350010,365372,427562,456460,598430,627977,403865,602364,680826,809019,879000,1111421,1181285,85371,172560,183736,259475,268969,405889,416416,205,240,261,478,436,1755,1549
10,10,100,1,0,2,5,16,1,221468,342745,364956,419058,452361,572388,604425,329365,537364,615826,744019,814000,1046421,1116285,73739,178369,185442,259514,268991,401130,410694,567,513,676,621,816,1738,1800
10,10,100,1,0,2,5,20,1,274221,400553,432181,463460,503010,627627,656815,464445,662364,740826,869019,939000,1171421,1241285,84923,191050,196744,268983,279317,411046,419938,1471,1689,2057,1864,2336,3268,3310
10,10,100,1,0,2,5,24,1,273682,392339,417692,463208,485462,621176,646233,389375,597364,675826,804019,874000,1106421,1176285,82703,188389,195946,268949,278949,410407,420155,1292,1939,2323,2085,2458,3749,3484
10,10,100,1,0,2,5,28,1,359427,465643,486802,531796,562520,682220,707009,524315,722364,800826,929019,999000,1231421,1301285,102311,198664,206342,279201,288973,420880,429923,1953,3107,3530,3610,3718,4550,4695
10,10,100,1,0,2,5,32,1,348831,442011,476044,505767,547834,667495,706019,449255,657364,735826,864019,934000,1166421,1236285,103817,199146,206813,279059,288958,421062,430451,1568,2500,3587,2679,3599,4155,4547
10,10,100,1,0,2,5,36,2,409080,506962,605789,571552,687786,747588,845517,583495,782364,880826,989019,1079000,1291421,1381285,108386,209050,229675,289325,313964,431315,460448,1800,2730,604,3151,817,6801,3538
10,10,100,1,0,2,5,40,2,412877,500496,600334,565483,674847,722261,820540,508605,717364,815826,924019,1014000,1226421,1316285,108886,208660,229966,289122,322022,430247,459456,1771,3473,1159,3955,1339,5375,2163
10,10,100,1,0,2,5,44,2,476532,563963,661952,636573,738668,785521,879700,643665,842364,940826,1049019,1139000,1351421,1441285,127668,219871,238457,299641,324083,441787,465942,1743,3689,1483,4388,1717,5421,2541
10,10,100,1,0,2,5,48,2,471663,545545,641720,610507,708971,777159,862501,569155,777364,875826,984019,1074000,1286421,1376285,130418,218505,239550,299201,329749,440628,468821,1904,4488,2311,4861,2543,6915,3731
10,10,100,1,0,2,5,52,2,502893,605905,698216,673551,767535,831878,915771,704335,902364,1000826,1109019,1199000,1411421,1501285,135215,231028,249935,309400,334960,451258,476144,2936,5906,3051,6330,3447,8180,4503
10,10,100,1,0,2,5,56,2,490412,600216,686742,674423,753783,829349,911373,629385,837364,935826,1044019,1134000,1346421,1436285,129428,228750,249685,309113,337797,450259,475985,2354,6160,3649,6808,3820,8568,4737
10,10,100,1,0,2,5,60,2,591195,663610,757547,732775,832479,889880,973799,763835,962364,1060826,1169019,1259000,1471421,1561285,160077,239567,259495,319189,348188,461739,485344,2101,6447,4176,7024,4357,8684,5339
10,10,100,1,0,2,5,64,2,570591,663089,746084,731850,808415,875647,952909,688825,897364,995826,1104019,1194000,1406421,1496285,154173,238864,258941,319104,345244,460239,488291,2465,7791,4728,8281,4963,9255,5915
10,10,100,1,0,2,5,68,3,616015,725194,847272,778321,758220,944987,903881,823835,1022364,1140826,1229019,1339000,1531421,1641285,162755,249791,269724,329383,349359,471783,492148,2425,7502,981,7584,1162,9549,1890
10,10,100,1,0,2,5,72,3,615174,714906,844434,777748,736022,941586,900879,749155,957364,1075826,1164019,1274000,1466421,1576285,166208,249010,270626,329497,349101,470794,490347,2846,8868,1782,9419,2109,12206,4006
10,10,100,1,0,2,5,76,3,674240,792701,889733,851501,810858,1012381,981917,883905,1082364,1200826,1289019,1399000,1591421,1701285,178581,259284,279187,339240,359024,481393,506815,2626,9814,2144,10181,2355,12750,3501
10,10,100,1,0,2,5,80,3,609872,773728,884344,827785,793674,996374,970549,808545,1017364,1135826,1224019,1334000,1526421,1636285,158969,258702,279282,339297,358997,480470,509285,2495,9778,2577,10160,2797,12355,4045
10,10,100,1,0,2,5,84,3,693035,841310,935526,882862,850400,1048904,1024726,944205,1142364,1260826,1349019,1459000,1651421,1761285,182109,270609,289057,349308,369292,491468,519035,2840,9998,3190,10372,3468,11912,4502
10,10,100,1,0,2,5,88,3,677612,822580,922356,871775,847158,1030242,996642,869255,1077364,1195826,1284019,1394000,1586421,1696285,176919,268628,289165,349178,368988,490663,511976,3058,10290,3429,10734,3824,12049,4508
10,10,100,1,0,2,5,92,3,751528,884747,989565,936788,912395,1094580,1075854,1004205,1202364,1320826,1409019,1519000,1711421,1821285,191380,279423,298542,359774,379094,501451,529641,3759,10464,4184,10953,4529,12496,5295
10,10,100,1,0,2,5,96,3,744039,874210,978961,932347,901144,1071813,1053411,928815,1137364,1255826,1344019,1454000,1646421,1756285,196359,278742,299897,359245,379058,500837,524361,3068,11449,4650,12809,5058,12631,5753
