repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,2,10,1,0,2,40,4,2,1,27684,55489,57443,60382,59911,69572,67442,39027,73953,82309,95562,100362,95573,101864,10160,28535,29327,40241,41366,42649,44151,66,99,56,106,65,128,85
2,2,10,1,0,2,40,8,2,1,31661,56996,59790,70835,71901,72434,80915,39027,71553,79909,93162,97962,93173,99464,6175,23719,24450,35406,36274,37796,39418,58,130,133,142,144,170,165
2,2,10,1,0,2,40,12,2,1,41196,69958,73499,79879,78776,81702,87526,59827,92353,100709,113162,117962,113173,119464,12571,30143,30928,41829,42711,44167,45856,62,181,152,193,152,203,168
2,2,10,1,0,2,40,16,2,1,39554,65838,67547,74036,80222,82115,88616,46227,78753,87109,100362,105162,100373,106664,7762,25322,26067,36931,37907,39396,41092,79,237,224,292,278,306,323
2,2,10,1,0,2,40,20,2,1,46592,82379,82733,84435,89497,91500,94384,67027,99553,107909,120362,125162,120373,126664,14168,31707,32497,43351,44228,45876,47390,117,372,368,414,354,425,374
2,2,10,1,0,2,40,24,2,1,44627,74132,77489,87903,89398,91312,96595,53427,85953,94309,107562,112362,107573,113864,9370,26927,27701,38597,39566,41008,42663,112,295,342,361,367,371,376
2,2,10,1,0,2,40,28,2,1,50916,81806,88765,94073,97704,94488,93977,74227,106753,115109,127562,132362,127573,133864,15772,33354,34110,44975,45896,47401,49039,80,240,316,395,335,416,392
2,2,10,1,0,2,40,32,2,1,54986,77738,80515,90989,90961,123677,106822,60627,93153,101509,114762,119562,114773,121064,10973,28529,29285,40139,41072,42649,44186,181,449,476,597,629,620,683
2,2,10,1,0,2,40,36,2,2,61279,79838,97490,122915,102496,113715,111291,81427,113953,125509,134762,142762,134773,144264,17366,34953,37295,46592,49523,49080,54383,170,440,76,669,89,605,131
2,2,10,1,0,2,40,40,2,2,63659,86603,102213,92698,95752,104350,109546,67827,100353,111909,121962,129962,121973,131464,12568,30134,34431,41753,44171,44252,50329,188,406,242,594,254,596,279
2,2,10,1,0,2,40,44,2,2,71392,90856,111337,108564,110176,109035,117325,88627,121153,132709,141962,149962,141973,151464,18973,36547,39110,48134,50141,50593,55504,171,391,248,785,254,567,305
2,2,10,1,0,2,40,48,2,2,71931,95005,111118,106585,110270,109327,119717,75027,107553,119109,129162,137162,129173,138664,14179,31750,35095,43370,45245,45880,51293,184,635,384,847,409,854,477
2,2,10,1,0,2,40,52,2,2,76894,96487,121828,113314,120652,118952,131148,95827,128353,139909,149162,157162,149173,158664,20573,38134,40626,49755,52177,52160,57251,220,488,414,889,428,765,489
2,2,10,1,0,2,40,56,2,2,76608,95993,116176,107833,114002,110509,123643,82227,114753,126309,136362,144362,136373,145864,15772,33325,36831,44993,47304,47364,53062,220,672,580,871,604,958,637
2,2,10,1,0,2,40,60,2,2,85724,104137,127197,117079,124410,121903,134107,103027,135553,147109,156362,164362,156373,165864,22178,39746,42135,51385,53726,53925,58912,209,643,634,1081,659,1021,704
2,2,10,1,0,2,40,64,2,2,87577,99919,128962,119249,124624,118309,131828,89427,121953,133509,143562,151562,143573,153064,17368,34946,38289,46588,48753,48922,54091,225,456,772,845,778,940,837
2,2,10,1,0,2,40,68,2,3,92104,107974,109659,126397,109148,135852,118419,110227,142753,157509,163562,174762,163573,176264,23774,41342,43704,52962,55446,55449,58563,218,481,111,1336,127,1246,189
2,2,10,1,0,2,40,72,2,3,95010,115629,107745,116843,112886,123804,117302,96627,129153,143909,150762,161962,150773,163464,18972,36550,38918,48230,50660,50600,53793,251,1667,315,946,327,1225,383
2,2,10,1,0,2,40,76,2,3,99457,109616,111165,131624,117711,135540,122396,117427,149953,164709,170762,181962,170773,183464,25374,42943,45311,54666,57051,57023,60181,224,539,303,988,353,1224,359
2,2,10,1,0,2,40,80,2,3,103562,117759,114118,126033,116700,132654,124553,103827,136353,151109,157962,169162,157973,170664,20573,38161,40518,49838,52269,52262,55403,239,1056,452,1268,480,949,533
2,2,10,1,0,2,40,84,2,3,108991,121785,121486,140185,126609,139718,135411,124627,157153,171909,177962,189162,177973,190664,26984,44530,46940,56186,58622,58597,61770,259,845,456,1705,477,1639,575
