repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,2,10,1,0,2,400,4,4,1,92243,201974,223510,236954,281354,270385,314517,290819,647910,755834,877423,973150,975243,1071243,2960,3363,3361,3534,3433,3583,3596,2186,2475,2465,2591,2602,2635,2661
2,2,10,1,0,2,400,8,4,1,132769,246690,259874,292951,341994,326891,345989,426819,783910,891834,1005423,1101150,1103243,1199243,5003,5630,5620,5737,5649,6224,6061,3757,4210,4196,4337,4225,4437,4386
2,2,10,1,0,2,400,12,4,1,184987,283550,295834,338169,357109,367628,384920,562819,919910,1027834,1133423,1229150,1231243,1327243,9039,9700,9573,10012,9803,10414,10275,5344,5908,5835,6047,5904,6150,6077
2,2,10,1,0,2,400,16,4,1,234016,346577,363800,434058,460141,449724,469207,698819,1055910,1163834,1261423,1357150,1359243,1455243,14732,15699,15565,15874,15713,16223,16250,6842,7431,7492,7673,7532,7764,7732
2,2,10,1,0,2,400,20,4,2,322533,436032,465596,512991,522734,542324,585744,834819,1191910,1331834,1389423,1517150,1487243,1615243,20599,21253,20723,21515,21143,21739,21465,8848,9581,9324,9593,9427,9658,9545
2,2,10,1,0,2,400,24,4,2,397209,515235,557947,594401,614562,629128,649624,970819,1327910,1467834,1517423,1645150,1615243,1743243,25538,26341,26230,26385,26361,26937,26824,10777,11618,11440,11674,11595,11817,11695
2,2,10,1,0,2,400,28,4,2,457475,607410,642051,679440,691536,711376,720260,1106819,1463910,1603834,1645423,1773150,1743243,1871243,31179,32044,32073,32134,32138,32465,32420,12698,13289,13191,13357,13246,13607,13405
2,2,10,1,0,2,400,32,4,2,536921,701563,731427,767052,782750,794522,809959,1242819,1599910,1739834,1773423,1901150,1871243,1999243,36679,37616,37571,37633,37607,38050,38065,15205,15847,16164,15936,15909,16395,16257
2,2,10,1,0,2,400,36,4,3,604425,795044,816606,855640,864275,880867,891978,1378819,1735911,1907834,1901423,2061150,1999243,2159243,40944,41916,41761,42057,41994,42520,42269,17814,18231,18298,18570,18264,18756,18597
2,2,10,1,0,2,400,40,4,3,705781,866551,893394,925946,942068,952399,973531,1514819,1871910,2043834,2029423,2189150,2127243,2287243,45301,46739,46305,46767,46582,47103,46995,19919,20297,20494,20591,20582,20494,20496
2,2,10,1,0,2,400,44,4,3,823761,969731,988831,1028012,1028932,1053052,1061024,1650819,2007910,2179834,2157423,2317150,2255243,2415243,47102,48612,48538,48596,48570,49206,48911,22328,23381,23299,23447,23408,23550,23476
2,2,10,1,0,2,400,48,4,3,946105,1056949,1078409,1122256,1113461,1133201,1147223,1786819,2143911,2315834,2285423,2445150,2383243,2543243,54159,55454,54427,55578,55154,55729,55489,25341,26195,26532,26583,26313,26629,26751
2,2,10,1,0,2,400,52,4,4,1030919,1140145,1152952,1204920,1192769,1228417,1223285,1922819,2279911,2483834,2413423,2605150,2511243,2703243,56354,57766,57365,58133,57084,58395,57449,26424,27794,27374,28493,27339,28486,27573
2,2,10,1,0,2,400,56,4,4,1141380,1239355,1246561,1314406,1301882,1327484,1306934,2058819,2415911,2619834,2541423,2733150,2639243,2831243,64202,65551,62391,65361,63234,65809,63822,29852,32757,31877,32118,31767,32203,31953
2,2,10,1,0,2,400,60,4,4,1209014,1320814,1323627,1384368,1362807,1420083,1397150,2194819,2551910,2755834,2669423,2861150,2767243,2959243,66948,68382,67996,68638,67837,69013,68307,33039,33966,33942,34083,34202,34239,34336
2,2,10,1,0,2,400,64,4,4,1304623,1410062,1413852,1499928,1465223,1504603,1495961,2330819,2687910,2891834,2797423,2989150,2895243,3087243,71107,72607,72362,72808,72115,73251,72554,36369,37341,37305,37641,37658,37776,37612
2,2,10,1,0,2,400,68,4,5,1392109,1504973,1496693,1581450,1540335,1600155,1587279,2466819,2823910,3059834,2925424,3149150,3023243,3247243,73774,75094,73817,75444,73971,75654,74428,39159,39629,39719,40367,39819,39120,39784
2,2,10,1,0,2,400,72,4,5,1487251,1596644,1595394,1670877,1622842,1699344,1725816,2602819,2959910,3195834,3053423,3277150,3151243,3375243,79750,81064,80358,81398,78859,81875,79283,41938,43303,43472,44144,42988,42938,42992
2,2,10,1,0,2,400,76,4,5,1578198,1678247,1676460,1756251,1726398,1796481,1853627,2738819,3095910,3331834,3181423,3405151,3279243,3503243,86032,86988,85318,87195,85380,87559,85861,45719,46226,46413,46459,47019,46367,47211
2,2,10,1,0,2,400,80,4,5,1674238,1800823,1784679,1876546,1898617,1918847,1984651,2874819,3231911,3467834,3309423,3533150,3407243,3631243,89026,90632,89025,90107,87895,90473,88278,48431,50491,49451,50052,49904,49834,49611
2,2,10,1,0,2,400,84,4,6,1778743,1892641,1897180,1948462,2013211,2052917,2117188,3010805,3367896,3635820,3437409,3693136,3535229,3791229,91543,92659,89289,92385,89913,93047,90700,52065,51833,51002,51714,51509,51482,51590
2,2,10,1,0,2,400,88,4,6,1858986,1969596,2021155,2086210,2134684,2198547,2259711,3146805,3503896,3771820,3565409,3821136,3663229,3919229,99708,100803,98217,101278,98845,101814,99734,55925,56807,56905,57779,59668,56835,57002
2,2,10,1,0,2,400,92,4,6,1961391,2075295,2142040,2203803,2271256,2324746,2381463,3282805,3639896,3907820,3693409,3949136,3791229,4047229,102185,102712,99350,103036,100166,103841,101224,56790,58264,57354,57995,58146,58099,58269
2,2,10,1,0,2,400,96,4,6,2056874,2203139,2286364,2327405,2404341,2434372,2518889,3418805,3775896,4043820,3821409,4077136,3919229,4175229,104527,105615,101911,105874,103308,105921,104180,62277,62509,62202,62479,61720,62192,61730
2,2,10,1,0,2,400,100,4,7,2140667,2334481,2412687,2473914,2527604,2589125,2706710,3554805,3911896,4211820,3949409,4237137,4047229,4335229,110293,111613,106400,111912,108085,112564,108977,62939,64765,63165,64673,65691,65685,64860
2,2,10,1,0,2,400,104,4,7,2245203,2457214,2536510,2607203,2684664,2712773,2791672,3690805,4047896,4347820,4077409,4365136,4175229,4463229,116432,117802,114124,117942,114856,118543,115668,69746,70824,69680,70410,70923,70634,70855
2,2,10,1,0,2,400,108,4,7,2348451,2602199,2665998,2732084,2809068,2850284,2918148,3826805,4183897,4483820,4205409,4493136,4303229,4591229,121586,122861,119178,122857,119555,123651,120390,72071,74818,73834,74216,74931,74478,74874
2,2,10,1,0,2,400,112,4,7,2453836,2712786,2798795,2862215,2943825,2965082,3050781,3962805,4319896,4619820,4333409,4621136,4431229,4719229,124093,124387,120331,124705,121292,125045,122337,68556,74319,72932,73869,74001,73984,74140
2,2,10,1,0,2,400,116,4,8,2585087,2876787,2949948,3016499,3092535,3123581,3194829,4098805,4455897,4787820,4461409,4781136,4559229,4879229,126098,127133,120167,127719,120285,128372,121105,77799,79770,76021,79191,77795,80020,77880
2,2,10,1,0,2,400,120,4,8,2675137,2983669,3081685,3125500,3208195,3244592,3333027,4234805,4591896,4923820,4589409,4909136,4687229,5007229,134432,135559,130742,135618,130941,136747,131678,81683,83267,82092,83149,83067,83402,83220
2,2,10,1,0,2,400,124,4,8,2820565,3125935,3209626,3272066,3357520,3390912,3454398,4370805,4727896,5059821,4717409,5037136,4815229,5135229,139309,140429,134857,140806,135517,141413,136391,86333,87371,85519,87190,87059,87284,86972
2,2,10,1,0,2,400,128,4,8,2938807,3158325,3380638,3289686,3512504,3408542,3655454,4506805,4863897,5195820,4845409,5165136,4943229,5263229,143120,144608,138668,144417,137631,145139,138379,87936,88719,85103,88696,85835,88836,86069
2,2,10,1,0,2,400,132,4,9,3093270,3381576,3480693,3532178,3615077,3648511,3726770,4642805,4999896,5363820,4973409,5325136,5071229,5423229,143154,143446,136939,143720,136818,144131,137371,89694,90371,86965,89952,89643,90321,89317
2,2,10,1,0,2,400,136,4,9,3271705,3513626,3613758,3660854,3758787,3767455,3861760,4778805,5135896,5499820,5101409,5453136,5199229,5551229,152636,153265,146906,153568,146769,154116,147288,95403,95707,93105,95363,94582,95426,94509
2,2,10,1,0,2,400,140,4,9,3361013,3668893,3749958,3807934,3865967,3923316,4003482,4914805,5271897,5635820,5229410,5581136,5327229,5679229,157392,158257,150244,158701,150568,158698,151470,99026,99610,95007,98931,98100,98835,98102
2,2,10,1,0,2,400,144,4,9,3480419,3770195,3867277,3923875,4013261,4032167,4119599,5050805,5407896,5771820,5357410,5709136,5455229,5807229,161639,162461,156730,162954,156144,163527,156285,102090,103217,99605,103544,101004,102655,101695
2,2,10,1,0,2,400,148,4,10,3612650,3917945,4017574,4064028,4161406,4153730,4273889,5186805,5543896,5939820,5485409,5869136,5583229,5967229,159999,160888,149773,161430,151568,161872,152596,102681,103849,95681,103323,101078,103506,101146
2,2,10,1,0,2,400,152,4,10,3754071,4040064,4148076,4193274,4271155,4298511,4409054,5322805,5679897,6075820,5613409,5997136,5711229,6095229,165071,164941,157184,164879,155962,166255,156877,108004,107874,101229,107599,105473,107115,105667
2,2,10,1,0,2,400,156,4,10,3928597,4188153,4275884,4313242,4420580,4441806,4531347,5458805,5815897,6211820,5741409,6125136,5839229,6223229,170952,171855,162652,171880,160908,172168,161615,108442,108706,101447,108410,105611,108316,105566
2,2,10,1,0,2,400,160,4,10,4015913,4298329,4411161,4424624,4554223,4551391,4659279,5594805,5951896,6347820,5869409,6253136,5967229,6351229,173611,174519,165810,173808,163339,174510,164056,111701,113163,104453,111886,108073,111856,108554
2,2,10,1,0,2,400,164,4,11,4189983,4434012,4559670,4587601,4679120,4702688,4813782,5730805,6087897,6515820,5997410,6413136,6095229,6511229,179857,180530,169764,180806,166715,181450,167638,115377,115741,106618,114945,111383,115457,111263
