repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,2,10,1,0,2,80,4,4,1,21884,45905,50053,56644,62089,64633,66607,67222,136839,173516,177437,214237,186506,221633,693,893,840,897,869,1018,985,604,693,668,707,714,795,743
2,2,10,1,0,2,80,8,4,1,38292,62651,64718,75198,79570,85241,83217,92822,162439,199116,203037,239837,212106,247233,1050,1346,1298,1394,1380,1488,1557,882,1101,1056,1171,1132,1166,1232
2,2,10,1,0,2,80,12,4,1,49097,75194,77968,83483,87439,93709,95757,118422,188039,224716,228637,265437,237706,272833,1475,1702,1717,1824,1794,1842,1836,1246,1422,1448,1518,1496,1449,1479
2,2,10,1,0,2,80,16,4,1,66075,95336,97379,103698,112137,111826,115103,144022,213639,250316,254237,291037,263306,298433,1982,2191,2165,2239,2285,2390,2300,1494,1682,1671,1746,1785,1749,1737
2,2,10,1,0,2,80,20,4,2,80555,111858,117583,121833,128719,131706,137928,169622,239239,283916,279837,324637,288906,332033,2433,2765,2733,2878,2840,2927,3017,1817,1982,1988,2114,2138,2101,2156
2,2,10,1,0,2,80,24,4,2,95552,130898,134212,145236,148587,150448,157494,195222,264839,309516,305437,350237,314506,357633,3140,3491,3490,3425,3543,3763,3905,2235,2441,2460,2469,2537,2673,2622
2,2,10,1,0,2,80,28,4,2,115250,150471,158638,162360,169016,170876,177432,220822,290439,335116,331037,375837,340106,383233,3202,3677,3627,3796,3724,3852,3931,2668,2714,2653,2792,2740,2769,2826
2,2,10,1,0,2,80,32,4,2,142785,170025,175661,182997,186852,190425,195186,246422,316039,360716,356637,401437,365706,408833,3765,4141,4089,4092,4188,4291,4299,2787,2996,2939,3008,3028,3049,3084
2,2,10,1,0,2,80,36,4,3,172074,192323,195129,201831,203524,210051,211118,272022,341639,394316,382237,435037,391306,442433,5433,5761,5461,5685,5730,6320,6289,3354,3591,3500,3556,3562,3420,3319
2,2,10,1,0,2,80,40,4,3,180321,204215,209853,213656,217627,222590,229652,297622,367239,419916,407837,460637,416906,468033,5678,6017,6075,6083,6121,6278,6267,3363,3614,3633,3637,3671,3648,3645
