repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,2,10,1,0,2,80,4,4,1,46226,95995,85488,99146,102016,117275,108449,60740,119576,144169,176226,198626,176014,197808,17030,52819,55953,68543,71766,73804,76683,177,328,72,308,88,394,107
2,2,10,1,0,2,80,8,4,1,64934,113544,108865,120011,124571,134312,131459,99140,157976,182569,214626,237026,214414,236208,29827,65577,68719,81331,84525,86794,89489,390,578,310,633,317,659,382
2,2,10,1,0,2,80,12,4,1,88789,130618,134390,135976,147901,152461,153139,137540,196376,220969,253026,275426,252814,274608,42624,78395,81538,94145,97289,99380,102242,510,684,697,807,720,948,770
2,2,10,1,0,2,80,16,4,1,106876,153328,149275,182093,162822,172676,170190,175940,234776,259369,291426,313826,291214,313008,55429,91195,94441,106962,110130,112439,115050,519,892,867,1298,746,1157,751
2,2,10,1,0,2,80,20,4,2,126664,167638,190355,180122,211358,199758,218143,214340,273176,304169,329826,358626,329614,357808,68229,103974,110575,119765,130368,125281,134208,538,778,130,1088,164,1868,249
2,2,10,1,0,2,80,24,4,2,149506,190006,211254,198766,241762,209910,249350,252740,311576,342569,368226,397026,368014,396208,81037,116760,122030,132556,141590,137867,146982,610,1205,493,1620,565,1458,586
2,2,10,1,0,2,80,28,4,2,170686,206157,234056,232321,273612,244933,271660,291140,349976,380969,406626,435426,406414,434608,93832,129603,135160,147623,157161,152445,161558,607,972,919,1751,938,1540,993
2,2,10,1,0,2,80,32,4,2,193220,241469,276675,262562,290203,272690,297009,329540,388376,419369,445026,473826,444814,473008,106631,142410,149843,160778,170063,164662,174354,672,1674,1289,2506,1474,2055,1526
2,2,10,1,0,2,80,36,4,3,229788,260486,276567,288103,301958,307700,353962,367940,426776,464169,483426,518626,483214,517808,119432,155197,161551,173327,178983,177946,189343,652,1860,152,1526,168,2988,326
2,2,10,1,0,2,80,40,4,3,245263,271059,291332,306637,317130,322669,378046,406340,465176,502569,521826,557026,521614,556208,132225,167992,174311,186921,193209,190747,201647,684,848,533,3073,569,2860,685
2,2,10,1,0,2,80,44,4,3,268261,294560,310607,323275,342831,339869,383125,444740,503576,540969,560226,595426,560014,594608,145034,180816,187170,199362,206045,203449,214907,743,1324,911,1453,896,2034,1045
2,2,10,1,0,2,80,48,4,3,286492,321680,335226,347961,368768,365655,417828,483140,541976,579369,598626,633826,598414,633008,157837,193556,199890,212559,219297,215725,227906,779,2253,1335,3954,1464,3386,1636
2,2,10,1,0,2,80,52,4,4,309839,340078,353063,362079,380476,377801,380829,521540,580376,624169,637026,678626,636814,677808,170642,206360,214316,225402,231988,230041,237539,755,3389,134,4557,341,3155,493
2,2,10,1,0,2,80,56,4,4,326934,348068,378312,378368,390132,393329,397229,559940,618776,662569,675426,717026,675214,716208,183440,219192,227176,236514,245266,242002,250512,791,1148,551,2326,573,3553,696
2,2,10,1,0,2,80,60,4,4,346324,380627,397887,396908,418771,421988,419700,598340,657176,700969,713826,755426,713614,754608,196228,231976,239947,250136,259380,255510,263158,807,3021,1080,1826,1129,4174,1312
2,2,10,1,0,2,80,64,4,4,366162,388410,414813,431106,448518,440994,434393,636740,695576,739369,752226,793826,752014,793008,209029,244819,252773,264061,272886,267497,276041,866,3077,1349,5376,1461,5635,1601
2,2,10,1,0,2,80,68,4,5,389098,419479,435282,440685,458195,458375,450738,675140,733976,784169,790626,838626,790414,837808,221828,257599,267141,277177,286879,280309,290460,856,4672,150,6634,325,5185,485
2,2,10,1,0,2,80,72,4,5,407077,427729,446410,463643,464604,477916,469261,713540,772376,822569,829026,877026,828814,876208,234648,270411,279937,289687,298083,293326,303190,894,1329,573,4694,580,4231,778
2,2,10,1,0,2,80,76,4,5,430467,452357,478811,486443,509242,501093,497421,751940,810776,860969,867426,915426,867214,914608,247433,283168,292730,301524,312814,305123,316442,933,2327,1079,3774,1188,5309,1638
2,2,10,1,0,2,80,80,4,5,451886,470144,493756,494205,510067,516797,510049,790340,849176,899369,905826,953826,905614,953008,260243,295930,305539,314115,322897,319323,328660,956,1966,1434,2124,1467,3928,1653
2,2,10,1,0,2,80,84,4,6,473305,490489,512630,522041,529670,540203,532656,828740,887576,944169,944226,998626,944014,997808,273030,308766,319904,327597,339088,331544,343171,946,4393,153,6225,303,6776,499
2,2,10,1,0,2,80,88,4,6,492166,513156,531714,539201,551077,551028,547238,867140,925976,982569,982626,1037026,982414,1036208,285851,321554,332767,339026,352242,344923,355924,1018,2582,639,8114,894,6195,927
2,2,10,1,0,2,80,92,4,6,511073,525200,550388,562591,573522,579551,569209,905540,964376,1020969,1021026,1075426,1020814,1074608,298627,334368,345493,353051,364879,356992,368611,1014,1528,1028,6767,1344,6710,1520
2,2,10,1,0,2,80,96,4,6,529903,537794,578986,580570,586343,597000,595837,943940,1002776,1059369,1059426,1113826,1059214,1113008,311443,347200,358322,364538,376843,370075,381573,1050,2466,1439,6722,1523,4695,1679
2,2,10,1,0,2,80,100,4,7,551215,570964,597713,597603,618917,609736,613795,982340,1041176,1104169,1097826,1158626,1097614,1157808,324224,359989,372692,377721,392627,383364,395691,1039,3872,164,9483,239,6586,421
2,2,10,1,0,2,80,104,4,7,571236,593567,625774,648850,647671,633517,632892,1020740,1079576,1142569,1136226,1197026,1136014,1196208,337028,372763,385539,393217,405337,396479,408258,1041,2432,770,6954,615,5600,792
2,2,10,1,0,2,80,108,4,7,603014,622674,643744,636786,662044,656919,653715,1059140,1117976,1180969,1174626,1235426,1174414,1234608,349848,385629,398403,405362,417531,408310,421264,1110,5202,962,4207,1038,4447,1250
2,2,10,1,0,2,80,112,4,7,616944,621662,668310,665531,686513,686587,681598,1097540,1156376,1219369,1213026,1273826,1212814,1273008,362628,398370,411110,416634,431335,421984,433995,1172,1626,1415,5205,1493,7271,1967
