repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,2,10,1,0,2,80,4,8,1,26995,52226,58563,68811,73406,66194,74134,67586,137203,173880,177801,214601,186870,225197,1177,1508,1432,1496,1542,1585,1578,1005,1247,1180,1246,1300,1325,1274
2,2,10,1,0,2,80,8,8,1,37763,62871,69899,78398,82089,84932,87410,93186,162803,199480,203401,240201,212470,250797,2072,2358,2295,2430,2456,2502,2482,1630,1881,1843,1939,1965,1996,1976
2,2,10,1,0,2,80,12,8,2,54282,78653,82107,88605,94453,97558,101723,118786,188403,233080,229001,273801,238070,284397,2756,3180,3236,3270,3218,3391,3446,2195,2544,2585,2619,2607,2755,2766
2,2,10,1,0,2,80,16,8,2,70147,98680,101274,109065,113760,120088,122529,144386,214003,258680,254601,299401,263670,309997,3687,4076,4081,4241,4229,4396,4478,2632,3057,3046,3175,3155,3236,3263
2,2,10,1,0,2,80,20,8,3,88082,119850,125717,129849,134307,140570,142635,169986,239603,292280,280201,333001,289270,343597,5822,6177,6230,6255,6301,6546,6582,3215,3712,3701,3743,3744,3921,3912
2,2,10,1,0,2,80,24,8,3,107627,141847,144023,153036,154886,159196,166410,195586,265203,317880,305801,358601,314870,369197,5952,6490,6443,6559,6493,6750,6730,3938,4378,4327,4405,4364,4546,4595
2,2,10,1,0,2,80,28,8,4,125129,158434,170243,170518,177121,178271,183548,221186,290803,351480,331401,392201,340470,402797,7842,8627,8508,8812,8769,9088,8812,4281,4915,4929,5008,4932,5147,5020
2,2,10,1,0,2,80,32,8,4,151352,180833,192628,190251,195754,198793,204067,246786,316404,377080,357001,417801,366070,428397,9023,10047,9532,9857,9747,10296,10214,5175,5619,5690,5784,5679,5867,5864
2,2,10,1,0,2,80,36,8,5,173172,203052,211259,213817,217879,217830,222868,272386,342003,410680,382601,451401,391670,461997,11678,12335,12383,12536,12642,12881,12658,5513,6191,6173,6297,6181,6363,6294
2,2,10,1,0,2,80,40,8,5,197906,220610,230316,230941,233374,239823,241448,297986,367603,436280,408201,477001,417270,487597,13462,14045,13777,14347,13618,14533,13869,6358,6932,6925,7098,6914,7179,7012
2,2,10,1,0,2,80,44,8,6,215156,235305,246029,248581,247173,254048,254707,323586,393203,469880,433801,510601,442870,521197,15803,16633,15744,16716,15525,17079,16249,6989,7209,6990,7418,7011,7522,6997
2,2,10,1,0,2,80,48,8,6,238325,261490,267015,274653,266793,280997,275482,349186,418803,495480,459401,536201,468470,546797,17612,18030,17066,18111,17091,18383,17977,7789,8349,8210,8417,8179,8414,8292
2,2,10,1,0,2,80,52,8,7,249954,277097,280933,287715,284409,296233,290956,374786,444404,529080,485001,569801,494070,580397,19207,20233,18992,20011,18913,20268,19059,8313,9043,8808,8949,8698,9100,8891
2,2,10,1,0,2,80,56,8,7,268062,293978,297970,305601,308071,312891,316545,400386,470003,554680,510601,595401,519670,605997,21279,22013,21010,22261,21085,22436,21467,9024,9327,8990,9493,9345,9545,9465
