repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,2,10,1,0,2,800,4,8,1,183982,348028,390202,509903,535193,525921,551021,640963,1306031,1521974,1795491,1987320,1985361,2177109,18421,19888,19656,20074,19928,20583,20362,6597,7725,7625,7830,7841,8016,7988
2,2,10,1,0,2,800,8,8,1,326527,457595,496904,588470,614741,636056,659117,960963,1626031,1841974,2115491,2307320,2305361,2497109,38455,41866,41762,42140,42340,42837,42652,12743,13802,14064,14670,14763,14832,14954
2,2,10,1,0,2,800,12,8,2,492701,604554,649042,743971,758261,803984,822372,1280963,1946031,2225974,2435491,2691320,2625361,2881109,50676,54669,55277,59215,59171,59323,55443,21624,24753,25019,22998,22925,23360,25624
2,2,10,1,0,2,800,16,8,2,645805,767764,807645,915866,957890,985190,1007886,1600963,2266031,2545974,2755491,3011320,2945362,3201109,68406,75251,75511,76100,76440,76898,77122,28427,31678,31806,32604,32445,33113,32727
2,2,10,1,0,2,800,20,8,3,852979,977635,1043050,1135536,1166447,1197689,1214472,1920963,2586031,2929974,3075491,3395320,3265361,3585109,88283,96455,96490,96615,95302,96417,96927,39341,44323,44261,45239,45162,45410,44811
2,2,10,1,0,2,800,24,8,3,996867,1142920,1196947,1280665,1304592,1320455,1349877,2240963,2906031,3249974,3395491,3715320,3585361,3905109,98061,105106,110814,110157,111391,112906,113741,49676,59165,52182,52960,53915,53725,54823
2,2,10,1,0,2,800,28,8,4,1189146,1345136,1393327,1474643,1499224,1530716,1541985,2560963,3226031,3633974,3715491,4099320,3905361,4289109,119087,128629,130980,129389,129702,130255,130722,60288,60747,62255,63031,63262,63369,63811
2,2,10,1,0,2,800,32,8,4,1373906,1549018,1584494,1696495,1738764,1726369,1781142,2880963,3546032,3953974,4035491,4419320,4225361,4609109,135611,146132,148497,137092,144682,146298,145518,71000,70420,71663,83051,74222,73683,74325
2,2,10,1,0,2,800,36,8,5,1606530,1745198,1791851,1907268,1891133,1978448,1914043,3200963,3866032,4337974,4355491,4803320,4545361,4993109,154289,163730,164683,154275,158107,162893,159495,81343,81586,82924,95983,83366,85083,83230
2,2,10,1,0,2,800,40,8,5,1851216,1952511,1986289,2115476,2079860,2169445,2106699,3520963,4186032,4657975,4675491,5123320,4865362,5313109,171382,168389,179340,180596,176788,182338,177468,93805,104465,92709,94844,93165,95710,93685
