repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,2,10,1,0,2,20,4,8,1,17263,35450,39824,43392,49402,47938,51255,18096,37058,39940,48177,50577,53276,55944,4598,14946,14866,19600,19996,23133,22720,81,150,152,161,164,205,183
2,2,10,1,0,2,20,8,8,1,24109,47015,47971,49340,53309,56967,59769,29296,48258,51140,59377,61777,64476,67144,7810,18149,18074,22802,23100,26405,25881,105,254,258,271,288,337,346
2,2,10,1,0,2,20,12,8,2,31604,50629,57228,53472,58520,61016,65026,40496,59458,63940,70577,74577,75676,79944,11009,21357,22609,25940,26866,29502,30340,109,263,163,342,182,321,196
2,2,10,1,0,2,20,16,8,2,40226,55866,67311,58739,69414,67306,76112,51696,70658,75140,81777,85777,86876,91144,14248,24529,25750,29140,30167,32671,33524,174,343,344,489,356,464,387
2,2,10,1,0,2,20,20,8,3,48645,59200,74574,66663,67117,70227,71642,62896,81858,87940,92977,98577,98076,103944,17396,27749,28856,32300,33562,35898,36096,222,659,255,609,268,741,297
2,2,10,1,0,2,20,24,8,3,53489,69330,79368,73684,78603,77008,81992,74096,93058,99140,104177,109777,109276,115144,20604,30954,32089,35589,37344,39102,39407,187,458,381,596,464,766,454
2,2,10,1,0,2,20,28,8,4,66188,73953,74586,83440,84179,90452,87309,85296,104258,111940,115377,122577,120476,127944,23796,34163,35257,39794,41602,42869,43530,377,606,276,977,340,875,340
2,2,10,1,0,2,20,32,8,4,70749,84454,86212,94926,94618,97297,105090,96496,115458,123140,126577,133777,131676,139144,27055,37365,38470,43358,45185,46505,46699,261,695,508,969,503,957,543
2,2,10,1,0,2,20,36,8,5,86091,96530,95821,103441,99764,108897,102534,107696,126658,135940,137777,146577,142876,151944,30262,40540,42047,46293,49132,49370,50461,241,624,295,1429,362,1122,361
2,2,10,1,0,2,20,40,8,5,89362,101479,105298,108671,107099,113805,112988,118896,137858,147140,148977,157777,154076,163144,33408,43763,45275,49320,52187,52979,53864,266,527,527,891,531,830,608
2,2,10,1,0,2,20,44,8,6,101385,111282,108994,115694,111614,120602,116692,130096,149058,159940,160177,170577,165276,175944,36595,46953,48855,52658,55409,55414,57421,273,826,326,1116,345,1176,386
