repeats,epochs,batch,output_dims,output_model,tasks,height,width,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,1,0,2,40,4,1,333233,0,0,0,0,1411080,1410121,1199382,0,0,0,0,4613633,5093326,2065,0,0,0,0,7885,7942,1716,0,0,0,0,5697,5649
10,10,100,1,0,2,40,8,1,370382,0,0,0,0,1421391,1452416,1359382,0,0,0,0,4933633,5413326,3122,0,0,0,0,8645,8679,2423,0,0,0,0,6260,6243
10,10,100,1,0,2,40,12,1,508249,0,0,0,0,1590998,1630089,2039382,0,0,0,0,5573633,6053326,5987,0,0,0,0,13253,13079,3073,0,0,0,0,7251,7145
10,10,100,1,0,2,40,16,1,439188,0,0,0,0,1528648,1565215,1639382,0,0,0,0,5213633,5693326,11825,0,0,0,0,18828,18695,3707,0,0,0,0,7822,7786
10,10,100,1,0,2,40,20,1,590030,0,0,0,0,1689091,1726456,2319382,0,0,0,0,5853633,6333326,13835,0,0,0,0,21664,21307,4324,0,0,0,0,8736,8622
10,10,100,1,0,2,40,24,1,520473,0,0,0,0,1731699,1639947,1919382,0,0,0,0,5493633,5973326,9168,0,0,0,0,26213,22363,4906,0,0,0,0,9783,9568
10,10,100,1,0,2,40,28,1,661714,0,0,0,0,1812395,1817588,2599382,0,0,0,0,6133633,6613326,27097,0,0,0,0,39475,38945,5832,0,0,0,0,10651,10457
10,10,100,1,0,2,40,32,1,600214,0,0,0,0,1732940,1725985,2199382,0,0,0,0,5773633,6253326,44637,0,0,0,0,55054,55252,6610,0,0,0,0,11415,11197
10,10,100,1,0,2,40,36,2,752522,0,0,0,0,1943945,1970887,2879382,0,0,0,0,6413633,7053326,60961,0,0,0,0,71910,73177,7382,0,0,0,0,12446,12216
10,10,100,1,0,2,40,40,2,694748,0,0,0,0,2026622,1931674,2479382,0,0,0,0,6053633,6693326,68230,0,0,0,0,78937,80268,8145,0,0,0,0,13561,13160
10,10,100,1,0,2,40,44,2,814418,0,0,0,0,2065098,2242228,3159382,0,0,0,0,6693633,7333326,87893,0,0,0,0,98985,102457,8917,0,0,0,0,14514,14456
10,10,100,1,0,2,40,48,2,780256,0,0,0,0,1979451,2008920,2759382,0,0,0,0,6333633,6973326,103344,0,0,0,0,116347,117866,9259,0,0,0,0,15247,14847
10,10,100,1,0,2,40,52,2,891778,0,0,0,0,2188908,2255941,3439382,0,0,0,0,6973633,7613326,112476,0,0,0,0,122815,125534,10795,0,0,0,0,16656,16590
10,10,100,1,0,2,40,56,2,860886,0,0,0,0,2110439,2141147,3039382,0,0,0,0,6613633,7253326,122291,0,0,0,0,134045,134025,11278,0,0,0,0,17593,17105
10,10,100,1,0,2,40,60,2,969876,0,0,0,0,2311573,2340615,3719382,0,0,0,0,7253633,7893326,144355,0,0,0,0,153363,154669,11931,0,0,0,0,18204,17725
10,10,100,1,0,2,40,64,2,958601,0,0,0,0,2240327,2280583,3319382,0,0,0,0,6893633,7533326,151448,0,0,0,0,164321,165142,13496,0,0,0,0,20407,19796
10,10,100,1,0,2,40,68,3,1079230,0,0,0,0,2441965,2528194,3999382,0,0,0,0,7533633,8333326,171141,0,0,0,0,182835,184191,14150,0,0,0,0,21055,20461
10,10,100,1,0,2,40,72,3,1036034,0,0,0,0,2358290,2443964,3599382,0,0,0,0,7173633,7973326,180838,0,0,0,0,193793,195748,14159,0,0,0,0,21218,20725
10,10,100,1,0,2,40,76,3,1152572,0,0,0,0,2589716,2635414,4279382,0,0,0,0,7813633,8613326,192167,0,0,0,0,204441,207113,15689,0,0,0,0,22784,22012
10,10,100,1,0,2,40,80,3,1140351,0,0,0,0,2498277,2576611,3879382,0,0,0,0,7453633,8253326,201239,0,0,0,0,213867,216418,17839,0,0,0,0,25712,25328
10,10,100,1,0,2,40,84,3,1342779,0,0,0,0,2716673,2776817,4559382,0,0,0,0,8093633,8893326,204013,0,0,0,0,214847,218763,18397,0,0,0,0,25628,25234
10,10,100,1,0,2,40,88,3,1326211,0,0,0,0,2635310,2692751,4159382,0,0,0,0,7733633,8533326,217863,0,0,0,0,233502,236471,18580,0,0,0,0,26715,25921
10,10,100,1,0,2,40,92,3,1347622,0,0,0,0,2997922,3075054,4839382,0,0,0,0,8373633,9173326,224407,0,0,0,0,236929,241855,20581,0,0,0,0,29139,28374
10,10,100,1,0,2,40,96,3,1346066,0,0,0,0,2837813,2861137,4439382,0,0,0,0,8013633,8813326,235296,0,0,0,0,246358,251027,21126,0,0,0,0,29186,28369
10,10,100,1,0,2,40,100,4,1430351,0,0,0,0,2979890,3165800,5119382,0,0,0,0,8653633,9613326,244674,0,0,0,0,256487,258827,22801,0,0,0,0,30709,29833
10,10,100,1,0,2,40,104,4,1385116,0,0,0,0,2867788,2986292,4719382,0,0,0,0,8293633,9253326,254501,0,0,0,0,268431,272352,22040,0,0,0,0,30020,29124
10,10,100,1,0,2,40,108,4,1529576,0,0,0,0,3100293,3294223,5399382,0,0,0,0,8933633,9893326,262834,0,0,0,0,277348,281934,24352,0,0,0,0,32846,32010
10,10,100,1,0,2,40,112,4,1519874,0,0,0,0,3015262,3162907,4999382,0,0,0,0,8573633,9533326,274873,0,0,0,0,285863,293520,24702,0,0,0,0,33918,33558
10,10,100,1,0,2,40,116,4,1613094,0,0,0,0,3235093,3396240,5679382,0,0,0,0,9213634,10173326,280961,0,0,0,0,297128,300615,27329,0,0,0,0,37251,36289
10,10,100,1,0,2,40,120,4,1605750,0,0,0,0,3154098,3272260,5279382,0,0,0,0,8853633,9813326,292830,0,0,0,0,306268,313585,27225,0,0,0,0,37973,36962
10,10,100,1,0,2,40,124,4,1696451,0,0,0,0,3426111,3451867,5959382,0,0,0,0,9493633,10453326,297760,0,0,0,0,318201,321658,30056,0,0,0,0,41243,40202
10,10,100,1,0,2,40,128,4,1691078,0,0,0,0,3281012,3379897,5559382,0,0,0,0,9133633,10093326,312357,0,0,0,0,324461,332427,29242,0,0,0,0,40096,39043
10,10,100,1,0,2,40,132,5,1833146,0,0,0,0,3662372,3876259,6239382,0,0,0,0,9773633,10893326,319949,0,0,0,0,338350,331642,31628,0,0,0,0,43503,42055
10,10,100,1,0,2,40,136,5,1789030,0,0,0,0,3616757,3651261,5839382,0,0,0,0,9413633,10533326,339753,0,0,0,0,357745,356366,30752,0,0,0,0,42625,41424
10,10,100,1,0,2,40,140,5,1898783,0,0,0,0,3628787,3796122,6519382,0,0,0,0,10053633,11173326,348061,0,0,0,0,374304,369570,33354,0,0,0,0,45530,43338
10,10,100,1,0,2,40,144,5,1885894,0,0,0,0,3543977,3716043,6119382,0,0,0,0,9693633,10813326,351298,0,0,0,0,366120,366345,34760,0,0,0,0,46140,44614
10,10,100,1,0,2,40,148,5,2012546,0,0,0,0,3757703,3936652,6799382,0,0,0,0,10333633,11453326,364523,0,0,0,0,394853,394456,36509,0,0,0,0,47602,46337
10,10,100,1,0,2,40,152,5,2138579,0,0,0,0,3805986,4138996,6399382,0,0,0,0,9973633,11093326,372699,0,0,0,0,386529,387380,36382,0,0,0,0,46570,45672
10,10,100,1,0,2,40,156,5,2077946,0,0,0,0,3857196,4043332,7079382,0,0,0,0,10613633,11733326,384994,0,0,0,0,418964,415288,38864,0,0,0,0,49770,47445
10,10,100,1,0,2,40,160,5,2072484,0,0,0,0,3804627,3964362,6679382,0,0,0,0,10253633,11373327,389673,0,0,0,0,407468,408140,39616,0,0,0,0,51253,49840
10,10,100,1,0,2,40,164,6,2238214,0,0,0,0,4009103,4306344,7359382,0,0,0,0,10893633,12173326,407956,0,0,0,0,440403,424918,41692,0,0,0,0,53756,52044
10,10,100,1,0,2,40,168,6,2448504,0,0,0,0,4333795,4709739,6959382,0,0,0,0,10533633,11813327,409487,0,0,0,0,427667,420607,42494,0,0,0,0,55532,53789
10,10,100,1,0,2,40,172,6,2264482,0,0,0,0,4131764,4379162,7639382,0,0,0,0,11173633,12453326,423863,0,0,0,0,458524,444792,44786,0,0,0,0,58903,56633
10,10,100,1,0,2,40,176,6,2367462,0,0,0,0,4463885,4651933,7239382,0,0,0,0,10813633,12093326,427425,0,0,0,0,448152,440637,46928,0,0,0,0,61339,59419
10,10,100,1,0,2,40,180,6,2394616,0,0,0,0,4260044,4522091,7919382,0,0,0,0,11453633,12733326,440706,0,0,0,0,480543,466255,46797,0,0,0,0,61051,59002
10,10,100,1,0,2,40,184,6,2307441,0,0,0,0,4175273,4430172,7519382,0,0,0,0,11093634,12373326,444370,0,0,0,0,464386,456304,46697,0,0,0,0,61262,59331
10,10,100,1,0,2,40,188,6,2466963,0,0,0,0,4382815,4672452,8199382,0,0,0,0,11733633,13013327,458128,0,0,0,0,500034,485913,47988,0,0,0,0,63102,61170
10,10,100,1,0,2,40,192,6,2444139,0,0,0,0,4407079,4607130,7799382,0,0,0,0,11373633,12653327,469149,0,0,0,0,492083,484042,48283,0,0,0,0,64197,62336
10,10,100,1,0,2,40,196,7,2548852,0,0,0,0,4773350,4855508,8479382,0,0,0,0,12013633,13453326,479476,0,0,0,0,523063,493515,51140,0,0,0,0,67410,62795
10,10,100,1,0,2,40,200,7,2535371,0,0,0,0,4441913,4752197,8079382,0,0,0,0,11653633,13093326,496874,0,0,0,0,527211,507338,49507,0,0,0,0,61948,58530
10,10,100,1,0,2,40,204,7,2656657,0,0,0,0,4635257,4958046,8759382,0,0,0,0,12293633,13733326,498257,0,0,0,0,543919,517460,54375,0,0,0,0,66656,62596
10,10,100,1,0,2,40,208,7,2625643,0,0,0,0,4554964,4874612,8359382,0,0,0,0,11933633,13373326,517590,0,0,0,0,549957,527579,51330,0,0,0,0,63702,59424
10,10,100,1,0,2,40,212,7,2763490,0,0,0,0,4850500,5133551,9039382,0,0,0,0,12573633,14013326,523600,0,0,0,0,565082,536088,56671,0,0,0,0,70828,67375
10,10,100,1,0,2,40,216,7,2682807,0,0,0,0,4714505,5050573,8639382,0,0,0,0,12213633,13653326,534359,0,0,0,0,570707,549448,54139,0,0,0,0,68771,64816
10,10,100,1,0,2,40,220,7,2797300,0,0,0,0,4916102,5197219,9319382,0,0,0,0,12853633,14293326,534642,0,0,0,0,584344,558962,58474,0,0,0,0,75190,72686
10,10,100,1,0,2,40,224,7,2742058,0,0,0,0,4834116,5131513,8919382,0,0,0,0,12493633,13933327,552750,0,0,0,0,588173,569104,56061,0,0,0,0,73358,70860
10,10,100,1,0,2,40,228,8,2969029,0,0,0,0,5035307,5439170,9599382,0,0,0,0,13133633,14733326,552986,0,0,0,0,604212,565518,60201,0,0,0,0,77835,74357
10,10,100,1,0,2,40,232,8,2887353,0,0,0,0,4959539,5345873,9199382,0,0,0,0,12773633,14373326,573362,0,0,0,0,607697,574956,58664,0,0,0,0,76393,73539
10,10,100,1,0,2,40,236,8,3015842,0,0,0,0,5162507,5576769,9879382,0,0,0,0,13413633,15013326,567704,0,0,0,0,625016,587628,63890,0,0,0,0,81399,78893
10,10,100,1,0,2,40,240,8,3046640,0,0,0,0,5179890,5445579,9479382,0,0,0,0,13053633,14653326,592661,0,0,0,0,631614,599574,72896,0,0,0,0,80978,76399
10,10,100,1,0,2,40,244,8,3174877,0,0,0,0,5310800,5712281,10159382,0,0,0,0,13693633,15293326,589274,0,0,0,0,648164,610255,76276,0,0,0,0,84534,81562
10,10,100,1,0,2,40,248,8,3107749,0,0,0,0,5246245,5582854,9759382,0,0,0,0,13333633,14933326,613120,0,0,0,0,649513,615833,64127,0,0,0,0,80261,75505
10,10,100,1,0,2,40,252,8,3275696,0,0,0,0,5442584,5802497,10439382,0,0,0,0,13973633,15573326,604563,0,0,0,0,667235,631341,82428,0,0,0,0,87727,80970
10,10,100,1,0,2,40,256,8,3193365,0,0,0,0,5489320,5764183,10039382,0,0,0,0,13613633,15213327,632930,0,0,0,0,672248,640103,65843,0,0,0,0,81879,74582
10,10,100,1,0,2,40,260,9,3309512,0,0,0,0,5979879,5919079,10719382,0,0,0,0,14253634,16013326,622676,0,0,0,0,695627,638335,71477,0,0,0,0,88108,80518
10,10,100,1,0,2,40,264,9,3352883,0,0,0,0,5591032,5902830,10319382,0,0,0,0,13893633,15653326,651044,0,0,0,0,692775,648327,78936,0,0,0,0,86246,79297
10,10,100,1,0,2,40,268,9,3417354,0,0,0,0,5785475,6212106,10999382,0,0,0,0,14533633,16293326,641532,0,0,0,0,709637,659161,74109,0,0,0,0,91759,89100
10,10,100,1,0,2,40,272,9,4099137,0,0,0,0,5623356,6044739,10599382,0,0,0,0,14173633,15933327,688827,0,0,0,0,718332,669540,87716,0,0,0,0,93848,89684
10,10,100,1,0,2,40,276,9,4139088,0,0,0,0,5835676,6221177,11279382,0,0,0,0,14813633,16573326,666079,0,0,0,0,723176,673733,85289,0,0,0,0,92825,88260
10,10,100,1,0,2,40,280,9,3562728,0,0,0,0,5762316,6580840,10879382,0,0,0,0,14453633,16213327,687719,0,0,0,0,732042,692093,84653,0,0,0,0,94081,93061
10,10,100,1,0,2,40,284,9,4314180,0,0,0,0,6001155,6357359,11559382,0,0,0,0,15093633,16853326,696370,0,0,0,0,751173,703639,93609,0,0,0,0,103527,96322
10,10,100,1,0,2,40,288,9,3586981,0,0,0,0,5859235,6266572,11159382,0,0,0,0,14733633,16493326,711371,0,0,0,0,750307,712106,75196,0,0,0,0,97396,93064
10,10,100,1,0,2,40,292,10,3888497,0,0,0,0,6129102,6490938,11839382,0,0,0,0,15373633,17293326,702518,0,0,0,0,771015,706713,83323,0,0,0,0,105102,98685
10,10,100,1,0,2,40,296,10,3750384,0,0,0,0,6027883,6768170,11439382,0,0,0,0,15013633,16933326,726331,0,0,0,0,770619,717272,90826,0,0,0,0,98844,98441
10,10,100,1,0,2,40,300,10,3824397,0,0,0,0,6670059,6622068,12119382,0,0,0,0,15653633,17573327,692357,0,0,0,0,757555,687769,93316,0,0,0,0,101077,93930
10,10,100,1,0,2,40,304,10,3787815,0,0,0,0,6180055,6693524,11719382,0,0,0,0,15293633,17213327,720777,0,0,0,0,764016,703087,92898,0,0,0,0,101545,92698
10,10,100,1,0,2,40,308,10,3887521,0,0,0,0,6347300,6819879,12399382,0,0,0,0,15933633,17853326,729545,0,0,0,0,806627,746466,82487,0,0,0,0,98650,92727
10,10,100,1,0,2,40,312,10,4263254,0,0,0,0,6277566,6714092,11999382,0,0,0,0,15573633,17493327,740111,0,0,0,0,784214,726454,98015,0,0,0,0,102439,96844
10,10,100,1,0,2,40,316,10,4605867,0,0,0,0,6882631,6883387,12679382,0,0,0,0,16213633,18133326,761031,0,0,0,0,831018,767149,87664,0,0,0,0,105378,96016
10,10,100,1,0,2,40,320,10,3979854,0,0,0,0,6429065,6861129,12279382,0,0,0,0,15853633,17773327,760757,0,0,0,0,799254,743440,85939,0,0,0,0,107440,101833
10,10,100,1,0,2,40,324,11,4787342,0,0,0,0,6629634,7197230,12959382,0,0,0,0,16493633,18573327,778223,0,0,0,0,847673,772780,90851,0,0,0,0,108699,106053
10,10,100,1,0,2,40,328,11,4437407,0,0,0,0,6538245,6980462,12559382,0,0,0,0,16133633,18213326,778017,0,0,0,0,817618,749764,89988,0,0,0,0,113157,109495
10,10,100,1,0,2,40,332,11,4778960,0,0,0,0,6899720,7145962,13239382,0,0,0,0,16773633,18853327,791516,0,0,0,0,866930,794308,93248,0,0,0,0,116421,109145
10,10,100,1,0,2,40,336,11,4558767,0,0,0,0,6754597,7115260,12839382,0,0,0,0,16413634,18493327,800472,0,0,0,0,840380,766635,110938,0,0,0,0,118633,110557
10,10,100,1,0,2,40,340,11,5039703,0,0,0,0,6882933,7230848,13519382,0,0,0,0,17053634,19133327,815050,0,0,0,0,884517,818415,107690,0,0,0,0,117306,109559
10,10,100,1,0,2,40,344,11,4991743,0,0,0,0,6848944,7213881,13119382,0,0,0,0,16693634,18773326,828833,0,0,0,0,857286,787909,104476,0,0,0,0,130397,121980
10,10,100,1,0,2,40,348,11,5042230,0,0,0,0,7039419,7464094,13799382,0,0,0,0,17333633,19413326,830187,0,0,0,0,911074,837205,100026,0,0,0,0,119526,115973
10,10,100,1,0,2,40,352,11,4281760,0,0,0,0,6959241,7771537,13399382,0,0,0,0,16973633,19053327,831715,0,0,0,0,877629,807091,95747,0,0,0,0,119001,118006
10,10,100,1,0,2,40,356,12,4660050,0,0,0,0,7186650,7628103,14079382,0,0,0,0,17613633,19853327,834814,0,0,0,0,932728,840995,111082,0,0,0,0,119376,110534
10,10,100,1,0,2,40,360,12,4504311,0,0,0,0,7051673,7574934,13679382,0,0,0,0,17253633,19493326,853191,0,0,0,0,903066,815574,111653,0,0,0,0,118461,111273
10,10,100,1,0,2,40,364,12,4566527,0,0,0,0,7240518,7772380,14359382,0,0,0,0,17893633,20133327,838276,0,0,0,0,934553,835700,100823,0,0,0,0,118702,112806
10,10,100,1,0,2,40,368,12,4609872,0,0,0,0,7206467,7752980,13959382,0,0,0,0,17533633,19773327,900069,0,0,0,0,961083,877871,111268,0,0,0,0,120130,113383
10,10,100,1,0,2,40,372,12,4710022,0,0,0,0,7417178,8021389,14639382,0,0,0,0,18173634,20413327,848565,0,0,0,0,932708,838408,116738,0,0,0,0,125456,123815
10,10,100,1,0,2,40,376,12,4654173,0,0,0,0,7349587,7857683,14239382,0,0,0,0,17813634,20053327,916192,0,0,0,0,975842,895059,114156,0,0,0,0,125613,123864
10,10,100,1,0,2,40,380,12,5138774,0,0,0,0,7534268,7950988,14919382,0,0,0,0,18453633,20693326,893045,0,0,0,0,989452,905872,110962,0,0,0,0,131214,127162
10,10,100,1,0,2,40,384,12,4677215,0,0,0,0,7465751,7938257,14519382,0,0,0,0,18093634,20333327,909601,0,0,0,0,953626,874776,101007,0,0,0,0,135839,130220
