repeats,epochs,batch,output_dims,output_model,tasks,height,width,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,1,0,2,400,4,1,3026017,8599352,8466917,11907203,11704798,12810144,12816844,11687882,26307837,31708361,37760589,42560589,42641882,47441827,118269,116164,115475,121288,120485,133269,132342,11431,11744,11624,11952,11822,15589,15437
10,10,100,1,0,2,400,8,1,3396084,8466614,8884561,11946482,13125987,12895075,13251731,13287882,29507837,34908361,40960589,45760589,45841882,50641827,264326,266287,259888,269194,266478,276596,274270,22547,23574,23395,23457,23521,27537,27572
10,10,100,1,0,2,400,12,1,4761307,10736248,10748558,14400402,15227536,14543030,14910817,20087882,35907837,41308360,47360590,52160589,52241882,57041827,368977,361516,360763,365735,366215,374438,375232,36918,38605,38473,39111,38706,43338,43291
10,10,100,1,0,2,400,16,1,4142754,9759596,9044006,12617246,13620171,13721377,14112509,16087882,32307837,37708361,43760589,48560590,48641882,53441827,487224,504635,501045,507771,505781,516960,515713,47644,54325,54120,54889,54608,59547,59450
10,10,100,1,0,2,400,20,1,5516567,11991334,11438545,14847222,14104518,15374087,15764509,22887882,38707837,44108361,50160590,54960589,55041882,59841827,573233,574102,572084,578357,576917,586968,585934,64269,71337,71149,71774,71023,76746,76350
10,10,100,1,0,2,400,24,1,4925425,10966997,10093010,12909405,14448463,14626518,14998740,18887882,35107837,40508361,46560589,51360590,51441883,56241827,682511,724530,712085,722886,722695,735560,735257,74604,87163,86343,88105,87877,93065,92916
10,10,100,1,0,2,400,28,1,6282949,13281619,12324624,15340919,15273250,16655894,16656578,25687882,41507837,46908361,52960590,57760589,57841883,62641827,765000,783141,779317,784160,783527,797293,796445,91146,105882,105041,106395,106294,111419,110813
10,10,100,1,0,2,400,32,1,5732080,12326393,10896818,13801144,15385889,15898268,15904313,21687882,37907837,43308361,49360589,54160590,54241883,59041827,879368,934046,928009,937315,933717,961210,957208,101070,121425,120928,123238,122582,127991,128055
10,10,100,1,0,2,400,36,2,7140850,14489262,13203810,15842626,16242852,17955729,18232168,28487882,44307837,51308361,55760590,62160590,60641883,67041827,991779,1041928,1041107,1043806,1055736,1060627,1069861,117089,138651,137883,139698,139356,144765,145265
10,10,100,1,0,2,400,40,2,6681025,13401575,11777326,14421236,16334219,17042033,17364293,24487882,40707837,47708361,52160589,58560590,57041883,63441827,1073063,1141704,1132209,1142046,1146691,1154278,1162818,128769,149030,145339,152204,154585,160681,159869
10,10,100,1,0,2,400,44,2,7963347,15871731,14171206,16376603,17056290,19233766,19550396,31287882,47107837,54108361,58560590,64960590,63441883,69841827,1182697,1246870,1251659,1245820,1260222,1269729,1281140,147717,174846,174027,177641,176836,183156,182510
10,10,100,1,0,2,400,48,2,7713448,14896148,13386550,15127176,17356103,18531523,18840249,27287882,43507837,50508361,54960590,61360590,59841883,66241827,1227976,1286833,1280808,1287990,1294680,1303824,1301647,164809,195992,196064,200120,201002,206578,205639
10,10,100,1,0,2,400,52,2,8896095,17157021,14995770,17177625,18025502,20582846,20848037,34087882,49907837,56908361,61360590,67760590,66241883,72641827,1366913,1456423,1458349,1456366,1468479,1476058,1489832,179690,218861,218122,221385,221211,227574,227491
10,10,100,1,0,2,400,56,2,8701378,16229004,13593725,16411180,18403097,19849610,20100865,30087882,46307837,53308361,57760590,64160590,62641883,69041827,1414147,1490094,1479472,1485678,1485943,1498826,1497162,200001,236068,230170,238754,241744,249033,248851
10,10,100,1,0,2,400,60,2,9805247,18425330,15995203,17717876,18920323,21886934,22202053,36887882,52707837,59708361,64160590,70560590,69041883,75441827,1553689,1676426,1671931,1658448,1667802,1682991,1694437,217058,254921,248293,266471,259526,269776,270691
10,10,100,1,0,2,400,64,2,9815848,17669633,14980555,17230305,19562234,21275540,21692427,32887882,49107837,56108361,60560590,66960590,65441883,71841827,1600950,1699219,1685270,1684379,1696173,1715766,1711318,248804,304370,301953,307145,313488,321129,319948
10,10,100,1,0,2,400,68,3,10966275,19939018,17420199,18406726,20660287,23395243,23951310,39687882,55507838,64108361,66960590,74960590,71841883,79841827,1727100,1879852,1877506,1856178,1897055,1891630,1905934,281503,351590,343687,345605,349486,353036,352378
10,10,100,1,0,2,400,72,3,10936494,19231494,16045543,17764202,20768132,22688655,23179083,35687882,51907837,60508361,63360590,71360590,68241883,76241827,1840787,1998274,1982448,1971314,2000728,2012778,2023145,295309,369178,357011,366903,369809,383240,383101
10,10,100,1,0,2,400,76,3,12197497,21433675,18327875,19230769,21440531,24622821,25164165,42487882,58307837,66908361,69760590,77760590,74641883,82641828,1912993,2080631,2097891,2067985,2108331,2097245,2126850,332161,388205,372516,384000,390922,415975,412698
10,10,100,1,0,2,400,80,3,12346843,20609362,17446980,19042191,22002637,24289118,24779895,38487882,54707837,63308361,66160590,74160590,71041883,79041828,1962491,2092073,2093245,2078005,2092425,2108818,2114816,388045,469450,453503,465462,471655,492324,489471
10,10,100,1,0,2,400,84,3,13665183,22918791,19732071,20019365,22616186,26471383,27053275,45287882,61107837,69708361,72560590,80560590,77441883,85441828,2024650,2186800,2210035,2169406,2203052,2201686,2235909,425828,539400,527969,528745,536019,552154,558701
10,10,100,1,0,2,400,88,3,14114999,22270986,18729474,19966229,23482314,26028995,26345673,41287883,57507837,66108361,68960590,76960590,73841883,81841828,2193557,2398831,2377730,2356111,2397820,2420645,2437246,478431,604594,595839,600467,612755,627746,621131
10,10,100,1,0,2,400,92,3,15370575,24814625,21212138,21593325,24086396,28899536,28621067,48087883,63907838,72508361,75360590,83360590,80241883,88241828,2187442,2392365,2420080,2377309,2414842,2417702,2454298,527649,666885,621646,632732,642724,672847,669706
10,10,100,1,0,2,400,96,3,15590488,23866127,19857603,20882485,24979485,28356205,27970946,44087883,60307837,68908361,71760590,79760590,76641883,84641828,2370710,2615817,2597801,2578418,2601921,2645625,2648178,562619,673488,652529,663451,687009,704298,714754
10,10,100,1,0,2,400,100,4,17025543,26385681,22700112,22908499,25419461,30023165,30190273,50887883,66707838,76908361,78160590,87760590,83041883,92641828,2429886,2705956,2687206,2662862,2691701,2727478,2725236,620448,803391,761372,783494,789839,829923,813189
10,10,100,1,0,2,400,104,4,17138145,25593587,21408574,22316529,26028831,29412092,29537349,46887883,63107838,73308362,74560590,84160590,79441883,89041828,2506005,2701889,2710743,2664416,2712390,2720511,2745730,683960,876022,831908,852581,871219,908039,897954
10,10,100,1,0,2,400,108,4,18659665,28764388,24099845,24514109,26824890,31764234,31870615,53687883,69507838,79708362,80960590,90560590,85841884,95441828,2566241,2904491,2905337,2872006,2894129,2936555,2943287,736973,951297,921774,928324,936487,987691,973827
10,10,100,1,0,2,400,112,4,18881494,26888786,22637690,23159537,27298722,31062292,31199996,49687883,65907838,76108362,77360590,86960590,82241884,91841828,2681021,2938579,2952419,2902633,2948173,2954328,2983954,812295,956708,927748,939483,967149,1000147,1000456
10,10,100,1,0,2,400,116,4,20422502,29901556,25549319,25906224,28072135,33500283,33395625,56487883,72307838,82508362,83760590,93360590,88641884,98241828,2768777,3116026,3139868,3077053,3111494,3146194,3160322,854998,1052326,987823,1024424,1028868,1106768,1077733
10,10,100,1,0,2,400,120,4,20648967,29210909,24471586,25193630,28809995,33541407,32888925,52487883,68707838,78908362,80160590,89760590,85041884,94641828,2861722,3105644,3114282,3061180,3114995,3138768,3171795,941152,1194731,1166290,1155515,1205862,1232389,1236836
