repeats,epochs,batch,output_dims,output_model,tasks,height,width,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,1,0,2,100,4,1,784586,0,0,0,0,2687766,2893497,2949522,0,0,0,0,10953621,12153466,3627,0,0,0,0,9384,9630,3075,0,0,0,0,6761,6677
10,10,100,1,0,2,100,8,1,907661,0,0,0,0,2980012,3149147,3352882,0,0,0,0,11756981,12956826,11198,0,0,0,0,20760,21445,4650,0,0,0,0,9095,8929
10,10,100,1,0,2,100,12,1,1275218,0,0,0,0,3493284,3617100,5052952,0,0,0,0,13357051,14556896,30469,0,0,0,0,45930,45829,6318,0,0,0,0,11050,10888
10,10,100,1,0,2,100,16,1,1114045,0,0,0,0,3235424,3400506,4052952,0,0,0,0,12457051,13656896,81789,0,0,0,0,96146,94411,8330,0,0,0,0,13271,13236
10,10,100,1,0,2,100,20,1,1403819,0,0,0,0,3615792,3734525,5749522,0,0,0,0,14053621,15253466,127697,0,0,0,0,134211,135471,10773,0,0,0,0,15677,15331
10,10,100,1,0,2,100,24,1,1322540,0,0,0,0,3384673,3542992,4752882,0,0,0,0,13156981,14356827,161192,0,0,0,0,172151,171014,12236,0,0,0,0,18000,17910
10,10,100,1,0,2,100,28,1,1591176,0,0,0,0,3709975,3864397,6452952,0,0,0,0,14757051,15956896,185510,0,0,0,0,198172,199991,14906,0,0,0,0,20623,20078
10,10,100,1,0,2,100,32,1,1473502,0,0,0,0,3503291,3689762,5452952,0,0,0,0,13857051,15056896,212829,0,0,0,0,229006,226345,15625,0,0,0,0,21372,21701
10,10,100,1,0,2,100,36,2,1801740,0,0,0,0,3865155,4068069,7149522,0,0,0,0,15453621,17053466,241502,0,0,0,0,256878,259667,19512,0,0,0,0,25956,25758
10,10,100,1,0,2,100,40,2,1687775,0,0,0,0,3665695,3856197,6152882,0,0,0,0,14556982,16156826,259175,0,0,0,0,274242,280224,21180,0,0,0,0,28322,27486
10,10,100,1,0,2,100,44,2,2038601,0,0,0,0,4023768,4220754,7852952,0,0,0,0,16157052,17756896,300949,0,0,0,0,322039,323112,23385,0,0,0,0,31113,31403
10,10,100,1,0,2,100,48,2,1936729,0,0,0,0,3872263,4060438,6852952,0,0,0,0,15257051,16856896,314396,0,0,0,0,336862,337864,26577,0,0,0,0,34404,34712
10,10,100,1,0,2,100,52,2,2239992,0,0,0,0,4194980,4392249,8549522,0,0,0,0,16853621,18453466,340946,0,0,0,0,367790,369766,28951,0,0,0,0,36468,36967
10,10,100,1,0,2,100,56,2,2138473,0,0,0,0,4004181,4221818,7552882,0,0,0,0,15956981,17556826,362078,0,0,0,0,380853,389487,31680,0,0,0,0,41436,40737
10,10,100,1,0,2,100,60,2,2421757,0,0,0,0,4301989,4537437,9252952,0,0,0,0,17557051,19156897,386809,0,0,0,0,415980,423521,33072,0,0,0,0,40200,40103
10,10,100,1,0,2,100,64,2,2367978,0,0,0,0,4183787,4405753,8252952,0,0,0,0,16657051,18256896,415612,0,0,0,0,442019,441352,34293,0,0,0,0,42818,43330
10,10,100,1,0,2,100,68,3,2676515,0,0,0,0,4549959,4764474,9949522,0,0,0,0,18253621,20253466,424653,0,0,0,0,461937,457929,42429,0,0,0,0,51606,51884
10,10,100,1,0,2,100,72,3,2634064,0,0,0,0,4409820,4631666,8952882,0,0,0,0,17356981,19356826,462552,0,0,0,0,499373,502835,43472,0,0,0,0,53532,52888
10,10,100,1,0,2,100,76,3,2924390,0,0,0,0,4746790,4953518,10652952,0,0,0,0,18957051,20956896,467817,0,0,0,0,514381,520117,50648,0,0,0,0,62311,61473
10,10,100,1,0,2,100,80,3,2856872,0,0,0,0,4564814,4805385,9652952,0,0,0,0,18057051,20056897,507992,0,0,0,0,532056,546642,49769,0,0,0,0,57710,55000
10,10,100,1,0,2,100,84,3,3140113,0,0,0,0,4916212,5125734,11349522,0,0,0,0,19653621,21653466,524717,0,0,0,0,568392,574430,51618,0,0,0,0,61157,60127
10,10,100,1,0,2,100,88,3,3143045,0,0,0,0,4791788,5010889,10352882,0,0,0,0,18756981,20756826,580097,0,0,0,0,623778,609774,54090,0,0,0,0,66566,68261
10,10,100,1,0,2,100,92,3,3489140,0,0,0,0,5163968,5344472,12052952,0,0,0,0,20357051,22356896,578737,0,0,0,0,647527,645489,63645,0,0,0,0,69996,70317
10,10,100,1,0,2,100,96,3,3349988,0,0,0,0,4997174,5241586,11052952,0,0,0,0,19457051,21456896,625427,0,0,0,0,675030,670792,59964,0,0,0,0,72874,73154
10,10,100,1,0,2,100,100,4,3722708,0,0,0,0,5363513,5467073,12749522,0,0,0,0,21053621,23453466,630785,0,0,0,0,701768,698261,65622,0,0,0,0,74810,73152
10,10,100,1,0,2,100,104,4,3646821,0,0,0,0,5275218,5373489,11752882,0,0,0,0,20156981,22556826,667825,0,0,0,0,724827,720738,72649,0,0,0,0,78270,75519
10,10,100,1,0,2,100,108,4,3929129,0,0,0,0,5558316,5671568,13452952,0,0,0,0,21757051,24156896,677312,0,0,0,0,743935,752088,70644,0,0,0,0,85321,82359
10,10,100,1,0,2,100,112,4,3867836,0,0,0,0,5446783,5573891,12452952,0,0,0,0,20857051,23256897,729246,0,0,0,0,776237,768824,71595,0,0,0,0,85731,86337
10,10,100,1,0,2,100,116,4,4252292,0,0,0,0,5811692,5865934,14149522,0,0,0,0,22453621,24853466,722167,0,0,0,0,791607,784342,82495,0,0,0,0,92404,90827
10,10,100,1,0,2,100,120,4,4132700,0,0,0,0,5694644,5754856,13152882,0,0,0,0,21556981,23956826,777470,0,0,0,0,828496,807573,79638,0,0,0,0,92175,91079
10,10,100,1,0,2,100,124,4,4444005,0,0,0,0,5997038,6075324,14852952,0,0,0,0,23157051,25556896,778349,0,0,0,0,854373,857077,81750,0,0,0,0,91257,87226
10,10,100,1,0,2,100,128,4,4408180,0,0,0,0,5997657,6010976,13852952,0,0,0,0,22257051,24656896,817099,0,0,0,0,869969,877267,82865,0,0,0,0,102134,96811
10,10,100,1,0,2,100,132,5,4690841,0,0,0,0,6210900,6270035,15549522,0,0,0,0,23853622,26653466,806357,0,0,0,0,880938,881454,92760,0,0,0,0,111419,104635
10,10,100,1,0,2,100,136,5,4644144,0,0,0,0,6149330,6163023,14552882,0,0,0,0,22956981,25756826,856926,0,0,0,0,928774,919793,91078,0,0,0,0,107971,103366
10,10,100,1,0,2,100,140,5,4967785,0,0,0,0,6483204,6485099,16252952,0,0,0,0,24557051,27356897,873809,0,0,0,0,962213,948058,94559,0,0,0,0,109127,105729
10,10,100,1,0,2,100,144,5,4854203,0,0,0,0,6309653,6368257,15252952,0,0,0,0,23657051,26456896,919586,0,0,0,0,977775,974418,93625,0,0,0,0,102511,98174
10,10,100,1,0,2,100,148,5,5214460,0,0,0,0,6712420,6683885,16949522,0,0,0,0,25253621,28053466,914074,0,0,0,0,994317,996793,100955,0,0,0,0,119861,114155
10,10,100,1,0,2,100,152,5,5154899,0,0,0,0,6652964,6576842,15952882,0,0,0,0,24356981,27156827,955815,0,0,0,0,1007979,1002865,103697,0,0,0,0,124998,118225
10,10,100,1,0,2,100,156,5,5451259,0,0,0,0,6908783,6892655,17652952,0,0,0,0,25957051,28756896,977064,0,0,0,0,1053959,1039138,103607,0,0,0,0,122424,118977
10,10,100,1,0,2,100,160,5,5343863,0,0,0,0,6840904,6799216,16652952,0,0,0,0,25057051,27856897,1032572,0,0,0,0,1075197,1080099,106144,0,0,0,0,125523,117366
10,10,100,1,0,2,100,164,6,5693244,0,0,0,0,7060116,7079568,18349522,0,0,0,0,26653621,29853467,1006738,0,0,0,0,1106739,1093490,112568,0,0,0,0,120045,115441
10,10,100,1,0,2,100,168,6,5600493,0,0,0,0,7086171,7431777,17352882,0,0,0,0,25756981,28956826,1079031,0,0,0,0,1133471,1102418,112027,0,0,0,0,132491,131882
10,10,100,1,0,2,100,172,6,5952695,0,0,0,0,7526794,7318536,19052952,0,0,0,0,27357052,30556897,1090018,0,0,0,0,1148349,1112167,118097,0,0,0,0,141194,131859
10,10,100,1,0,2,100,176,6,5861103,0,0,0,0,7315132,7170772,18052952,0,0,0,0,26457052,29656896,1105448,0,0,0,0,1172711,1160434,121725,0,0,0,0,144808,134958
10,10,100,1,0,2,100,180,6,6322026,0,0,0,0,7826579,7556964,19749522,0,0,0,0,28053622,31253466,1150832,0,0,0,0,1204624,1177310,133604,0,0,0,0,145581,135183
10,10,100,1,0,2,100,184,6,6003809,0,0,0,0,7400062,7382972,18752882,0,0,0,0,27156982,30356826,1143531,0,0,0,0,1191784,1173302,121222,0,0,0,0,130943,126165
10,10,100,1,0,2,100,188,6,6473777,0,0,0,0,7915320,7920978,20452952,0,0,0,0,28757052,31956896,1160841,0,0,0,0,1261033,1248308,129364,0,0,0,0,148754,140149
10,10,100,1,0,2,100,192,6,6352827,0,0,0,0,7815285,7590645,19452952,0,0,0,0,27857051,31056897,1218962,0,0,0,0,1271740,1261695,126195,0,0,0,0,151746,141236
10,10,100,1,0,2,100,196,7,6801569,0,0,0,0,8153739,7867311,21149522,0,0,0,0,29453621,33053467,1194352,0,0,0,0,1296231,1273371,151205,0,0,0,0,160351,147698
10,10,100,1,0,2,100,200,7,6554311,0,0,0,0,8051407,7774285,20152882,0,0,0,0,28556981,32156827,1278272,0,0,0,0,1326163,1299305,131549,0,0,0,0,156154,145350
10,10,100,1,0,2,100,204,7,7015627,0,0,0,0,8556985,8133624,21852952,0,0,0,0,30157051,33756897,1259893,0,0,0,0,1340370,1323561,141913,0,0,0,0,156477,143949
10,10,100,1,0,2,100,208,7,6807729,0,0,0,0,8283852,8015007,20852952,0,0,0,0,29257051,32856896,1325513,0,0,0,0,1381164,1353593,137908,0,0,0,0,157704,147612
10,10,100,1,0,2,100,212,7,7150330,0,0,0,0,8556495,8299670,22549522,0,0,0,0,30853622,34453466,1248264,0,0,0,0,1354559,1320575,164802,0,0,0,0,169725,156908
