repeats,epochs,batch,output_dims,output_model,tasks,height,width,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,1,0,2,800,4,1,5900884,12142451,14137861,17540963,19144868,20828426,22290031,23329882,52549837,63350365,75402590,85002590,84883904,94483828,313345,312932,311878,316663,316683,326527,327315,24391,25395,25050,25137,25008,28768,28707
10,10,100,1,0,2,800,8,1,6660000,14384415,16399088,19950951,21247592,22544623,23965800,26529882,58949837,69750365,81802590,91402590,91283904,100883828,541367,549129,546447,554897,551883,565517,554115,50306,53519,53009,53073,52866,57286,58439
10,10,100,1,0,2,800,12,1,9432164,17274931,19169627,23929852,24509034,26670946,27695621,40129882,71749837,82550366,94602590,104202590,104083904,113683828,764155,770977,748177,775029,769110,785052,785492,83180,84651,88745,83525,85702,88273,87548
10,10,100,1,0,2,800,16,1,8208404,15870862,17939458,21702090,22912736,24278066,25737240,32129882,64549837,75350365,87402590,97002590,96883904,106483828,949150,999189,970757,997357,999533,1012698,998784,105996,117557,122611,119457,119451,123263,126276
10,10,100,1,0,2,800,20,1,10976482,18668366,20725076,25020905,25804823,28010346,28984133,45729882,77349837,88150365,100202590,109802590,109683904,119283828,1175634,1188097,1217030,1187069,1170214,1226596,1233557,135560,151439,144860,153237,157784,150902,150285
10,10,100,1,0,2,800,24,1,9921107,17349463,19362643,22813952,24207958,25537514,26907230,37729882,70149837,80950365,93002590,102602590,102483904,112083828,1340581,1393194,1409872,1441867,1454685,1454076,1452052,157413,185622,181267,183577,179188,188837,189054
10,10,100,1,0,2,800,28,1,12614830,20132445,22246868,26388926,27240288,28614585,30004981,51329882,82949837,93750366,105802590,115402591,115283904,124883828,1594175,1645936,1646463,1701990,1706016,1721502,1672393,183817,215043,217340,209419,209074,213948,224242
10,10,100,1,0,2,800,32,1,11663973,18866328,20947055,24549427,25940369,27224256,28750798,43329882,75749837,86550366,98602590,108202590,108083904,117683828,1737811,1858501,1861845,1868339,1893566,1909789,1917639,220370,234113,235604,250348,244710,255496,250650
10,10,100,1,0,2,800,36,2,14541878,21657607,24012316,27814406,28851918,30187191,31519585,56929883,88549837,102550366,111402591,124202590,120883904,133683828,2011803,2072372,2094784,2145671,2174733,2133114,2191435,239157,288930,284642,281035,280629,292935,286836
10,10,100,1,0,2,800,40,2,13812403,20293438,22568572,25579127,27335820,28155820,29849465,48929882,81349837,95350366,104202590,117002590,113683904,126483828,2137089,2277656,2288175,2312613,2342779,2336753,2333787,266667,281613,292208,306498,310615,314583,328096
