repeats,epochs,batch,output_dims,output_model,tasks,height,width,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,1,0,2,5,4,1,117079,0,0,0,0,511054,534011,242372,0,0,0,0,966438,1036283,35232,0,0,0,0,369674,380293,264,0,0,0,0,1736,1384
10,10,100,1,0,2,5,8,1,82123,0,0,0,0,448994,470557,157372,0,0,0,0,896438,966283,20221,0,0,0,0,341972,351873,159,0,0,0,0,1068,1080
10,10,100,1,0,2,5,12,1,182328,0,0,0,0,560262,574696,302372,0,0,0,0,1036438,1106283,40227,0,0,0,0,378318,377670,857,0,0,0,0,2417,1901
10,10,100,1,0,2,5,16,1,180014,0,0,0,0,609631,593927,182372,0,0,0,0,921438,991283,25721,0,0,0,0,390586,381759,742,0,0,0,0,1862,2211
10,10,100,1,0,2,5,20,1,275542,0,0,0,0,668622,660847,327372,0,0,0,0,1061438,1131283,45284,0,0,0,0,384735,376378,776,0,0,0,0,2243,2944
10,10,100,1,0,2,5,24,1,133057,0,0,0,0,540406,519857,207372,0,0,0,0,946438,1016283,30197,0,0,0,0,369318,361939,480,0,0,0,0,2482,2594
10,10,100,1,0,2,5,28,1,210517,0,0,0,0,595710,588172,352372,0,0,0,0,1086438,1156283,50222,0,0,0,0,388798,381358,1216,0,0,0,0,3568,3773
10,10,100,1,0,2,5,32,1,147436,0,0,0,0,519494,551205,232372,0,0,0,0,971438,1041283,35217,0,0,0,0,359496,366926,1370,0,0,0,0,3930,4489
10,10,100,1,0,2,5,36,2,223711,0,0,0,0,610138,695687,377372,0,0,0,0,1111438,1201283,55220,0,0,0,0,385671,402612,1351,0,0,0,0,5034,1841
10,10,100,1,0,2,5,40,2,163287,0,0,0,0,557762,647225,257372,0,0,0,0,996438,1086283,40202,0,0,0,0,362158,387461,2021,0,0,0,0,8517,4615
